,seed,population_seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,824,763,coop,16629405,7586,0.213,0.097
1,824,763,defect,32772786,8964,0.42,0.115
2,824,763,exploitation,28597809,2269,0.367,0.029
