round,seed,defect,coop,exploit_,exploit
343,385,40789,10904,14462,11845
344,385,40042,11518,14831,11609
345,385,39858,11741,14875,11526
346,385,38457,12364,14554,12625
347,385,39854,11235,13811,13100
348,385,39013,11950,14223,12814
349,385,38877,12150,14083,12890
350,385,40404,10925,13806,12865
351,385,39504,11555,13561,13380
352,385,42134,10238,12387,13241
353,385,44576,8823,10747,13854
354,385,45560,8178,10918,13344
355,385,45129,8116,11208,13547
356,385,45527,7975,10945,13553
357,385,45278,8174,10960,13588
358,385,46471,7399,10618,13512
359,385,46435,7379,10605,13581
360,385,43670,8844,11881,13605
361,385,42066,9888,11869,14177
362,385,42478,9764,11756,14002
363,385,45075,8292,10531,14102
364,385,43377,9121,11050,14452
365,385,41696,10420,10907,14977
366,385,39305,11677,10561,16457
367,385,41649,10770,10755,14826
368,385,40803,11289,11112,14796
369,385,38440,12724,10531,16305
370,385,35943,14195,11890,15972
371,385,33726,15966,12813,15495
372,385,33491,16215,12827,15467
373,385,33534,15971,12979,15516
374,385,33508,16000,12873,15619
375,385,32388,17067,13082,15463
376,385,32497,16968,13113,15422
377,385,31405,17903,13494,15198
378,385,30353,18914,14068,14665
379,385,28897,19787,14902,14414
380,385,29089,19519,14966,14426
381,385,28809,20020,14705,14466
382,385,26809,21577,14034,15580
383,385,26261,22043,13779,15917
384,385,23939,24154,13380,16527
385,385,23187,25074,13501,16238
386,385,22248,26468,13388,15896
387,385,21044,27676,13489,15791
388,385,19295,29778,13294,15633
389,385,20342,28421,13928,15309
390,385,19306,29800,13726,15168
391,385,19097,29986,13784,15133
392,385,17016,32631,14503,13850
393,385,16601,33110,14359,13930
394,385,16608,33032,14337,14023
395,385,16938,32700,14374,13988
396,385,17493,32164,14638,13705
397,385,18586,30559,14340,14515
398,385,19681,29203,14098,15018
399,385,20508,28058,14086,15348
400,385,19314,29487,13945,15254
401,385,19035,29580,13983,15402
402,385,20978,27356,14366,15300
403,385,21375,27495,14196,14934
404,385,20542,27704,14719,15035
405,385,20563,27791,14696,14950
406,385,18638,29983,14765,14614
407,385,18042,30443,14905,14610
408,385,18494,30461,14689,14356
409,385,18127,30667,14756,14450
410,385,17625,30801,15000,14574
411,385,17100,31221,15070,14609
412,385,17187,31302,14990,14521
413,385,17047,31391,15129,14433
414,385,19136,28793,14969,15102
415,385,19775,28392,14700,15133
416,385,19671,28551,14706,15072
417,385,20946,27652,14544,14858
418,385,21298,27234,14884,14584
419,385,23528,25286,14701,14485
420,385,22380,26240,14623,14757
421,385,20608,28204,14999,14189
