,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,30774542,10411,0.394,0.133
1,1024,defect,18533695,8536,0.237,0.109
2,1024,exploitation,28691763,2442,0.368,0.031
3000,128,coop,31455855,7257,0.403,0.093
3001,128,defect,17458060,7061,0.224,0.09
3002,128,exploitation,29086085,1750,0.373,0.022
6000,16,coop,29201045,6524,0.374,0.084
6001,16,defect,18955610,5682,0.243,0.073
6002,16,exploitation,29843345,1775,0.382,0.023
9000,256,coop,19944593,7202,0.256,0.093
9001,256,defect,29262306,8351,0.375,0.107
9002,256,exploitation,28793101,1897,0.369,0.024
12000,2,coop,30928326,7996,0.396,0.103
12001,2,defect,18852706,7952,0.242,0.102
12002,2,exploitation,28218968,1078,0.362,0.014
15000,32,coop,21618003,5246,0.277,0.067
15001,32,defect,27885002,5748,0.358,0.074
15002,32,exploitation,28496995,814,0.366,0.011
18000,4,coop,10837149,10411,0.139,0.133
18001,4,defect,42605995,13903,0.546,0.178
18002,4,exploitation,24556856,4201,0.315,0.054
21000,512,coop,28858977,7990,0.37,0.102
21001,512,defect,20313096,7404,0.26,0.095
21002,512,exploitation,28827927,1353,0.37,0.018
24000,64,coop,28250558,9885,0.362,0.127
24001,64,defect,21194891,9677,0.272,0.124
24002,64,exploitation,28554551,1237,0.366,0.016
27000,8,coop,23733835,7412,0.304,0.095
27001,8,defect,24765004,8185,0.318,0.105
27002,8,exploitation,29501161,1780,0.378,0.023
