,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,13927729,8711,0.179,0.112
1,1024,defect,35648915,11477,0.457,0.147
2,1024,exploitation,28423356,3517,0.364,0.045
3000,128,coop,27895527,9847,0.358,0.126
3001,128,defect,21848196,9744,0.28,0.125
3002,128,exploitation,28256277,980,0.362,0.013
6000,16,coop,40903132,7504,0.524,0.096
6001,16,defect,10789621,5598,0.138,0.072
6002,16,exploitation,26307247,2028,0.337,0.026
9000,256,coop,32509058,10607,0.417,0.136
9001,256,defect,17976283,9566,0.23,0.123
9002,256,exploitation,27514659,1901,0.353,0.025
12000,2,coop,14087795,8012,0.181,0.103
12001,2,defect,36830282,9570,0.472,0.123
12002,2,exploitation,27081923,2210,0.347,0.028
15000,32,coop,33178450,8825,0.425,0.113
15001,32,defect,16647593,7526,0.213,0.097
15002,32,exploitation,28173957,1753,0.361,0.023
18000,4,coop,18641504,8074,0.239,0.104
18001,4,defect,30121150,9203,0.386,0.118
18002,4,exploitation,29237346,2674,0.375,0.034
21000,512,coop,32739482,4611,0.42,0.059
21001,512,defect,16416275,3935,0.21,0.05
21002,512,exploitation,28844243,973,0.37,0.013
24000,64,coop,29427944,8285,0.377,0.106
24001,64,defect,19910943,8004,0.255,0.103
24002,64,exploitation,28661113,1416,0.367,0.018
27000,8,coop,39368963,11349,0.505,0.145
27001,8,defect,12127508,8607,0.155,0.11
27002,8,exploitation,26503529,3393,0.34,0.044
