round,seed,defect,exploit,exploit_,coop
1,80,19521,16902,12034,29543
2,80,20416,16997,12020,28567
3,80,19263,16581,12188,29968
4,80,18725,17059,11962,30254
5,80,19518,16606,12166,29710
6,80,21283,17015,11899,27803
7,80,21479,17053,11962,27506
8,80,20242,17082,12013,28663
9,80,21495,17347,11474,27684
10,80,22966,17323,11973,25738
11,80,24116,16768,12351,24765
12,80,22886,16589,12166,26359
13,80,22670,16814,12162,26354
14,80,24448,17015,12184,24353
15,80,24313,17065,12111,24511
16,80,24993,16989,12048,23970
17,80,24667,17006,12058,24269
18,80,24336,17182,12062,24420
19,80,22927,17303,11863,25907
20,80,22303,17246,11991,26460
21,80,23536,17067,12144,25253
22,80,24997,17520,11479,24004
23,80,23516,17117,11851,25516
24,80,22602,17331,11687,26380
25,80,21173,17306,11924,27597
26,80,21849,16997,11833,27321
27,80,21873,17033,12002,27092
28,80,22694,17814,11631,25861
29,80,22394,17988,11458,26160
30,80,22675,17740,11300,26285
31,80,20917,16928,11941,28214
32,80,20984,17008,12176,27832
33,80,21659,16890,12139,27312
34,80,20855,17065,11998,28082
35,80,21374,16644,12140,27842
36,80,23508,17554,11323,25615
37,80,22564,17139,11783,26514
38,80,22867,17212,11879,26042
39,80,25306,16913,11935,23846
40,80,24705,16717,11920,24658
41,80,24867,16523,12429,24181
42,80,25105,16607,12361,23927
43,80,26112,16951,11864,23073
44,80,27122,16416,12159,22303
45,80,25761,16923,11968,23348
46,80,24128,17135,11769,24968
47,80,25606,16603,12103,23688
48,80,25520,16711,12204,23565
49,80,25558,16640,12093,23709
50,80,24485,16281,12765,24469
51,80,24425,16328,12662,24585
52,80,26247,16649,12144,22960
53,80,24401,16596,12569,24434
54,80,23712,16404,12416,25468
55,80,23379,16330,12678,25613
56,80,22913,16257,12695,26135
57,80,20634,15368,13407,28591
58,80,22478,15716,13328,26478
59,80,24113,15996,12932,24959
60,80,24683,16031,12715,24571
61,80,24816,16101,12845,24238
62,80,25108,16071,12775,24046
63,80,24909,16104,12939,24048
64,80,25616,15873,12680,23831
65,80,24953,16443,12568,24036
66,80,23072,16166,12734,26028
67,80,22886,16119,12797,26198
