round,seed,strategy,count,percentage
60,1024,coop,36229,0.46
60,1024,defect,13761,0.18
60,1024,exploitation,28010,0.36
61,1024,coop,35952,0.46
61,1024,defect,13959,0.18
61,1024,exploitation,28089,0.36
62,1024,coop,35648,0.46
62,1024,defect,14650,0.19
62,1024,exploitation,27702,0.36
63,1024,coop,37719,0.48
63,1024,defect,12654,0.16
63,1024,exploitation,27627,0.35
64,1024,coop,40122,0.51
64,1024,defect,11017,0.14
64,1024,exploitation,26861,0.34
65,1024,coop,40387,0.52
65,1024,defect,10925,0.14
65,1024,exploitation,26688,0.34
66,1024,coop,40528,0.52
66,1024,defect,11037,0.14
66,1024,exploitation,26435,0.34
67,1024,coop,38031,0.49
67,1024,defect,12724,0.16
67,1024,exploitation,27245,0.35
68,1024,coop,38727,0.5
68,1024,defect,12099,0.16
68,1024,exploitation,27174,0.35
69,1024,coop,36292,0.47
69,1024,defect,13893,0.18
69,1024,exploitation,27815,0.36
70,1024,coop,35447,0.45
70,1024,defect,14319,0.18
70,1024,exploitation,28234,0.36
71,1024,coop,35844,0.46
71,1024,defect,14168,0.18
71,1024,exploitation,27988,0.36
72,1024,coop,34093,0.44
72,1024,defect,15634,0.2
72,1024,exploitation,28273,0.36
73,1024,coop,36125,0.46
73,1024,defect,13641,0.17
73,1024,exploitation,28234,0.36
74,1024,coop,34205,0.44
74,1024,defect,15351,0.2
74,1024,exploitation,28444,0.36
75,1024,coop,34549,0.44
75,1024,defect,14843,0.19
75,1024,exploitation,28608,0.37
76,1024,coop,32855,0.42
76,1024,defect,16646,0.21
76,1024,exploitation,28499,0.37
77,1024,coop,32788,0.42
77,1024,defect,16042,0.21
77,1024,exploitation,29170,0.37
78,1024,coop,33299,0.43
78,1024,defect,15910,0.2
78,1024,exploitation,28791,0.37
79,1024,coop,34376,0.44
79,1024,defect,14806,0.19
79,1024,exploitation,28818,0.37
80,1024,coop,34363,0.44
80,1024,defect,14611,0.19
80,1024,exploitation,29026,0.37
81,1024,coop,34396,0.44
81,1024,defect,14578,0.19
81,1024,exploitation,29026,0.37
82,1024,coop,34135,0.44
82,1024,defect,14637,0.19
82,1024,exploitation,29228,0.37
83,1024,coop,34380,0.44
83,1024,defect,14630,0.19
83,1024,exploitation,28990,0.37
84,1024,coop,34163,0.44
84,1024,defect,14634,0.19
84,1024,exploitation,29203,0.37
85,1024,coop,34312,0.44
85,1024,defect,14535,0.19
85,1024,exploitation,29153,0.37
86,1024,coop,34856,0.45
86,1024,defect,13858,0.18
86,1024,exploitation,29286,0.38
87,1024,coop,34629,0.44
87,1024,defect,14141,0.18
87,1024,exploitation,29230,0.37
88,1024,coop,33999,0.44
88,1024,defect,14695,0.19
88,1024,exploitation,29306,0.38
89,1024,coop,31915,0.41
89,1024,defect,16600,0.21
89,1024,exploitation,29485,0.38
90,1024,coop,31982,0.41
90,1024,defect,16561,0.21
90,1024,exploitation,29457,0.38
91,1024,coop,33941,0.44
91,1024,defect,14849,0.19
91,1024,exploitation,29210,0.37
92,1024,coop,36077,0.46
92,1024,defect,13576,0.17
92,1024,exploitation,28347,0.36
93,1024,coop,35311,0.45
93,1024,defect,14149,0.18
93,1024,exploitation,28540,0.37
94,1024,coop,38039,0.49
94,1024,defect,12414,0.16
94,1024,exploitation,27547,0.35
95,1024,coop,38001,0.49
95,1024,defect,12598,0.16
95,1024,exploitation,27401,0.35
96,1024,coop,38224,0.49
96,1024,defect,12092,0.16
96,1024,exploitation,27684,0.35
97,1024,coop,37140,0.48
97,1024,defect,12961,0.17
97,1024,exploitation,27899,0.36
98,1024,coop,37757,0.48
98,1024,defect,12669,0.16
98,1024,exploitation,27574,0.35
99,1024,coop,35576,0.46
99,1024,defect,14043,0.18
99,1024,exploitation,28381,0.36
100,1024,coop,34636,0.44
100,1024,defect,14985,0.19
100,1024,exploitation,28379,0.36
101,1024,coop,33837,0.43
101,1024,defect,15465,0.2
101,1024,exploitation,28698,0.37
102,1024,coop,34950,0.45
102,1024,defect,14840,0.19
102,1024,exploitation,28210,0.36
103,1024,coop,34535,0.44
103,1024,defect,14734,0.19
103,1024,exploitation,28731,0.37
104,1024,coop,32971,0.42
104,1024,defect,15904,0.2
104,1024,exploitation,29125,0.37
105,1024,coop,33238,0.43
105,1024,defect,15934,0.2
105,1024,exploitation,28828,0.37
106,1024,coop,33096,0.42
106,1024,defect,16049,0.21
106,1024,exploitation,28855,0.37
107,1024,coop,33414,0.43
107,1024,defect,15689,0.2
107,1024,exploitation,28897,0.37
108,1024,coop,33382,0.43
108,1024,defect,15623,0.2
108,1024,exploitation,28995,0.37
