round,seed,strategy,count,percentage
1,1024,coop,29294,0.38
1,1024,defect,19473,0.25
1,1024,exploitation,29233,0.37
2,1024,coop,29136,0.37
2,1024,defect,19510,0.25
2,1024,exploitation,29354,0.38
3,1024,coop,28256,0.36
3,1024,defect,20441,0.26
3,1024,exploitation,29303,0.38
4,1024,coop,28929,0.37
4,1024,defect,19816,0.25
4,1024,exploitation,29255,0.38
5,1024,coop,29522,0.38
5,1024,defect,18671,0.24
5,1024,exploitation,29807,0.38
6,1024,coop,29515,0.38
6,1024,defect,18478,0.24
6,1024,exploitation,30007,0.38
7,1024,coop,30258,0.39
7,1024,defect,18052,0.23
7,1024,exploitation,29690,0.38
8,1024,coop,30209,0.39
8,1024,defect,17606,0.23
8,1024,exploitation,30185,0.39
9,1024,coop,30029,0.38
9,1024,defect,18066,0.23
9,1024,exploitation,29905,0.38
10,1024,coop,30232,0.39
10,1024,defect,17620,0.23
10,1024,exploitation,30148,0.39
11,1024,coop,30114,0.39
11,1024,defect,17715,0.23
11,1024,exploitation,30171,0.39
12,1024,coop,28411,0.36
12,1024,defect,19138,0.25
12,1024,exploitation,30451,0.39
13,1024,coop,28570,0.37
13,1024,defect,18976,0.24
13,1024,exploitation,30454,0.39
14,1024,coop,26532,0.34
14,1024,defect,20716,0.27
14,1024,exploitation,30752,0.39
15,1024,coop,28558,0.37
15,1024,defect,18875,0.24
15,1024,exploitation,30567,0.39
16,1024,coop,28862,0.37
16,1024,defect,18184,0.23
16,1024,exploitation,30954,0.4
17,1024,coop,29084,0.37
17,1024,defect,18219,0.23
17,1024,exploitation,30697,0.39
18,1024,coop,28757,0.37
18,1024,defect,18252,0.23
18,1024,exploitation,30991,0.4
19,1024,coop,28760,0.37
19,1024,defect,18305,0.23
19,1024,exploitation,30935,0.4
20,1024,coop,30833,0.4
20,1024,defect,16704,0.21
20,1024,exploitation,30463,0.39
21,1024,coop,30693,0.39
21,1024,defect,16748,0.21
21,1024,exploitation,30559,0.39
