round,seed,strategy,count,percentage
60,1024,coop,27526,0.35
60,1024,defect,18960,0.24
60,1024,exploitation,31514,0.4
61,1024,coop,25601,0.33
61,1024,defect,20797,0.27
61,1024,exploitation,31602,0.41
62,1024,coop,25697,0.33
62,1024,defect,20691,0.27
62,1024,exploitation,31612,0.41
63,1024,coop,27019,0.35
63,1024,defect,19844,0.25
63,1024,exploitation,31137,0.4
64,1024,coop,28552,0.37
64,1024,defect,18799,0.24
64,1024,exploitation,30649,0.39
65,1024,coop,28550,0.37
65,1024,defect,18783,0.24
65,1024,exploitation,30667,0.39
66,1024,coop,28712,0.37
66,1024,defect,18604,0.24
66,1024,exploitation,30684,0.39
67,1024,coop,26776,0.34
67,1024,defect,20205,0.26
67,1024,exploitation,31019,0.4
68,1024,coop,28369,0.36
68,1024,defect,19214,0.25
68,1024,exploitation,30417,0.39
69,1024,coop,28374,0.36
69,1024,defect,19195,0.25
69,1024,exploitation,30431,0.39
70,1024,coop,28579,0.37
70,1024,defect,18810,0.24
70,1024,exploitation,30611,0.39
71,1024,coop,28553,0.37
71,1024,defect,18759,0.24
71,1024,exploitation,30688,0.39
72,1024,coop,28730,0.37
72,1024,defect,18804,0.24
72,1024,exploitation,30466,0.39
73,1024,coop,30021,0.38
73,1024,defect,17812,0.23
73,1024,exploitation,30167,0.39
74,1024,coop,28758,0.37
74,1024,defect,18792,0.24
74,1024,exploitation,30450,0.39
75,1024,coop,29109,0.37
75,1024,defect,18106,0.23
75,1024,exploitation,30785,0.39
76,1024,coop,28892,0.37
76,1024,defect,18448,0.24
76,1024,exploitation,30660,0.39
77,1024,coop,31091,0.4
77,1024,defect,16678,0.21
77,1024,exploitation,30231,0.39
78,1024,coop,28944,0.37
78,1024,defect,18428,0.24
78,1024,exploitation,30628,0.39
79,1024,coop,30541,0.39
79,1024,defect,17315,0.22
79,1024,exploitation,30144,0.39
80,1024,coop,30921,0.4
80,1024,defect,17286,0.22
80,1024,exploitation,29793,0.38
81,1024,coop,28434,0.36
81,1024,defect,19057,0.24
81,1024,exploitation,30509,0.39
82,1024,coop,28496,0.37
82,1024,defect,18914,0.24
82,1024,exploitation,30590,0.39
83,1024,coop,28679,0.37
83,1024,defect,19111,0.25
83,1024,exploitation,30210,0.39
84,1024,coop,28675,0.37
84,1024,defect,19141,0.25
84,1024,exploitation,30184,0.39
85,1024,coop,28595,0.37
85,1024,defect,18852,0.24
85,1024,exploitation,30553,0.39
86,1024,coop,29995,0.38
86,1024,defect,18223,0.23
86,1024,exploitation,29782,0.38
87,1024,coop,29933,0.38
87,1024,defect,17931,0.23
87,1024,exploitation,30136,0.39
88,1024,coop,29544,0.38
88,1024,defect,18613,0.24
88,1024,exploitation,29843,0.38
89,1024,coop,27456,0.35
89,1024,defect,20731,0.27
89,1024,exploitation,29813,0.38
90,1024,coop,29080,0.37
90,1024,defect,19380,0.25
90,1024,exploitation,29540,0.38
91,1024,coop,28636,0.37
91,1024,defect,19657,0.25
