round,seed,defect,exploit_,exploit,coop
1,898,19386,12233,16993,29388
2,898,19768,12181,17086,28965
3,898,20861,12693,16526,27920
4,898,19290,12463,16456,29791
5,898,19110,12382,16533,29975
6,898,18206,11852,16959,30983
7,898,20322,12701,16457,28520
8,898,21451,12368,16827,27354
9,898,22474,12056,17646,25824
10,898,23632,11856,17870,24642
11,898,21459,12117,17476,26948
12,898,20924,12123,17799,27154
13,898,20852,12236,17690,27222
14,898,21062,12255,17779,26904
15,898,21703,12705,17715,25877
16,898,23063,13205,17569,24163
17,898,21868,13485,17210,25437
18,898,21252,13570,16951,26227
19,898,20602,13699,17114,26585
20,898,19535,14199,16076,28190
21,898,17769,13123,16712,30396
22,898,16483,13591,16070,31856
23,898,16412,13720,16007,31861
24,898,14735,13253,15559,34453
25,898,15628,14119,15715,32538
26,898,15727,13901,15620,32752
27,898,15641,13786,15563,33010
28,898,15628,13966,15804,32602
29,898,15469,14115,15724,32692
30,898,15589,14041,15723,32647
31,898,15991,14035,15869,32105
32,898,16746,13902,15651,31701
33,898,16622,13677,15417,32284
34,898,15955,14360,15186,32499
35,898,17349,14138,15807,30706
36,898,17118,14115,15973,30794
37,898,16202,14506,15225,32067
38,898,16070,14215,15163,32552
39,898,18078,15347,14431,30144
40,898,17093,14650,14856,31401
41,898,15242,13836,15144,33778
42,898,15371,13835,15058,33736
43,898,15200,13957,15257,33586
44,898,14972,13972,15206,33850
45,898,17024,13872,15231,31873
46,898,16830,14064,15480,31626
47,898,15199,14669,14081,34051
48,898,15598,14619,14511,33272
49,898,16496,15436,14074,31994
50,898,17210,15471,13596,31723
51,898,16432,15562,13868,32138
52,898,14750,16142,12939,34169
53,898,15518,15773,13283,33426
54,898,15257,15803,13130,33810
55,898,15161,15795,13072,33972
56,898,13622,15430,12718,36230
57,898,13654,15308,12888,36150
58,898,11786,14992,12887,38335
59,898,11585,14826,12813,38776
60,898,11405,14914,12966,38715
61,898,11467,14903,13010,38620
62,898,11258,14538,13071,39133
63,898,10451,14070,13422,40057
64,898,8956,13806,12716,42522
65,898,9111,13909,12692,42288
66,898,8561,14113,12565,42761
67,898,8584,14017,12607,42792
68,898,8744,13977,12606,42673
69,898,8029,14195,12243,43533
70,898,7860,14336,12362,43442
71,898,8439,14001,12449,43111
72,898,7343,13245,12116,45296
73,898,7699,13345,12194,44762
