,seed,population_seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,179,537,coop,38253167,9386,0.49,0.12
1,179,537,defect,12128166,6843,0.155,0.088
2,179,537,exploitation,27618667,3042,0.354,0.039
