round,seed,exploit,coop,exploit_,defect
924,16,16502,13232,14000,34266
925,16,16671,13175,13972,34182
926,16,16703,13353,14236,33708
927,16,16248,13131,14019,34602
928,16,16443,13126,13906,34525
929,16,16378,13310,13852,34460
930,16,16308,13202,14493,33997
931,16,16289,13253,14369,34089
932,16,16071,14325,14187,33417
933,16,16414,14496,14319,32771
934,16,16468,14508,14440,32584
935,16,16058,14415,14181,33346
936,16,16026,14292,14264,33418
937,16,15975,13887,14026,34112
938,16,15950,13827,14100,34123
939,16,15320,14961,14953,32766
940,16,14961,16293,15016,31730
941,16,14550,17690,15536,30224
942,16,14463,17763,15583,30191
943,16,15327,18877,14851,28945
944,16,15523,20541,14520,27416
945,16,15454,20450,14506,27590
946,16,15727,20879,14379,27015
947,16,15754,20867,14374,27005
948,16,16449,19316,13964,28271
949,16,16531,19415,13869,28185
950,16,16349,19512,13781,28358
951,16,16149,21071,14715,26065
952,16,16052,21161,14795,25992
953,16,16101,21132,14853,25914
954,16,16022,21156,14772,26050
955,16,15955,21265,14760,26020
956,16,16433,19543,14765,27259
957,16,16255,21227,15042,25476
958,16,16226,21448,15030,25296
959,16,15872,21260,14873,25995
960,16,15708,21063,14954,26275
961,16,15513,20041,15562,26884
962,16,15527,19660,15598,27215
963,16,15754,21108,15124,26014
964,16,15238,19608,15709,27445
965,16,15787,18476,15125,28612
966,16,15951,17168,15339,29542
967,16,15939,17118,15323,29620
968,16,16629,18541,14604,28226
969,16,15786,20302,15798,26114
970,16,15701,20284,15831,26184
971,16,15906,20488,15602,26004
972,16,15687,21639,15510,25164
973,16,14654,20108,16171,27067
974,16,14654,19545,16153,27648
975,16,15218,21283,15321,26178
976,16,15357,19772,15779,27092
977,16,14870,18370,16389,28371
978,16,15014,18669,16393,27924
979,16,15058,18780,16761,27401
980,16,15915,17232,15486,29367
981,16,15535,16814,15194,30457
982,16,15422,16958,15225,30395
983,16,15865,15678,14914,31543
984,16,15918,14154,14117,33811
985,16,16025,14275,14124,33576
986,16,16012,14199,14026,33763
987,16,17608,15670,13200,31522
988,16,17330,16846,13492,30332
989,16,17474,16955,13440,30131
990,16,17451,16751,13523,30275
991,16,17428,17146,13539,29887
992,16,17851,15667,13424,31058
993,16,17232,15523,13461,31784
994,16,17349,15753,13363,31535
995,16,17330,15639,13442,31589
996,16,17232,15563,13556,31649
997,16,17458,16588,13022,30932
998,16,16683,18060,13664,29593
999,16,17071,19524,13175,28230
1000,16,17215,21087,13503,26195
