round,seed,defect,coop,exploit,exploit_
1,990,19366,29419,17060,12155
2,990,19340,29412,17057,12191
3,990,17642,31571,16113,12674
4,990,17035,32100,15981,12884
5,990,16592,32470,16034,12904
6,990,16721,32460,16012,12807
7,990,15911,33178,15644,13267
8,990,16034,32948,15778,13240
9,990,16746,31678,15859,13717
10,990,15199,33791,14470,14540
11,990,16294,32039,15459,14208
12,990,18338,29841,16004,13817
13,990,16981,31821,15523,13675
14,990,17431,30994,15414,14161
15,990,19006,29362,16410,13222
16,990,19113,29110,16402,13375
17,990,20327,27653,16633,13387
18,990,21488,26875,15977,13660
19,990,19229,28961,15323,14487
20,990,19758,28820,14805,14617
21,990,20748,27293,15218,14741
22,990,21366,26748,15138,14748
23,990,22723,24950,15170,15157
24,990,23144,24757,14856,15243
25,990,25285,22727,13977,16011
26,990,24489,23196,14440,15875
27,990,23041,24868,13685,16406
28,990,23062,24872,13615,16451
29,990,24022,23439,14032,16507
30,990,22877,24342,13561,17220
31,990,20983,26228,14167,16622
32,990,20290,26784,14440,16486
33,990,22222,24818,15680,15280
34,990,22754,23423,16019,15804
35,990,21947,23949,15807,16297
36,990,21730,23860,15926,16484
37,990,22570,22748,15627,17055
38,990,20630,24546,15301,17523
39,990,19033,26304,15737,16926
40,990,20064,25747,15954,16235
41,990,20108,25880,15810,16202
42,990,20052,25623,15983,16342
43,990,20095,25939,15760,16206
44,990,19979,25715,15931,16375
45,990,19956,26085,15753,16206
46,990,19346,26136,15946,16572
47,990,20033,24906,15694,17367
48,990,19937,24956,15648,17459
49,990,19983,25060,15731,17226
50,990,21028,24355,15792,16825
51,990,19406,26180,16553,15861
52,990,20551,24679,17609,15161
53,990,21223,23294,18167,15316
54,990,20998,23316,18253,15433
55,990,22950,21545,18102,15403
56,990,22745,21606,18135,15514
57,990,22810,21681,18006,15503
58,990,21746,23109,17798,15347
59,990,20201,24739,18455,14605
60,990,21662,22952,18120,15266
61,990,21793,22895,18090,15222
62,990,22314,21694,17988,16004
63,990,22441,21567,17982,16010
64,990,22447,21784,17923,15846
65,990,21872,23012,17684,15432
66,990,23432,21500,17515,15553
67,990,23693,21310,17566,15431
68,990,24801,20634,17831,14734
69,990,25702,20177,17817,14304
70,990,24974,21444,17593,13989
71,990,23029,23234,17621,14116
72,990,21040,25298,17096,14566
73,990,22152,23741,17452,14655
74,990,21052,24646,17183,15119
75,990,21155,24396,17292,15157
76,990,23008,22348,17259,15385
77,990,22871,22318,17344,15467
78,990,24067,21923,16483,15527
79,990,24738,21476,16140,15646
80,990,26865,19796,17007,14332
81,990,26459,20106,17014,14421
82,990,26443,19819,17161,14577
83,990,26632,19764,17047,14557
84,990,26567,19801,17070,14562
85,990,26500,19793,17018,14689
86,990,26573,19824,17014,14589
87,990,26453,19878,17066,14603
88,990,26672,19565,17196,14567
89,990,27305,18703,16787,15205
90,990,29349,16917,16266,15468
91,990,31503,15521,14686,16290
92,990,31854,15235,14694,16217
93,990,32792,14239,14856,16113
94,990,32757,14298,14799,16146
95,990,31862,14696,15203,16239
96,990,31293,15476,15307,15924
97,990,31941,14577,14891,16591
98,990,30355,15780,15243,16622
99,990,32945,14144,14140,16771
100,990,34152,13603,13374,16871
101,990,34013,13561,13591,16835
102,990,33388,14553,13392,16667
103,990,33473,14417,13559,16551
104,990,32686,15621,12928,16765
105,990,31904,16354,13200,16542
