,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,25511003,5344,0.327,0.069
1,1024,defect,23353141,5040,0.299,0.065
2,1024,exploitation,29135856,747,0.374,0.01
3000,128,coop,30729258,7946,0.394,0.102
3001,128,defect,18079535,7598,0.232,0.097
3002,128,exploitation,29191207,1979,0.374,0.026
6000,16,coop,40585418,9184,0.52,0.118
6001,16,defect,10704584,5623,0.137,0.072
6002,16,exploitation,26709998,3826,0.342,0.049
9000,256,coop,26105043,6405,0.335,0.082
9001,256,defect,22517120,6677,0.289,0.086
9002,256,exploitation,29377837,1596,0.377,0.021
12000,2,coop,34075924,5249,0.437,0.067
12001,2,defect,15716028,4695,0.201,0.06
12002,2,exploitation,28208048,848,0.362,0.011
15000,32,coop,21271762,6792,0.273,0.087
15001,32,defect,28644388,7457,0.367,0.096
15002,32,exploitation,28083850,910,0.36,0.012
18000,4,coop,11944195,9995,0.153,0.128
18001,4,defect,40216153,12897,0.515,0.165
18002,4,exploitation,25839652,3735,0.331,0.048
21000,512,coop,40439190,7812,0.518,0.1
21001,512,defect,11011958,5472,0.141,0.07
21002,512,exploitation,26548852,2536,0.34,0.033
24000,64,coop,28889349,9668,0.37,0.124
24001,64,defect,20816524,9404,0.267,0.121
24002,64,exploitation,28294127,1079,0.363,0.014
27000,8,coop,23999948,4962,0.308,0.064
27001,8,defect,23945158,5509,0.307,0.071
27002,8,exploitation,30054894,1874,0.385,0.024
