round,seed,defect,coop,exploit,exploit_
1,990,19366,29419,17060,12155
2,990,19340,29412,17057,12191
3,990,17642,31571,16113,12674
4,990,17035,32100,15981,12884
5,990,16592,32470,16034,12904
6,990,17642,31573,16168,12617
7,990,16740,32371,15823,13066
8,990,16860,32204,15889,13047
9,990,17597,30980,15980,13443
10,990,16035,33076,14662,14227
11,990,17212,31342,15597,13849
12,990,18338,29841,16004,13817
13,990,16465,32251,15536,13748
14,990,16913,31358,15425,14304
15,990,18460,29755,16453,13332
16,990,18548,29558,16405,13489
17,990,19755,28044,16662,13539
18,990,20837,27294,15999,13870
19,990,18719,29331,15328,14622
20,990,19220,29257,14789,14734
21,990,20091,27622,15326,14961
22,990,21366,26748,15138,14748
23,990,21881,26158,15133,14828
24,990,22253,25989,14856,14902
25,990,24260,23990,14060,15690
26,990,23576,24403,14482,15539
27,990,22179,26070,13732,16019
28,990,21208,27326,13744,15722
29,990,22275,25886,14120,15719
30,990,21188,26842,13611,16359
31,990,19276,28942,14062,15720
32,990,18664,29457,14285,15594
33,990,20532,27445,15504,14519
34,990,21198,25925,15855,15022
35,990,22198,24719,16196,14887
36,990,22090,24639,16263,15008
37,990,23051,23504,15839,15606
38,990,20944,25252,15750,16054
39,990,19224,27221,16094,15461
40,990,20300,26533,16329,14838
41,990,20353,26869,16113,14665
42,990,20401,26247,16403,14949
43,990,20384,26647,16123,14846
44,990,21069,25050,16485,15396
45,990,21033,25484,16284,15199
46,990,20472,25533,16493,15502
47,990,20448,25574,16477,15501
48,990,20405,25841,16383,15371
49,990,20298,25826,16524,15352
50,990,21460,25109,16444,14987
51,990,19606,27038,17277,14079
52,990,20140,26714,17442,13704
53,990,20959,25383,17873,13785
54,990,20785,25419,18037,13759
55,990,22853,23398,17848,13901
56,990,21542,25115,17371,13972
57,990,20248,26797,17330,13625
58,990,19049,28306,17065,13580
59,990,17418,30346,17492,12744
60,990,17872,29855,17357,12916
61,990,16955,30412,17762,12871
62,990,16481,31106,17793,12620
63,990,17738,29186,17845,13231
64,990,19026,27553,18251,13170
65,990,18303,27918,18637,13142
66,990,19989,26046,18645,13320
67,990,22046,23877,18049,14028
68,990,22834,23359,18444,13363
69,990,21706,24809,17735,13750
70,990,20903,26167,17644,13286
71,990,19109,28173,17470,13248
72,990,17165,30420,16777,13638
73,990,16938,30816,16742,13504
74,990,15852,31580,16601,13967
75,990,15641,31843,16621,13895
76,990,17240,29187,17010,14563
77,990,17350,29325,16943,14382
78,990,18208,28990,16348,14454
79,990,18242,28898,16275,14585
80,990,20058,26818,17490,13634
81,990,21737,24909,17609,13745
82,990,21745,24937,17700,13618
83,990,21747,24854,17743,13656
84,990,21646,24898,17688,13768
85,990,20665,26457,17041,13837
86,990,22367,24580,16830,14223
87,990,24439,22683,17403,13475
88,990,24313,22612,17666,13409
89,990,25599,21289,17001,14111
90,990,26873,20424,16477,14226
91,990,29116,18753,15084,15047
92,990,29324,18434,15252,14990
93,990,30429,17297,15374,14900
94,990,30413,17355,15428,14804
95,990,31682,16191,15241,14886
96,990,31630,16147,15268,14955
97,990,31257,16371,15460,14912
98,990,29661,17599,15686,15054
99,990,29935,17687,15491,14887
100,990,31987,15875,14514,15624
101,990,30938,17110,14936,15016
102,990,31210,17028,14704,15058
103,990,31792,15831,15584,14793
104,990,31241,16968,14843,14948
105,990,31624,16715,14537,15124
