,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,30605816,9634,0.392,0.123
1,1024,defect,18671450,8184,0.239,0.105
2,1024,exploitation,28722734,2436,0.368,0.031
3000,128,coop,43699030,6076,0.56,0.078
3001,128,defect,8420187,4139,0.108,0.053
3002,128,exploitation,25880783,2207,0.332,0.028
6000,16,coop,22610309,10238,0.29,0.131
6001,16,defect,24567798,11053,0.315,0.142
6002,16,exploitation,30821893,3126,0.395,0.04
9000,256,coop,20259729,5069,0.26,0.065
9001,256,defect,28116486,5674,0.36,0.073
9002,256,exploitation,29623785,1466,0.38,0.019
12000,2,coop,20982780,11561,0.269,0.148
12001,2,defect,29632072,13561,0.38,0.174
12002,2,exploitation,27385148,3323,0.351,0.043
15000,32,coop,29297280,8097,0.376,0.104
15001,32,defect,19267663,7500,0.247,0.096
15002,32,exploitation,29435057,1834,0.377,0.024
18000,4,coop,23418266,11115,0.3,0.143
18001,4,defect,26949503,12674,0.346,0.162
18002,4,exploitation,27632231,2153,0.354,0.028
21000,512,coop,19457877,10308,0.249,0.132
21001,512,defect,31160193,11037,0.4,0.141
21002,512,exploitation,27381930,1723,0.351,0.022
24000,64,coop,23796926,9091,0.305,0.117
24001,64,defect,25882832,9627,0.332,0.123
24002,64,exploitation,28320242,1318,0.363,0.017
27000,8,coop,14472744,6937,0.186,0.089
27001,8,defect,35105181,9625,0.45,0.123
27002,8,exploitation,28422075,3235,0.364,0.042
