,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,26564040,6887,0.341,0.088
1,1024,defect,21982320,6691,0.282,0.086
2,1024,exploitation,29453640,1022,0.378,0.013
3000,128,coop,31731550,6916,0.407,0.089
3001,128,defect,17208385,6661,0.221,0.085
3002,128,exploitation,29060065,1743,0.372,0.022
6000,16,coop,31058553,9025,0.398,0.116
6001,16,defect,17468928,7622,0.224,0.098
6002,16,exploitation,29472519,2404,0.378,0.031
9000,256,coop,17586738,6154,0.225,0.079
9001,256,defect,31902174,7682,0.409,0.099
9002,256,exploitation,28511088,1917,0.366,0.025
12000,2,coop,32986351,5836,0.423,0.075
12001,2,defect,16543799,5313,0.212,0.068
12002,2,exploitation,28469850,1008,0.365,0.013
15000,32,coop,21383517,6486,0.274,0.083
15001,32,defect,28465887,7181,0.365,0.092
15002,32,exploitation,28150596,939,0.361,0.012
18000,4,coop,11202135,10265,0.144,0.131
18001,4,defect,41886679,13540,0.537,0.174
18002,4,exploitation,24911186,3961,0.319,0.051
21000,512,coop,31866152,9330,0.408,0.12
21001,512,defect,17631702,8118,0.226,0.104
21002,512,exploitation,28502146,1849,0.365,0.024
24000,64,coop,27903149,9236,0.358,0.118
24001,64,defect,21566159,9477,0.277,0.121
24002,64,exploitation,28530692,1244,0.366,0.016
27000,8,coop,26037842,5632,0.334,0.072
27001,8,defect,22238732,6032,0.285,0.077
27002,8,exploitation,29723426,1417,0.381,0.018
