round,seed,population_seed,strategy,count,percentage
56,894,981,defect,12757,0.16
56,894,981,exploitation,29073,0.37
57,894,981,coop,35846,0.46
57,894,981,defect,12814,0.16
57,894,981,exploitation,29340,0.38
58,894,981,coop,36004,0.46
58,894,981,defect,12409,0.16
58,894,981,exploitation,29587,0.38
59,894,981,coop,36137,0.46
59,894,981,defect,12714,0.16
59,894,981,exploitation,29149,0.37
60,894,981,coop,33556,0.43
60,894,981,defect,14395,0.18
60,894,981,exploitation,30049,0.39
61,894,981,coop,31988,0.41
61,894,981,defect,15466,0.2
61,894,981,exploitation,30546,0.39
62,894,981,coop,29976,0.38
62,894,981,defect,16204,0.21
62,894,981,exploitation,31820,0.41
63,894,981,coop,29805,0.38
63,894,981,defect,16853,0.22
63,894,981,exploitation,31342,0.4
64,894,981,coop,32108,0.41
64,894,981,defect,15087,0.19
64,894,981,exploitation,30805,0.39
65,894,981,coop,34112,0.44
65,894,981,defect,14132,0.18
65,894,981,exploitation,29756,0.38
66,894,981,coop,34020,0.44
66,894,981,defect,13537,0.17
66,894,981,exploitation,30443,0.39
67,894,981,coop,32295,0.41
67,894,981,defect,14713,0.19
67,894,981,exploitation,30992,0.4
68,894,981,coop,34092,0.44
68,894,981,defect,13596,0.17
68,894,981,exploitation,30312,0.39
69,894,981,coop,36225,0.46
69,894,981,defect,12493,0.16
69,894,981,exploitation,29282,0.38
70,894,981,coop,38668,0.5
70,894,981,defect,10981,0.14
70,894,981,exploitation,28351,0.36
71,894,981,coop,38474,0.49
71,894,981,defect,10886,0.14
71,894,981,exploitation,28640,0.37
72,894,981,coop,38705,0.5
72,894,981,defect,10623,0.14
72,894,981,exploitation,28672,0.37
73,894,981,coop,40945,0.52
73,894,981,defect,9371,0.12
73,894,981,exploitation,27684,0.35
74,894,981,coop,38727,0.5
74,894,981,defect,10519,0.13
74,894,981,exploitation,28754,0.37
75,894,981,coop,38756,0.5
75,894,981,defect,10437,0.13
75,894,981,exploitation,28807,0.37
76,894,981,coop,36662,0.47
76,894,981,defect,11672,0.15
76,894,981,exploitation,29666,0.38
77,894,981,coop,34822,0.45
77,894,981,defect,12615,0.16
77,894,981,exploitation,30563,0.39
78,894,981,coop,34670,0.44
78,894,981,defect,12973,0.17
78,894,981,exploitation,30357,0.39
79,894,981,coop,34482,0.44
79,894,981,defect,13160,0.17
79,894,981,exploitation,30358,0.39
80,894,981,coop,34491,0.44
80,894,981,defect,12997,0.17
80,894,981,exploitation,30512,0.39
81,894,981,coop,34645,0.44
81,894,981,defect,12997,0.17
81,894,981,exploitation,30358,0.39
82,894,981,coop,34763,0.45
82,894,981,defect,12975,0.17
82,894,981,exploitation,30262,0.39
83,894,981,coop,34468,0.44
83,894,981,defect,13154,0.17
83,894,981,exploitation,30378,0.39
84,894,981,coop,35233,0.45
84,894,981,defect,12383,0.16
84,894,981,exploitation,30384,0.39
85,894,981,coop,35110,0.45
85,894,981,defect,12241,0.16
85,894,981,exploitation,30649,0.39
86,894,981,coop,35113,0.45
86,894,981,defect,12391,0.16
86,894,981,exploitation,30496,0.39
87,894,981,coop,35348,0.45
87,894,981,defect,11832,0.15
87,894,981,exploitation,30820,0.4
88,894,981,coop,35232,0.45
88,894,981,defect,11857,0.15
88,894,981,exploitation,30911,0.4
89,894,981,coop,35116,0.45
89,894,981,defect,12340,0.16
89,894,981,exploitation,30544,0.39
90,894,981,coop,33005,0.42
90,894,981,defect,13618,0.17
90,894,981,exploitation,31377,0.4
91,894,981,coop,32726,0.42
91,894,981,defect,13657,0.18
91,894,981,exploitation,31617,0.41
92,894,981,coop,34598,0.44
92,894,981,defect,12802,0.16
92,894,981,exploitation,30600,0.39
93,894,981,coop,34390,0.44
93,894,981,defect,13353,0.17
93,894,981,exploitation,30257,0.39
94,894,981,coop,35090,0.45
94,894,981,defect,12487,0.16
94,894,981,exploitation,30423,0.39
95,894,981,coop,34858,0.45
95,894,981,defect,12501,0.16
95,894,981,exploitation,30641,0.39
96,894,981,coop,32752,0.42
96,894,981,defect,13913,0.18
96,894,981,exploitation,31335,0.4
97,894,981,coop,32990,0.42
97,894,981,defect,14033,0.18
97,894,981,exploitation,30977,0.4
98,894,981,coop,33255,0.43
98,894,981,defect,13459,0.17
98,894,981,exploitation,31286,0.4
99,894,981,coop,33111,0.42
99,894,981,defect,13464,0.17
99,894,981,exploitation,31425,0.4
100,894,981,coop,33139,0.42
100,894,981,defect,13549,0.17
100,894,981,exploitation,31312,0.4
101,894,981,coop,33004,0.42
101,894,981,defect,13548,0.17
101,894,981,exploitation,31448,0.4
102,894,981,coop,30969,0.4
102,894,981,defect,14936,0.19
102,894,981,exploitation,32095,0.41
103,894,981,coop,30814,0.4
103,894,981,defect,15175,0.19
103,894,981,exploitation,32011,0.41
104,894,981,coop,28933,0.37
104,894,981,defect,16533,0.21
104,894,981,exploitation,32534,0.42
105,894,981,coop,30988,0.4
105,894,981,defect,14816,0.19
105,894,981,exploitation,32196,0.41
106,894,981,coop,32878,0.42
106,894,981,defect,14108,0.18
106,894,981,exploitation,31014,0.4
107,894,981,coop,32694,0.42
107,894,981,defect,14391,0.18
107,894,981,exploitation,30915,0.4
108,894,981,coop,32711,0.42
108,894,981,defect,13981,0.18
108,894,981,exploitation,31308,0.4
109,894,981,coop,32950,0.42
109,894,981,defect,13909,0.18
109,894,981,exploitation,31141,0.4
110,894,981,coop,33005,0.42
110,894,981,defect,13979,0.18
110,894,981,exploitation,31016,0.4
111,894,981,coop,32510,0.42
111,894,981,defect,14581,0.19
111,894,981,exploitation,30909,0.4
112,894,981,coop,30586,0.39
112,894,981,defect,16072,0.21
112,894,981,exploitation,31342,0.4
113,894,981,coop,28284,0.36
113,894,981,defect,17543,0.22
113,894,981,exploitation,32173,0.41
114,894,981,coop,26411,0.34
114,894,981,defect,19415,0.25
114,894,981,exploitation,32174,0.41
115,894,981,coop,26500,0.34
115,894,981,defect,18728,0.24
115,894,981,exploitation,32772,0.42
116,894,981,coop,26901,0.34
116,894,981,defect,18902,0.24
116,894,981,exploitation,32197,0.41
117,894,981,coop,28237,0.36
117,894,981,defect,17920,0.23
117,894,981,exploitation,31843,0.41
118,894,981,coop,26719,0.34
118,894,981,defect,18883,0.24
118,894,981,exploitation,32398,0.42
119,894,981,coop,28710,0.37
119,894,981,defect,17097,0.22
119,894,981,exploitation,32193,0.41
120,894,981,coop,28318,0.36
120,894,981,defect,17848,0.23
120,894,981,exploitation,31834,0.41
121,894,981,coop,26484,0.34
121,894,981,defect,19571,0.25
121,894,981,exploitation,31945,0.41
122,894,981,coop,26310,0.34
122,894,981,defect,19580,0.25
122,894,981,exploitation,32110,0.41
123,894,981,coop,27914,0.36
123,894,981,defect,18474,0.24
123,894,981,exploitation,31612,0.41
124,894,981,coop,27493,0.35
124,894,981,defect,19048,0.24
124,894,981,exploitation,31459,0.4
125,894,981,coop,27605,0.35
125,894,981,defect,19038,0.24
125,894,981,exploitation,31357,0.4
126,894,981,coop,29673,0.38
126,894,981,defect,17320,0.22
126,894,981,exploitation,31007,0.4
127,894,981,coop,29649,0.38
127,894,981,defect,17164,0.22
127,894,981,exploitation,31187,0.4
128,894,981,coop,31515,0.4
128,894,981,defect,16015,0.21
128,894,981,exploitation,30470,0.39
129,894,981,coop,31471,0.4
129,894,981,defect,16007,0.21
129,894,981,exploitation,30522,0.39
130,894,981,coop,31553,0.4
130,894,981,defect,16183,0.21
130,894,981,exploitation,30264,0.39
131,894,981,coop,31483,0.4
131,894,981,defect,16205,0.21
131,894,981,exploitation,30312,0.39
132,894,981,coop,29688,0.38
132,894,981,defect,17287,0.22
132,894,981,exploitation,31025,0.4
133,894,981,coop,29293,0.38
133,894,981,defect,17787,0.23
133,894,981,exploitation,30920,0.4
134,894,981,coop,31189,0.4
134,894,981,defect,16714,0.21
134,894,981,exploitation,30097,0.39
135,894,981,coop,31016,0.4
135,894,981,defect,16583,0.21
135,894,981,exploitation,30401,0.39
136,894,981,coop,30478,0.39
136,894,981,defect,17442,0.22
136,894,981,exploitation,30080,0.39
137,894,981,coop,31085,0.4
137,894,981,defect,16920,0.22
137,894,981,exploitation,29995,0.38
138,894,981,coop,28666,0.37
138,894,981,defect,18701,0.24
138,894,981,exploitation,30633,0.39
139,894,981,coop,28813,0.37
139,894,981,defect,18810,0.24
139,894,981,exploitation,30377,0.39
140,894,981,coop,27161,0.35
140,894,981,defect,19889,0.25
