,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,23215740,8547,0.298,0.11
1,1024,defect,26128693,8280,0.335,0.106
2,1024,exploitation,28655567,1070,0.368,0.014
3000,128,coop,30875147,7842,0.396,0.101
3001,128,defect,18720884,7672,0.24,0.098
3002,128,exploitation,28403969,1019,0.364,0.013
6000,16,coop,15347238,6660,0.197,0.085
6001,16,defect,32853712,9269,0.421,0.119
6002,16,exploitation,29799050,3843,0.382,0.049
9000,256,coop,32497676,8071,0.417,0.104
9001,256,defect,17203746,6882,0.221,0.088
9002,256,exploitation,28298578,1892,0.363,0.024
12000,2,coop,24460280,7061,0.314,0.09
12001,2,defect,24837737,7542,0.319,0.097
12002,2,exploitation,28701983,1042,0.368,0.014
15000,32,coop,33940457,6278,0.435,0.081
15001,32,defect,15734349,5257,0.202,0.067
15002,32,exploitation,28325194,1364,0.363,0.018
18000,4,coop,18601978,10854,0.239,0.139
18001,4,defect,31839801,13840,0.408,0.177
18002,4,exploitation,27558221,3716,0.353,0.048
21000,512,coop,17273652,10951,0.221,0.14
21001,512,defect,33090529,14181,0.424,0.182
21002,512,exploitation,27635819,4014,0.354,0.052
24000,64,coop,20090525,11150,0.258,0.143
24001,64,defect,30212564,13181,0.387,0.169
24002,64,exploitation,27696911,3354,0.355,0.043
27000,8,coop,19086989,7391,0.245,0.095
27001,8,defect,29153369,9091,0.374,0.117
27002,8,exploitation,29759642,2937,0.381,0.038
