round,seed,defect,coop,exploit,exploit_
199,990,11815,38775,15267,12143
200,990,11830,39399,15167,11604
201,990,13574,36323,14797,13306
202,990,13496,36836,14605,13063
203,990,12662,37544,14563,13231
204,990,12862,37880,14420,12838
205,990,10970,40351,13326,13353
206,990,11477,39542,13700,13281
207,990,9900,41642,14244,12214
208,990,10489,40936,14398,12177
209,990,10503,41087,14217,12193
210,990,10390,41277,14055,12278
211,990,10314,40945,14314,12427
212,990,10521,41044,14082,12353
213,990,10632,40773,14261,12334
214,990,9565,42417,13319,12699
215,990,9262,42309,13540,12889
216,990,11342,39599,13303,13756
217,990,11110,40001,13198,13691
218,990,11582,39354,13403,13661
219,990,11825,38970,13472,13733
220,990,11740,38849,13441,13970
221,990,11971,38149,13536,14344
222,990,13945,35504,14158,14393
223,990,15706,33867,14172,14255
224,990,16078,33353,14246,14323
225,990,16880,31937,14398,14785
226,990,17017,32145,14267,14571
227,990,17276,31644,14483,14597
228,990,17089,31921,14520,14470
229,990,17187,31760,14589,14464
230,990,17015,32642,14386,13957
231,990,17123,32146,14747,13984
232,990,16978,31915,14781,14326
233,990,18202,30568,15115,14115
234,990,18139,31295,14781,13785
235,990,18033,31071,14929,13967
236,990,15948,32469,14651,14932
237,990,17966,30420,15264,14350
238,990,17498,31815,14540,14147
239,990,16460,32999,14826,13715
240,990,15961,33325,14943,13771
241,990,16330,33259,14820,13591
242,990,16721,32529,14708,14042
243,990,17040,31956,14847,14157
244,990,19026,29681,14617,14676
245,990,19795,29068,14440,14697
246,990,18362,30687,14238,14713
247,990,18097,31082,14226,14595
248,990,18570,30759,14110,14561
249,990,18688,30148,14422,14742
250,990,16989,32214,13968,14829
251,990,17563,31481,14240,14716
252,990,16890,32437,14146,14527
253,990,17540,31840,14206,14414
254,990,17411,31723,14319,14547
255,990,17926,30838,14399,14837
256,990,17398,31909,13838,14855
257,990,16885,32389,13694,15032
258,990,16900,32365,13782,14953
259,990,16912,32139,13813,15136
260,990,16430,32944,13636,14990
261,990,16784,32476,13801,14939
262,990,16934,32207,13803,15056
263,990,16672,32254,13992,15082
264,990,17318,32171,13651,14860
265,990,19449,29273,14194,15084
266,990,19289,29685,14081,14945
267,990,18761,30413,14281,14545
268,990,20246,29085,14037,14632
269,990,18525,30206,14319,14950
270,990,18881,29963,14116,15040
271,990,19666,29167,13954,15213
272,990,21210,27424,13717,15649
273,990,20878,27966,13532,15624
274,990,22572,26255,13517,15656
275,990,23091,25930,13351,15628
276,990,20810,28359,13074,15757
277,990,21506,27310,12772,16412
278,990,20339,28416,13130,16115
279,990,20588,28441,13002,15969
280,990,20797,28053,13255,15895
281,990,22895,25642,13768,15695
282,990,21965,27032,13489,15514
283,990,22639,25883,13801,15677
284,990,23242,25861,13578,15319
285,990,23104,25660,13686,15550
286,990,22598,26343,13736,15323
287,990,22809,26049,13774,15368
288,990,21809,26783,14251,15157
289,990,21860,26567,14329,15244
290,990,22530,26232,14062,15176
291,990,23490,24740,14786,14984
292,990,23374,24399,14960,15267
293,990,23317,24551,14856,15276
294,990,21097,27134,14083,15686
295,990,19108,28634,14052,16206
296,990,19450,28373,14012,16165
297,990,19793,28371,13843,15993
298,990,19093,28550,14126,16231
299,990,19211,28208,14283,16298
300,990,19562,28116,14139,16183
301,990,18779,28929,14225,16067
302,990,18931,28820,14106,16143
303,990,18779,29250,14060,15911
304,990,19458,28339,14327,15876
305,990,18720,28878,14272,16130
306,990,18806,29250,14046,15898
307,990,18680,29470,13861,15989
308,990,18336,29529,13990,16145
309,990,17708,30357,13928,16007
310,990,16415,32165,14030,15390
311,990,17963,30177,13883,15977
312,990,17847,30439,13754,15960
313,990,20339,27812,13883,15966
314,990,21864,26504,13506,16126
315,990,21850,26139,13747,16264
316,990,21112,27646,13383,15859
317,990,22570,26213,13830,15387
318,990,22745,25864,13948,15443
319,990,21561,27340,13768,15331
320,990,19587,28777,14090,15546
321,990,19938,28754,13920,15388
322,990,19901,28554,14050,15495
323,990,21000,27416,13996,15588
324,990,20702,26992,14387,15919
325,990,18655,29386,14299,15660
326,990,18802,29174,14315,15709
327,990,18859,29025,14345,15771
328,990,18254,30238,14349,15159
329,990,18037,30410,14467,15086
330,990,18062,30221,14434,15283
331,990,18629,28989,14540,15842
332,990,20031,27720,14477,15772
333,990,19752,27628,14610,16010
334,990,18626,28764,14436,16174
335,990,18541,28261,14874,16324
336,990,18483,28461,14772,16284
337,990,18738,28532,14560,16170
338,990,18750,28507,14614,16129
339,990,18752,28082,14864,16302
340,990,19262,27206,15035,16497
341,990,18945,27638,14873,16544
342,990,18978,27982,14743,16297
343,990,20925,26301,14390,16384
344,990,20767,26817,14197,16219
345,990,19386,27641,14712,16261
346,990,19737,26625,15182,16456
347,990,19819,26932,14956,16293
348,990,17960,28424,14945,16671
349,990,19213,27465,15110,16212
350,990,19148,27153,15211,16488
351,990,20240,26424,15068,16268
352,990,19907,26639,15186,16268
353,990,19268,26558,15586,16588
354,990,18861,27505,15207,16427
355,990,18529,27885,15142,16444
356,990,18762,28276,14818,16144
357,990,18378,28688,14684,16250
358,990,17621,29291,14687,16401
359,990,15932,30698,15240,16130
360,990,18335,28570,14992,16103
361,990,17968,28939,15007,16086
362,990,17658,29535,14914,15893
363,990,17627,29514,14971,15888
364,990,17194,29717,15012,16077
365,990,18286,28050,15531,16133
366,990,17416,29463,15043,16078
367,990,18876,28219,14977,15928
368,990,19014,28417,14922,15647
369,990,20600,27253,14980,15167
370,990,20905,26675,15194,15226
371,990,21655,26130,15072,15143
372,990,21622,25907,15291,15180
373,990,21298,26604,15176,14922
374,990,20860,26781,15341,15018
375,990,21237,26024,15504,15235
376,990,21488,25797,15394,15321
377,990,22148,25280,15388,15184
378,990,23123,24436,15112,15329
379,990,23028,24844,15012,15116
380,990,24582,23505,14748,15165
381,990,25882,22805,14458,14855
382,990,25397,22698,14458,15447
383,990,24386,24329,14095,15190
384,990,24717,23321,14562,15400
385,990,24623,23424,14584,15369
386,990,25996,22646,14186,15172
387,990,28495,20482,14442,14581
388,990,29901,19284,14395,14420
389,990,30542,18829,14391,14238
390,990,28281,20468,14460,14791
391,990,28096,20696,14386,14822
392,990,28250,21107,14098,14545
393,990,27842,21096,14353,14709
394,990,28969,20102,14125,14804
395,990,28403,20124,14283,15190
396,990,29542,19167,14776,14515
397,990,29733,18987,14742,14538
398,990,29478,19447,14694,14381
399,990,28209,20394,14668,14729
400,990,29769,18914,14463,14854
401,990,30960,18100,14296,14644
402,990,31001,18378,14071,14550
403,990,30533,18209,14293,14965
404,990,30092,19275,13842,14791
405,990,30688,18556,13749,15007
406,990,30136,19229,13948,14687
407,990,31295,18032,14113,14560
408,990,29567,19260,14531,14642
409,990,29862,18860,14639,14639
410,990,28623,19863,14939,14575
411,990,26409,21639,15314,14638
412,990,26977,21167,15158,14698
413,990,26569,21116,15480,14835
414,990,25344,21640,15918,15098
415,990,25103,21925,15856,15116
416,990,24748,22240,15905,15107
417,990,25141,22002,15754,15103
418,990,24391,22818,15600,15191
419,990,25629,22168,15434,14769
420,990,25083,22130,15715,15072
421,990,24930,22397,15626,15047
422,990,26594,21600,15147,14659
423,990,25953,21975,15236,14836
424,990,25014,22740,15296,14950
425,990,24850,22407,15593,15150
426,990,25324,21325,16040,15311
427,990,24761,22616,15488,15135
428,990,22414,24820,15755,15011
429,990,21829,25332,15931,14908
430,990,23612,23677,15981,14730
431,990,23088,24623,15657,14632
432,990,23697,23551,15877,14875
433,990,23868,23829,15746,14557
434,990,24270,23558,15684,14488
435,990,23545,23926,15799,14730
436,990,24154,23719,15699,14428
437,990,24826,22682,15746,14746
438,990,24651,22295,16015,15039
439,990,24841,22560,15772,14827
440,990,25500,22069,15730,14701
441,990,23634,23083,16157,15126
442,990,23201,23401,16312,15086
443,990,24849,22744,16088,14319
444,990,24556,22839,16135,14470
445,990,24274,23380,16132,14214
446,990,24544,22487,16434,14535
447,990,24714,22645,16200,14441
448,990,24888,22092,16262,14758
449,990,23594,23268,16377,14761
450,990,24818,22370,16198,14614
451,990,25194,22136,16121,14549
452,990,24948,22125,16231,14696
453,990,25214,22037,16208,14541
454,990,23423,23482,16205,14890
455,990,23226,23074,16457,15243
456,990,23829,22815,16280,15076
457,990,22901,23844,16143,15112
458,990,22060,25014,16135,14791
459,990,23151,23862,16280,14707
460,990,22993,23835,16426,14746
461,990,23193,23661,16282,14864
462,990,22460,24789,16003,14748
463,990,22818,24000,16085,15097
464,990,22484,24829,15759,14928
465,990,20772,25493,16309,15426
466,990,20544,25927,16248,15281
467,990,21347,24806,16370,15477
468,990,20177,26493,16240,15090
469,990,21277,25530,15895,15298
470,990,20680,26407,15930,14983
471,990,20951,24736,16446,15867
472,990,23996,22892,15698,15414
473,990,23653,22976,15732,15639
474,990,22942,23985,15756,15317
475,990,22776,24053,15753,15418
476,990,21320,24730,15788,16162
477,990,20976,25626,15548,15850
478,990,19499,27539,15362,15600
479,990,18345,28204,15354,16097
480,990,18614,27614,15622,16150
481,990,18744,27361,15654,16241
482,990,20290,26710,14959,16041
483,990,20575,25846,15155,16424
484,990,20660,26558,14718,16064
485,990,20587,25774,15225,16414
486,990,19198,27015,15341,16446
487,990,20060,26395,15264,16281
488,990,20383,26457,14931,16229
489,990,20565,26232,14958,16245
490,990,20374,26053,15207,16366
491,990,22462,24377,14511,16650
492,990,21794,25697,14305,16204
493,990,22018,24854,14546,16582
494,990,22741,24405,14535,16319
495,990,22667,24616,14485,16232
496,990,22625,24389,14661,16325
497,990,24336,23093,14247,16324
498,990,24062,23394,14159,16385
499,990,23290,24629,13727,16354
500,990,22798,25345,13399,16458
501,990,22667,25329,13419,16585
502,990,24125,24481,13393,16001
503,990,22710,25596,13670,16024
504,990,22261,25969,13728,16042
505,990,23080,24416,14384,16120
506,990,22595,25291,14141,15973
507,990,22456,25763,14105,15676
508,990,23786,24880,13918,15416
509,990,24332,23997,14201,15470
510,990,24229,24023,14261,15487
511,990,24194,24165,14173,15468
512,990,23216,25469,13996,15319
513,990,21478,27372,14023,15127
514,990,23361,25161,14089,15389
515,990,24021,24429,14191,15359
516,990,24443,23969,14222,15366
517,990,22650,25572,14439,15339
518,990,20372,28060,13609,15959
519,990,19204,29059,13366,16371
520,990,20318,27882,13741,16059
521,990,21577,26725,13777,15921
522,990,19899,28384,13692,16025
523,990,20417,26943,14194,16446
524,990,20655,27689,13802,15854
525,990,22470,25436,13809,16285
526,990,22709,25089,13847,16355
527,990,22604,25335,13728,16333
528,990,22791,25776,13459,15974
529,990,20841,26760,14220,16179
530,990,20285,27742,13946,16027
531,990,20989,26658,14378,15975
532,990,20177,27605,14571,15647
533,990,20374,27967,14366,15293
534,990,20998,27225,14508,15269
535,990,20279,27664,14573,15484
536,990,20361,27923,14382,15334
537,990,20752,27415,14387,15446
538,990,21642,26019,14829,15510
539,990,20053,27245,14855,15847
540,990,17591,29222,15575,15612
541,990,18227,28457,15550,15766
542,990,18868,28091,15374,15667
543,990,19029,27013,15555,16403
544,990,20357,25998,15483,16162
545,990,21426,25263,15297,16014
546,990,20171,25975,15627,16227
547,990,19805,25939,15880,16376
548,990,20431,25558,15895,16116
549,990,19866,26081,15979,16074
550,990,19348,27071,15761,15820
551,990,19429,26676,15955,15940
552,990,19526,26513,15983,15978
553,990,19815,26112,15872,16201
554,990,17396,27818,16060,16726
555,990,17620,28267,15793,16320
556,990,15008,30462,16050,16480
557,990,14492,31307,15825,16376
558,990,14202,31296,15993,16509
559,990,14407,31250,15824,16519
560,990,14242,31546,15806,16406
561,990,14589,31056,15925,16430
562,990,13045,32517,16083,16355
563,990,12130,33784,16151,15935
564,990,12185,34186,15858,15771
565,990,11576,34683,15992,15749
566,990,11674,35014,15803,15509
567,990,10806,36279,15541,15374
568,990,11352,36092,15317,15239
569,990,10144,37427,15195,15234
570,990,10770,37023,15046,15161
571,990,11241,36381,15153,15225
572,990,11266,35697,15487,15550
573,990,11050,36407,15253,15290
574,990,11766,35694,15341,15199
575,990,11867,34989,15540,15604
576,990,12222,35036,15437,15305
577,990,11916,35137,15444,15503
578,990,11895,35057,15553,15495
579,990,11642,36028,15275,15055
580,990,12199,34278,15975,15548
581,990,12184,34982,15664,15170
582,990,11913,35133,15693,15261
583,990,12475,34345,15747,15433
584,990,12602,34203,15803,15392
585,990,13203,33325,15931,15541
586,990,12180,35174,15662,14984
587,990,12023,35390,15645,14942
588,990,11346,36341,15623,14690
589,990,11763,35959,15536,14742
590,990,11700,35264,16044,14992
591,990,13616,34218,15198,14968
592,990,12973,35248,15126,14653
593,990,13032,35183,15117,14668
594,990,13846,34350,15055,14749
595,990,12131,35790,15230,14849
596,990,14586,32608,15223,15583
597,990,15248,31549,15569,15634
598,990,14817,32239,15399,15545
599,990,14389,32999,15188,15424
600,990,14497,33001,15118,15384
601,990,13849,33953,14910,15288
602,990,14692,31893,15527,15888
603,990,14434,32243,15548,15775
604,990,14381,33073,15071,15475
605,990,13125,34464,14972,15439
606,990,13808,34089,14807,15296
607,990,13586,34090,14869,15455
608,990,13511,33966,14963,15560
609,990,13367,34581,14831,15221
610,990,12845,35759,14417,14979
611,990,12409,36128,14450,15013
612,990,12367,35593,14730,15310
613,990,11564,37652,14014,14770
614,990,11237,38408,13769,14586
615,990,11805,37224,14050,14921
616,990,11614,37112,14210,15064
617,990,11672,37327,14079,14922
618,990,9751,39140,14512,14597
619,990,10255,38798,14365,14582
620,990,10427,38555,14469,14549
621,990,9920,39262,14428,14390
622,990,9909,38863,14691,14537
623,990,10346,38799,14456,14399
624,990,9950,39248,14470,14332
625,990,10302,38664,14559,14475
626,990,10478,38361,14638,14523
627,990,10585,38321,14496,14598
628,990,9812,38931,14684,14573
629,990,10392,38304,14651,14653
630,990,9745,39147,14499,14609
631,990,10639,38305,14412,14644
632,990,10082,38698,14461,14759
633,990,10240,37708,15015,15037
634,990,11837,36885,15063,14215
635,990,12034,36657,15033,14276
636,990,11713,37487,14825,13975
637,990,11745,36880,15180,14195
638,990,13836,34762,15540,13862
639,990,13744,34753,15635,13868
640,990,15815,32475,15842,13868
641,990,16795,31054,15848,14303
642,990,16985,30776,16072,14167
643,990,16907,31116,15835,14142
644,990,16848,30524,16139,14489
645,990,17106,30716,15988,14190
646,990,17152,30051,16313,14484
647,990,17051,30310,16151,14488
648,990,16812,31034,15962,14192
649,990,14994,32301,16418,14287
650,990,15573,32138,16202,14087
651,990,14475,33035,16266,14224
652,990,14882,32908,16277,13933
653,990,14457,33465,16160,13918
654,990,13760,34395,16195,13650
655,990,13052,35561,15760,13627
656,990,13682,34761,15966,13591
657,990,13035,35311,15905,13749
658,990,15653,32890,16003,13454
659,990,14923,33582,16043,13452
660,990,15032,33127,16218,13623
661,990,13082,35447,15996,13475
662,990,13117,34831,16274,13778
663,990,13647,34286,16195,13872
664,990,13602,34635,16001,13762
665,990,13575,34656,16061,13708
666,990,13847,34246,16216,13691
667,990,13175,35199,16122,13504
668,990,13460,35036,16015,13489
669,990,11685,36072,16196,14047
670,990,11741,35739,16335,14185
671,990,11730,36437,15953,13880
672,990,11411,36740,15902,13947
673,990,11238,37728,15518,13516
674,990,10963,37618,15738,13681
675,990,10981,37814,15616,13589
676,990,11457,36621,15939,13983
677,990,13255,34972,15940,13833
678,990,11680,36895,15682,13743
679,990,12044,36022,16088,13846
680,990,11979,36137,16010,13874
681,990,12478,35535,16053,13934
682,990,12303,36082,15911,13704
683,990,12194,36358,15793,13655
684,990,11908,36263,16035,13794
685,990,12506,35462,16088,13944
686,990,12891,34821,16255,14033
687,990,12432,35410,16209,13949
688,990,12445,35213,16266,14076
689,990,12978,34792,16153,14077
690,990,12799,35339,15972,13890
691,990,13170,34236,16264,14330
692,990,15562,31037,16957,14444
693,990,15296,32150,16528,14026
694,990,15809,31001,16753,14437
695,990,16444,29869,16823,14864
696,990,15799,30776,16728,14697
697,990,16663,29826,16687,14824
698,990,16072,30703,16587,14638
699,990,15252,31220,16856,14672
700,990,15402,31227,16825,14546
701,990,15268,31235,16843,14654
702,990,14734,33104,16235,13927
703,990,15142,31790,16749,14319
704,990,13332,33394,16442,14832
705,990,13894,33356,16103,14647
706,990,13661,32828,16457,15054
707,990,13754,33076,16293,14877
708,990,13789,33295,16230,14686
709,990,13786,33297,16274,14643
710,990,13307,33276,16507,14910
711,990,13093,33761,16262,14884
712,990,13412,33273,16535,14780
713,990,13462,33924,16148,14466
714,990,12187,35701,15665,14447
715,990,12100,35679,15728,14493
716,990,12034,36013,15552,14401
717,990,11876,36230,15621,14273
718,990,12732,34450,16013,14805
719,990,12473,34892,15866,14769
720,990,11934,36299,15624,14143
721,990,11716,36569,15644,14071
722,990,11439,37065,15590,13906
723,990,11291,37366,15483,13860
724,990,11163,36990,15712,14135
725,990,11881,36250,15783,14086
726,990,11729,36251,15800,14220
727,990,11860,36479,15657,14004
728,990,12630,35126,16140,14104
729,990,12357,35478,16216,13949
730,990,12481,34745,16461,14313
731,990,12664,34379,16413,14544
732,990,12815,34139,16352,14694
733,990,13154,33843,16411,14592
