round,seed,defect,exploit,exploit_,coop
199,824,28299,15245,14479,19977
200,824,28571,15156,14381,19892
201,824,27071,15616,13979,21334
202,824,27249,15744,14028,20979
203,824,27478,15560,13979,20983
204,824,26392,15781,13729,22098
205,824,26447,15694,13511,22348
206,824,26287,15588,13683,22442
207,824,26937,15711,13491,21861
208,824,27763,15422,13449,21366
209,824,29874,15511,13059,19556
210,824,28596,15219,13481,20704
211,824,30457,15089,13581,18873
212,824,29855,15427,13370,19348
213,824,29556,15339,13252,19853
214,824,29653,15568,13389,19390
215,824,30030,15404,13256,19310
216,824,29900,15587,13412,19101
217,824,30161,15563,13319,18957
218,824,28692,14879,13837,20592
219,824,28456,14875,13809,20860
220,824,27458,15214,13709,21619
221,824,28573,15185,13826,20416
222,824,27757,15401,13729,21113
223,824,26480,14752,14198,22570
224,824,26956,14260,14657,22127
225,824,29415,13870,14216,20499
226,824,30250,14433,14114,19203
227,824,30380,14410,14235,18975
228,824,29785,14263,14495,19457
229,824,30431,14740,13843,18986
230,824,29250,14340,14213,20197
231,824,30251,14352,14086,19311
232,824,28046,14211,14769,20974
233,824,29430,14248,14253,20069
234,824,26958,14246,14596,22200
235,824,26467,14420,14661,22452
236,824,27703,14410,14765,21122
237,824,29318,14291,14594,19797
238,824,30347,14564,14402,18687
239,824,28630,15238,13778,20354
240,824,27059,15636,13513,21792
241,824,27035,15763,13525,21677
242,824,27326,15564,13431,21679
243,824,26756,15839,13287,22118
244,824,27866,16301,12935,20898
245,824,27693,16388,12948,20971
246,824,27826,16193,13144,20837
247,824,26844,16089,12913,22154
248,824,26774,16224,12976,22026
249,824,25943,16753,12803,22501
250,824,24555,16732,12625,24088
251,824,24312,16807,12670,24211
252,824,24622,16828,12512,24038
253,824,25668,17254,12522,22556
254,824,27826,17525,12084,20565
255,824,27610,17605,12022,20763
256,824,28975,17487,11949,19589
257,824,27875,17903,11891,20331
258,824,28122,17947,11926,20005
259,824,25937,18098,11996,21969
260,824,25879,18064,12001,22056
261,824,27808,17467,12545,20180
262,824,27539,17484,12538,20439
263,824,25658,17751,12277,22314
264,824,26086,17694,12255,21965
265,824,25744,17769,12369,22118
266,824,23699,17373,12846,24082
267,824,24196,17083,12932,23789
268,824,22842,16370,13630,25158
269,824,24224,16346,13649,23781
270,824,24883,16241,13584,23292
271,824,23367,16268,13333,25032
272,824,23322,16274,13364,25040
273,824,23368,16389,13402,24841
274,824,23049,16147,13314,25490
275,824,24167,16223,13679,23931
276,824,22427,16068,13951,25554
277,824,24782,15213,14677,23328
278,824,24747,15105,14732,23416
279,824,26196,15493,14481,21830
280,824,26126,15192,14493,22189
281,824,26377,15326,14418,21879
282,824,24524,15799,14212,23465
283,824,24811,15675,14048,23466
284,824,24590,15742,14000,23668
285,824,23250,15399,14037,25314
286,824,24791,15848,13798,23563
287,824,25304,16005,13577,23114
288,824,25388,15941,13478,23193
289,824,26036,15590,13661,22713
290,824,23935,16140,13215,24710
291,824,23910,16153,13350,24587
292,824,22294,15727,13793,26186
293,824,22391,15745,13705,26159
294,824,22451,15536,13755,26258
295,824,22643,15488,13638,26231
296,824,23992,15193,13856,24959
297,824,24056,15176,13951,24817
298,824,25335,16127,13362,23176
299,824,25414,16192,13482,22912
300,824,25320,16222,13660,22798
301,824,25598,16004,13325,23073
302,824,25384,16013,13383,23220
303,824,25281,16088,13478,23153
304,824,27470,15913,13071,21546
305,824,29006,16134,13026,19834
306,824,28372,15792,13470,20366
307,824,28349,15859,13661,20131
308,824,28300,15878,13505,20317
309,824,28690,15837,13658,19815
310,824,28679,15822,13434,20065
