round,seed,coop,exploit_,exploit,defect
89,256,23115,14081,15978,24826
90,256,24497,13823,15773,23907
91,256,22743,14196,15246,25815
92,256,20958,14139,15793,27110
93,256,22030,13753,16004,26213
94,256,21084,14089,15340,27487
95,256,20810,14311,15690,27189
96,256,21192,14325,15981,26502
97,256,20412,14324,15211,28053
98,256,22306,15450,14550,25694
99,256,22773,15800,14477,24950
100,256,22650,15761,14572,25017
101,256,22673,15823,14575,24929
102,256,23620,16127,14600,23653
103,256,22286,16903,14204,24607
104,256,22875,17173,14084,23868
105,256,23495,17161,14797,22547
106,256,23717,17079,14423,22781
107,256,21690,16055,15653,24602
108,256,21699,15975,15715,24611
109,256,23408,15614,16174,22804
110,256,22176,16394,16092,23338
111,256,24185,17200,15019,21596
112,256,24105,17362,15129,21404
113,256,22641,18037,14954,22368
114,256,23320,19005,14646,21029
115,256,24844,18103,14890,20163
116,256,24828,18116,15044,20012
117,256,25068,17940,14989,20003
118,256,25070,18168,14935,19827
119,256,23103,17432,15659,21806
120,256,21513,17198,16467,22822
121,256,21468,17269,16532,22731
122,256,20260,17600,16684,23456
123,256,19706,17366,16158,24770
124,256,19642,17512,16257,24589
125,256,19824,17462,16056,24658
126,256,19735,17361,16222,24682
127,256,19247,16447,16194,26112
128,256,19182,16442,16330,26046
129,256,19311,16308,16550,25831
130,256,17687,15897,16397,28019
131,256,17712,15956,16540,27792
132,256,17628,15966,16505,27901
133,256,16563,15879,17066,28492
134,256,15490,16422,17110,28978
135,256,15772,16175,17844,28209
136,256,17399,17195,17214,26192
137,256,17320,17351,17114,26215
138,256,17517,17220,17180,26083
139,256,17151,16625,17109,27115
140,256,18551,15756,18354,25339
141,256,18713,15684,18242,25361
142,256,18461,15723,18495,25321
143,256,20298,16740,17408,23554
144,256,18704,17698,16358,25240
145,256,20200,18360,15995,23445
146,256,22079,16939,17177,21805
147,256,22097,17135,17158,21610
148,256,22071,17112,17231,21586
149,256,23410,17169,16432,20989
150,256,24355,16368,16790,20487
151,256,25141,16629,16822,19408
152,256,26498,16445,16354,18703
153,256,25043,16993,16606,19358
154,256,25301,16808,16764,19127
155,256,25300,16731,16633,19336
156,256,25136,16798,16737,19329
157,256,24836,16771,16539,19854
158,256,23000,16782,16750,21468
159,256,23022,16633,16672,21673
160,256,22957,16822,16763,21458
161,256,21311,16261,17182,23246
162,256,22948,16994,16586,21472
163,256,24492,16482,16055,20971
164,256,26277,16978,15741,19004
165,256,26770,17466,15641,18123
166,256,26877,17450,15661,18012
167,256,26829,17466,15579,18126
168,256,27237,17122,16420,17221
169,256,27133,17244,16458,17165
170,256,27171,17330,16375,17124
171,256,27071,16298,16548,18083
172,256,26549,16492,16217,18742
173,256,28624,16517,16047,16812
174,256,28396,16337,16210,17057
175,256,30266,15104,16515,16115
176,256,28217,14923,17302,17558
177,256,26206,14488,17929,19377
178,256,26094,14719,18007,19180
179,256,25969,14711,17950,19370
180,256,28033,14319,17920,17728
181,256,26876,14605,18267,18252
182,256,24658,16000,17344,19998
183,256,26857,16004,16847,18292
184,256,26286,15950,16337,19427
185,256,28186,14903,17274,17637
186,256,28097,15010,17222,17671
187,256,30225,14968,16756,16051
188,256,30368,15082,16719,15831
189,256,30211,15128,16652,16009
190,256,29696,14813,16505,16986
191,256,28073,14779,17429,17719
192,256,26510,15472,17504,18514
193,256,26832,15324,17380,18464
194,256,25344,15648,18227,18781
195,256,23627,16927,16841,20605
196,256,25376,17292,16472,18860
197,256,23786,17884,16491,19839
198,256,23786,17843,16572,19799
199,256,25803,16594,17335,18268
200,256,27611,15715,17970,16704
201,256,27082,15840,17226,17852
202,256,27112,15854,17314,17720
203,256,26726,15867,17230,18177
204,256,26193,15020,17589,19198
205,256,28267,15771,16544,17418
206,256,27548,15274,16586,18592
207,256,25691,16320,15808,20181
208,256,27549,17156,14795,18500
209,256,25804,18184,13831,20181
210,256,25570,18352,13695,20383
211,256,26124,18807,13732,19337
212,256,27336,18626,12914,19124
213,256,25331,17965,14077,20627
214,256,27441,16555,15164,18840
215,256,27256,16580,15309,18855
216,256,28813,15860,15561,17766
217,256,29413,15589,15286,17712
218,256,29092,15725,15560,17623
219,256,29618,15916,15599,16867
220,256,29429,16056,15605,16910
221,256,31673,15492,15129,15706
222,256,29229,15796,15559,17416
223,256,27307,15201,16400,19092
224,256,27469,15156,16103,19272
225,256,29202,15305,15964,17529
226,256,29088,15342,16170,17400
227,256,31256,14906,15899,15939
228,256,31649,14849,15948,15554
229,256,31412,14915,15676,15997
230,256,29179,15226,16186,17409
231,256,29358,15477,15880,17285
232,256,31540,15940,14889,15631
233,256,30021,16167,15461,16351
234,256,32012,16576,14622,14790
235,256,31952,16596,14770,14682
236,256,31383,16761,14069,15787
237,256,31482,16755,14066,15697
238,256,33733,16709,13557,14001
239,256,31752,17743,13352,15153
240,256,31903,17638,13429,15030
241,256,31819,17697,13154,15330
242,256,32621,17414,13901,14064
243,256,32402,17430,13811,14357
244,256,32533,17557,13704,14206
245,256,32304,17569,13913,14214
246,256,32145,17541,13420,14894
247,256,31894,17588,13586,14932
248,256,30055,16610,14965,16370
249,256,29935,16670,14858,16537
250,256,30047,16694,14898,16361
251,256,28265,18018,14377,17340
252,256,26372,17547,15063,19018
253,256,26217,17374,15192,19217
254,256,24466,16728,16016,20790
255,256,23949,16915,15570,21566
256,256,25497,16849,15094,20560
257,256,25562,16781,15151,20506
258,256,27550,17903,13846,18701
259,256,29838,17420,13756,16986
260,256,29592,17404,13699,17305
261,256,29999,17805,13870,16326
262,256,28015,18826,13525,17634
263,256,28838,19316,13328,16518
264,256,28247,18773,13497,17483
265,256,28362,18655,13523,17460
266,256,29524,18348,13312,16816
267,256,30314,18532,13268,15886
268,256,31849,18586,12383,15182
269,256,31235,18321,12352,16092
270,256,31220,18312,12387,16081
271,256,31121,18398,12386,16095
272,256,31256,18353,12495,15896
273,256,30856,18300,12351,16493
274,256,30928,18002,12261,16809
275,256,28643,19250,11706,18401
276,256,28214,19118,11772,18896
277,256,28367,19002,11788,18843
278,256,28339,19037,11671,18953
279,256,28410,18826,11773,18991
280,256,28663,18903,11681,18753
281,256,28572,18690,11642,19096
282,256,30301,17519,12878,17302
283,256,32888,16472,12978,15662
284,256,32722,16608,13193,15477
285,256,31956,16086,13513,16445
286,256,33254,16530,12732,15484
287,256,33625,16208,12495,15672
288,256,35353,15878,12667,14102
289,256,35499,15746,12524,14231
290,256,34780,15537,12768,14915
291,256,35729,15824,12320,14127
292,256,34573,15296,13070,15061
293,256,35943,14587,13291,14179
294,256,37182,14562,12971,13285
295,256,37083,14580,13149,13188
296,256,38944,13920,12960,12176
297,256,38729,14099,13255,11917
298,256,39277,13728,13567,11428
299,256,39056,13915,13299,11730
300,256,37058,14038,13755,13149
301,256,36847,13839,13759,13555
302,256,34646,13703,14481,15170
303,256,35626,13832,14338,14204
304,256,35110,13873,14541,14476
305,256,37417,13826,14092,12665
306,256,39265,14190,12897,11648
307,256,36697,14159,13623,13521
308,256,36307,14151,13640,13902
309,256,38014,14250,12928,12808
310,256,37829,14167,13114,12890
311,256,35392,14129,13813,14666
312,256,35652,14089,13835,14424
313,256,35628,14198,13695,14479
314,256,36961,14471,13030,13538
315,256,36974,14315,13062,13649
316,256,36480,14762,12922,13836
317,256,36586,14625,12714,14075
318,256,34728,14505,13515,15252
319,256,34015,14744,13656,15585
320,256,35076,15012,13130,14782
321,256,33083,14552,14356,16009
322,256,33451,14607,14281,15661
323,256,33535,14370,14071,16024
324,256,33562,14533,14090,15815
325,256,34296,14219,13999,15486
326,256,33834,14436,14117,15613
327,256,33663,14440,14105,15792
328,256,34608,14215,14112,15065
329,256,36103,13498,14462,13937
330,256,33433,13829,14916,15822
331,256,36204,13677,14053,14066
332,256,36815,14231,13741,13213
333,256,35196,13728,14632,14444
334,256,36931,13983,13774,13312
335,256,36898,14059,13748,13295
336,256,37278,14003,13694,13025
337,256,35204,13740,14681,14375
338,256,35214,13616,14648,14522
339,256,35118,13561,14567,14754
340,256,34903,13866,14635,14596
341,256,34499,13834,14434,15233
342,256,32950,14037,15283,15730
343,256,32731,14034,15033,16202
344,256,33778,14168,14832,15222
345,256,35117,14617,13871,14395
346,256,34274,14895,13658,15173
347,256,31928,14619,14518,16935
348,256,33773,13559,14544,16124
349,256,33762,13645,14704,15889
350,256,34079,13373,14631,15917
351,256,34709,13430,14757,15104
352,256,34390,13577,14862,15171
353,256,35439,13736,14383,14442
354,256,33918,14604,14296,15182
355,256,33815,14765,14411,15009
356,256,34183,14670,14501,14646
357,256,34949,14949,14264,13838
358,256,34866,14953,14238,13943
359,256,35426,14717,14799,13058
360,256,37492,14475,14091,11942
361,256,35393,15844,13241,13522
362,256,32719,15783,14240,15258
363,256,33329,15865,14251,14555
364,256,33110,15527,14181,15182
365,256,33018,15435,14391,15156
366,256,32380,15654,14074,15892
367,256,32059,15700,14235,16006
368,256,34364,14947,13941,14748
369,256,34641,14817,14239,14303
370,256,34525,14833,14290,14352
371,256,34922,14667,14556,13855
372,256,34157,14430,14794,14619
373,256,33527,14233,14677,15563
374,256,31376,15144,14752,16728
375,256,33231,13984,15247,15538
376,256,34920,13889,14639,14552
377,256,35537,13895,14740,13828
378,256,36506,13768,14674,13052
379,256,36834,13713,14658,12795
380,256,38493,13769,13848,11890
381,256,38740,13522,14258,11480
382,256,38882,13568,14072,11478
383,256,40885,13684,13133,10298
384,256,40192,13723,13192,10893
385,256,40185,13630,13247,10938
386,256,40955,13911,12849,10285
387,256,38615,13308,14082,11995
388,256,38396,13460,14164,11980
389,256,37790,13266,14385,12559
390,256,36147,12948,15430,13475
391,256,35037,13301,15456,14206
392,256,35111,13145,15334,14410
393,256,34843,13174,15386,14597
394,256,36043,13166,15169,13622
395,256,34791,13618,14890,14701
396,256,37198,13954,13833,13015
397,256,37776,13707,13663,12854
398,256,35985,13718,14759,13538
399,256,35412,13502,14833,14253
400,256,35313,13626,14887,14174
401,256,33411,13472,15653,15464
402,256,31523,13074,16033,17370
403,256,33416,12050,16884,15650
404,256,33887,11855,17156,15102
405,256,33955,11896,17284,14865
406,256,33927,11785,17159,15129
407,256,36048,12676,16011,13265
408,256,34094,12644,16557,14705
409,256,34826,12665,16758,13751
410,256,34888,12441,16699,13972
411,256,34930,12708,16843,13519
412,256,32626,12852,17205,15317
413,256,32453,12775,16788,15984
414,256,30682,13392,17419,16507
415,256,32241,13178,16628,15953
416,256,31718,12650,16944,16688
417,256,31457,12783,17069,16691
418,256,29246,11796,18242,18716
419,256,30649,11585,18047,17719
420,256,31308,11791,18040,16861
421,256,32868,11459,17437,16236
422,256,31848,11314,17657,17181
423,256,29933,11813,17528,18726
424,256,30430,11441,18102,18027
425,256,29927,11614,17864,18595
426,256,30747,11225,18167,17861
427,256,31214,11357,18177,17252
428,256,33106,11090,18112,15692
429,256,33496,11056,18136,15312
430,256,32109,11349,18277,16265
431,256,31742,11414,18458,16386
432,256,34142,10439,18915,14504
433,256,36458,9797,18896,12849
434,256,34349,10074,19033,14544
435,256,35563,9868,18520,14049
436,256,36133,9730,18668,13469
437,256,36350,9683,18511,13456
438,256,36382,9753,18545,13320
439,256,36189,9851,18583,13377
440,256,36181,9778,18723,13318
441,256,36841,9988,18547,12624
442,256,36130,10218,18623,13029
443,256,38204,10393,17213,12190
444,256,35722,10985,17621,13672
445,256,34934,11327,17082,14657
446,256,35957,11430,16840,13773
447,256,36713,11274,17141,12872
448,256,37138,11016,17609,12237
449,256,37432,10924,17342,12302
450,256,36537,11380,17073,13010
451,256,34700,12074,17277,13949
452,256,34472,12171,17027,14330
453,256,35385,11893,17249,13473
454,256,35893,12078,17368,12661
455,256,35483,12029,17417,13071
456,256,33374,11633,18622,14371
457,256,33444,11636,18663,14257
458,256,33655,11587,18759,13999
459,256,33000,11823,18200,14977
460,256,34489,11967,17169,14375
461,256,34612,12090,17137,14161
462,256,34690,11876,17116,14318
463,256,36192,11359,16986,13463
464,256,38183,11535,16311,11971
465,256,38532,11297,16355,11816
466,256,39276,11653,16033,11038
467,256,39201,11587,16067,11145
468,256,39096,11503,16116,11285
469,256,38456,11645,16074,11825
470,256,37585,12103,15706,12606
471,256,37642,12056,15678,12624
472,256,36842,12401,15479,13278
473,256,36806,12338,15425,13431
474,256,36222,12703,15105,13970
475,256,37081,12290,15377,13252
476,256,37023,12337,15449,13191
477,256,37601,12033,15677,12689
478,256,37782,12106,15687,12425
479,256,37982,12109,15616,12293
480,256,37670,12132,15592,12606
481,256,37400,11936,15762,12902
482,256,37384,11903,15760,12953
483,256,37787,11893,15820,12500
484,256,37866,12041,15890,12203
485,256,38165,11873,15774,12188
486,256,36299,11701,16781,13219
487,256,35443,11830,16739,13988
488,256,35642,11798,16706,13854
489,256,33185,12993,16076,15746
490,256,35422,12630,15609,14339
491,256,35818,12662,15592,13928
492,256,34544,12867,15910,14679
493,256,33176,13300,15817,15707
494,256,33027,13019,15898,16056
495,256,33124,12939,15856,16081
496,256,33075,13065,15997,15863
497,256,32557,13065,16112,16266
498,256,32387,13271,15907,16435
499,256,31757,13081,15834,17328
