,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,32451519,12950,0.416,0.166
1,1024,defect,17547422,10372,0.225,0.133
2,1024,exploitation,28001059,3286,0.359,0.042
3000,128,coop,30975328,8121,0.397,0.104
3001,128,defect,17926030,7838,0.23,0.1
3002,128,exploitation,29098642,1871,0.373,0.024
6000,16,coop,17639632,7179,0.226,0.092
6001,16,defect,31449444,8532,0.403,0.109
6002,16,exploitation,28910924,1856,0.371,0.024
9000,256,coop,13814788,7441,0.177,0.095
9001,256,defect,37015276,10540,0.475,0.135
9002,256,exploitation,27169936,3788,0.348,0.049
12000,2,coop,30927563,7990,0.396,0.102
12001,2,defect,18861666,7970,0.242,0.102
12002,2,exploitation,28210771,1087,0.362,0.014
15000,32,coop,21500155,5199,0.275,0.067
15001,32,defect,28004252,5745,0.359,0.074
15002,32,exploitation,28495593,834,0.365,0.011
18000,4,coop,16753441,9922,0.215,0.127
18001,4,defect,33551688,11321,0.43,0.145
18002,4,exploitation,27694871,1917,0.355,0.025
21000,512,coop,36896392,6266,0.473,0.08
21001,512,defect,13322250,4671,0.171,0.06
21002,512,exploitation,27781358,1842,0.356,0.024
24000,64,coop,28896514,9681,0.37,0.124
24001,64,defect,20652618,9685,0.265,0.124
24002,64,exploitation,28450868,1313,0.365,0.017
27000,8,coop,22309568,7249,0.286,0.093
27001,8,defect,26175818,8218,0.336,0.105
27002,8,exploitation,29514614,1619,0.378,0.021
