round,seed,defect,exploit,exploit_,coop
1,711,19687,16741,11993,29579
2,711,18590,17553,11701,30156
3,711,18357,17399,11725,30519
4,711,18662,17336,11822,30180
5,711,18738,17274,11767,30221
6,711,18451,17371,11791,30387
7,711,19154,17186,12028,29632
8,711,19887,17279,11805,29029
9,711,20829,18020,11497,27654
10,711,21062,17823,11434,27681
11,711,21125,17977,11797,27101
12,711,20945,17795,11583,27677
13,711,20625,18132,11646,27597
14,711,20909,17850,11241,28000
15,711,19679,17523,11734,29064
16,711,19592,17359,11668,29381
17,711,19154,17614,11814,29418
18,711,19235,17300,11777,29688
19,711,18999,17189,11941,29871
20,711,18933,17271,11812,29984
21,711,17651,17167,11603,31579
22,711,18259,17159,11526,31056
23,711,18230,16923,11600,31247
24,711,19260,17456,11594,29690
25,711,19203,17539,11652,29606
26,711,20878,18190,11233,27699
27,711,20448,18109,11219,28224
28,711,20601,17864,11196,28339
29,711,20292,18117,11270,28321
30,711,19442,17835,11163,29560
31,711,18056,17163,11629,31152
32,711,18122,17130,11767,30981
33,711,16261,16428,11728,33583
34,711,15778,16815,11888,33519
35,711,17307,17239,11616,31838
36,711,17309,17282,11672,31737
37,711,16980,17173,11482,32365
38,711,15961,17374,11545,33120
39,711,15208,17774,11457,33561
40,711,14223,17444,10788,35545
41,711,12789,16945,10769,37497
42,711,12979,17031,10645,37345
43,711,13596,17041,10933,36430
44,711,14143,16704,11055,36098
45,711,15830,16281,12190,33699
46,711,15527,16236,12005,34232
47,711,15592,16312,12175,33921
48,711,16175,16534,11947,33344
49,711,16140,16725,11879,33256
50,711,16094,16733,11998,33175
51,711,16212,16799,12021,32968
52,711,14525,16621,11198,35656
53,711,14402,16754,11276,35568
54,711,14181,16726,10988,36105
55,711,15357,17312,11092,34239
56,711,14298,16512,11478,35712
57,711,13458,15646,11871,37025
58,711,13827,15716,12019,36438
59,711,13948,15709,12172,36171
60,711,14409,15919,12114,35558
61,711,15020,15641,12227,35112
62,711,15065,15796,12303,34836
63,711,14775,15827,12387,35011
64,711,15714,15809,12753,33724
65,711,15565,15777,12683,33975
66,711,17861,16540,12627,30972
67,711,17446,16011,12657,31886
68,711,19698,15803,12717,29782
69,711,21136,16431,12283,28150
70,711,21308,16738,12486,27468
71,711,21260,16581,12489,27670
72,711,20273,16260,12605,28862
73,711,20440,16223,12892,28445
74,711,18645,15567,13298,30490
75,711,19060,15883,13695,29362
76,711,19364,15532,13422,29682
77,711,19244,15416,13308,30032
78,711,19017,15517,13405,30061
79,711,19104,15520,13443,29933
80,711,17364,15554,13934,31148
81,711,17520,15580,13926,30974
82,711,16914,15405,13609,32072
83,711,16917,15393,13615,32075
84,711,16514,15121,13422,32943
85,711,16225,15183,13603,32989
86,711,14772,14676,14254,34298
87,711,15280,14530,14400,33790
88,711,14551,14908,14376,34165
89,711,16404,14814,13832,32950
90,711,16537,14966,13898,32599
91,711,18219,15350,13579,30852
92,711,19725,15527,13064,29684
93,711,19510,15855,13023,29612
94,711,19851,15663,13326,29160
95,711,20138,15379,13362,29121
96,711,19568,15665,13200,29567
97,711,20992,16014,12857,28137
98,711,21159,15937,12983,27921
99,711,21312,16006,12847,27835
100,711,20832,16221,12659,28288
101,711,20635,16146,12589,28630
102,711,20011,15782,12944,29263
103,711,19776,15896,12812,29516
104,711,21352,15395,13586,27667
105,711,21369,15306,13575,27750
106,711,20561,15815,13480,28144
107,711,20738,15782,13077,28403
108,711,20261,15462,13508,28769
109,711,19089,15180,13608,30123
110,711,18048,15315,13392,31245
111,711,19169,15496,13591,29744
112,711,18904,15216,13625,30255
113,711,18850,15216,13614,30320
114,711,17016,14200,14587,32197
115,711,15547,14599,13789,34065
116,711,15168,14468,13518,34846
117,711,14340,14550,13879,35231
118,711,14470,14463,13833,35234
119,711,13748,14516,13594,36142
120,711,13994,14769,13518,35719
121,711,15127,14920,13919,34034
122,711,16373,15705,13631,32291
123,711,16064,15689,13845,32402
124,711,15181,15793,14092,32934
125,711,15784,15745,13599,32872
126,711,15736,15929,13683,32652
127,711,15684,15864,13575,32877
128,711,16275,15954,13483,32288
129,711,18099,15208,14582,30111
130,711,18212,15366,14293,30129
131,711,17910,15778,14136,30176
132,711,19089,15355,15172,28384
133,711,19017,15305,15103,28575
134,711,20930,14501,16172,26397
135,711,22780,14680,15994,24546
136,711,23005,14511,15933,24551
137,711,21506,14970,15477,26047
138,711,19794,14066,16000,28140
139,711,19396,14267,15964,28373
140,711,19552,14360,16244,27844
141,711,20929,14189,16608,26274
142,711,21411,14036,16003,26550
143,711,22840,14201,16310,24649
144,711,23333,14264,16138,24265
145,711,22538,14294,16707,24461
146,711,23294,14413,16252,24041
147,711,23193,14360,16090,24357
148,711,23154,14272,16249,24325
149,711,24466,14495,16216,22823
150,711,24470,14447,16316,22767
151,711,23145,14351,16221,24283
152,711,23635,14527,16179,23659
153,711,23665,14344,16037,23954
154,711,21758,14459,15985,25798
155,711,22912,13888,16760,24440
156,711,25054,12617,17901,22428
157,711,24441,12524,18267,22768
158,711,23568,12877,17546,24009
159,711,22225,12443,17693,25639
160,711,21743,12615,17805,25837
161,711,23185,12990,17350,24475
162,711,24672,12603,17954,22771
163,711,26788,11800,18498,20914
164,711,25341,11923,18373,22363
165,711,24697,12010,18660,22633
166,711,25598,12299,18993,21110
167,711,25835,12233,18799,21133
168,711,23867,13177,18035,22921
169,711,23823,13039,18106,23032
170,711,23936,13054,17933,23077
171,711,25088,13322,17954,21636
172,711,25194,13346,17722,21738
173,711,25835,13542,17430,21193
174,711,26537,13654,17114,20695
175,711,25701,13779,16516,22004
176,711,25375,13754,16599,22272
177,711,23778,14065,16166,23991
178,711,25074,14160,15620,23146
179,711,25223,14221,15660,22896
180,711,26622,14050,15078,22250
181,711,26708,14065,15111,22116
182,711,25830,14230,15342,22598
183,711,25749,14334,15268,22649
184,711,28013,13718,15726,20543
185,711,29523,14479,14771,19227
186,711,29485,14286,14944,19285
187,711,28359,14166,15404,20071
188,711,27446,13620,15491,21443
189,711,26497,13725,15325,22453
190,711,26346,13630,15340,22684
191,711,25703,13557,15671,23069
192,711,24453,14142,15655,23750
193,711,25488,14078,15526,22908
194,711,23497,15153,14372,24978
195,711,25476,15287,14540,22697
196,711,26441,15398,14077,22084
197,711,26192,15307,14022,22479
198,711,26425,15356,14170,22049
