,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,37438894,11740,0.48,0.151
1,1024,defect,13964132,9794,0.179,0.126
2,1024,exploitation,26596974,2647,0.341,0.034
3000,128,coop,24303309,9886,0.312,0.127
3001,128,defect,25243518,10361,0.324,0.133
3002,128,exploitation,28453173,1509,0.365,0.02
6000,16,coop,26057296,7989,0.334,0.103
6001,16,defect,23083221,8017,0.296,0.103
6002,16,exploitation,28859483,1326,0.37,0.017
9000,256,coop,36523030,6860,0.468,0.088
9001,256,defect,13580059,4673,0.174,0.06
9002,256,exploitation,27896911,2365,0.358,0.031
12000,2,coop,22101765,7973,0.283,0.102
12001,2,defect,26378625,8510,0.338,0.109
12002,2,exploitation,29519610,1889,0.378,0.024
15000,32,coop,26131597,8063,0.335,0.103
15001,32,defect,21751148,8213,0.279,0.105
15002,32,exploitation,30117255,2047,0.386,0.026
18000,4,coop,26292942,11588,0.337,0.149
18001,4,defect,22947715,10670,0.294,0.137
18002,4,exploitation,28759343,2031,0.368,0.026
21000,512,coop,26201318,15119,0.336,0.194
21001,512,defect,24623620,13828,0.316,0.177
21002,512,exploitation,27175062,2393,0.348,0.031
24000,64,coop,19233797,8885,0.247,0.114
24001,64,defect,30043793,11853,0.385,0.152
24002,64,exploitation,28722410,3514,0.368,0.045
27000,8,coop,18579295,5387,0.238,0.069
27001,8,defect,31115882,6762,0.399,0.087
27002,8,exploitation,28304823,1624,0.363,0.021
