round,seed,defect,coop,exploit_,exploit
237,385,20490,24574,17424,15512
238,385,22285,22610,16407,16698
239,385,22244,22749,16392,16615
240,385,23342,21269,16463,16926
241,385,23915,20018,17094,16973
242,385,23987,20092,16968,16953
243,385,23858,20156,17122,16864
244,385,23868,20014,17025,17093
245,385,25589,18362,17838,16211
246,385,23767,20112,17382,16739
247,385,25767,18426,18022,15785
248,385,23905,20153,17607,16335
249,385,25186,19708,16842,16264
250,385,23201,21249,15903,17647
251,385,23174,21459,15699,17668
252,385,23409,21120,15736,17735
253,385,22764,22565,16099,16572
254,385,21632,23099,16595,16674
255,385,20936,24226,16744,16094
256,385,22626,22481,17184,15709
257,385,22681,22531,17128,15660
258,385,22637,22276,17320,15767
259,385,22168,23680,16477,15675
260,385,22464,22646,16821,16069
261,385,24523,20669,16446,16362
262,385,24674,20682,16430,16214
263,385,24659,20654,16409,16278
264,385,24420,20763,16269,16548
265,385,25119,19511,16901,16469
266,385,24988,19648,17060,16304
267,385,24392,20810,16306,16492
268,385,25544,20147,15736,16573
269,385,27692,18450,16080,15778
270,385,25805,20193,14919,17083
271,385,27816,18446,14798,16940
272,385,27986,18257,14755,17002
273,385,25742,20154,16016,16088
274,385,27960,18451,16079,15510
275,385,27754,18548,16046,15652
276,385,27227,19320,15780,15673
277,385,26970,19784,15665,15581
278,385,28338,19048,15002,15612
279,385,28302,19028,15060,15610
280,385,28481,19165,14924,15430
281,385,28572,18766,15062,15600
282,385,29332,17859,14784,16025
283,385,29842,16796,14869,16493
284,385,29945,16919,14699,16437
285,385,29354,17598,14300,16748
286,385,27847,18489,13882,17782
287,385,26426,18817,14338,18419
288,385,27297,17873,13961,18869
289,385,25241,19453,15381,17925
290,385,25220,19648,15350,17782
291,385,26352,19077,14359,18212
292,385,26524,18786,14439,18251
293,385,27901,18476,13569,18054
294,385,27728,18611,13649,18012
295,385,26606,19006,13291,19097
296,385,25918,20183,13049,18850
297,385,27747,18390,12360,19503
298,385,27717,18516,12211,19556
299,385,26956,19626,12249,19169
300,385,26355,19755,12013,19877
301,385,25621,20891,12342,19146
302,385,26992,20238,12545,18225
303,385,26303,21123,12929,17645
304,385,26080,21501,12818,17601
305,385,28071,19792,11549,18588
306,385,29399,18825,10663,19113
307,385,28503,20148,10525,18824
308,385,29386,18873,10136,19605
309,385,29571,18775,10169,19485
310,385,29183,19243,10143,19431
311,385,28952,19272,10246,19530
312,385,28798,19127,10370,19705
313,385,30257,17744,11042,18957
314,385,30197,17845,11069,18889
315,385,30926,17401,10719,18954
316,385,30304,18270,10952,18474
317,385,32475,16712,11439,17374
318,385,30096,18532,12516,16856
319,385,30167,18261,12745,16827
320,385,32339,16624,12330,16707
321,385,32506,16648,12166,16680
322,385,33818,15978,12061,16143
323,385,32721,16834,12388,16057
324,385,34352,16038,12331,15279
325,385,32711,16846,13245,15198
326,385,31567,17604,13413,15416
327,385,32913,16858,12612,15617
328,385,33801,15725,12913,15561
329,385,35181,14873,12496,15450
330,385,35895,14358,12070,15677
331,385,38394,12565,11279,15762
332,385,38562,12573,11160,15705
333,385,38268,12526,11477,15729
334,385,37697,12648,11912,15743
335,385,39033,12376,11974,14617
336,385,42054,10137,10921,14888
337,385,41795,10412,10898,14895
338,385,41744,10872,10720,14664
339,385,40816,11388,10962,14834
340,385,39973,12035,10842,15150
341,385,39734,11867,11056,15343
342,385,38897,12361,11531,15211
343,385,41485,10916,11786,13813
344,385,41446,11039,11664,13851
345,385,41282,10958,11768,13992
346,385,39185,12445,11339,15031
347,385,38779,12639,11441,15141
348,385,38799,12235,11656,15310
349,385,38684,12986,11256,15074
350,385,40490,11353,11064,15093
351,385,40410,11408,11077,15105
352,385,41426,10965,10628,14981
353,385,41499,10569,10772,15160
354,385,41137,11103,10756,15004
355,385,40455,11112,11246,15187
356,385,40884,11163,10938,15015
357,385,39361,11955,10718,15966
358,385,38556,12731,11032,15681
359,385,39015,12143,10931,15911
360,385,38983,12079,10963,15975
361,385,39130,12109,11000,15761
362,385,38226,12789,11125,15860
363,385,37344,13609,11297,15750
364,385,35774,14365,11605,16256
365,385,38273,12992,11846,14889
366,385,40666,11086,12595,13653
367,385,40032,11896,12248,13824
368,385,40965,11302,11895,13838
369,385,39413,12057,11581,14949
370,385,39251,12088,11679,14982
371,385,38021,12674,12359,14946
372,385,37119,13380,12282,15219
373,385,38099,12522,12378,15001
374,385,39310,11367,12819,14504
375,385,38582,12121,12816,14481
376,385,37695,12866,12925,14514
377,385,36094,14097,13701,14108
378,385,35199,14318,14310,14173
379,385,32858,16079,15513,13550
380,385,33004,16227,15321,13448
381,385,30599,18293,16589,12519
382,385,31563,17092,17051,12294
383,385,32437,16223,17286,12054
384,385,31724,17045,17112,12119
385,385,32317,16039,17308,12336
386,385,30937,16998,17734,12331
387,385,30927,16895,17827,12351
388,385,28835,18636,17865,12664
389,385,27806,19232,17554,13408
390,385,27563,19052,17803,13582
391,385,29545,17619,16186,14650
392,385,28684,18755,16673,13888
393,385,28932,18437,16731,13900
394,385,27561,19129,16694,14616
395,385,26385,19847,17127,14641
396,385,27613,19171,17317,13899
397,385,28290,18105,16944,14661
398,385,28489,18199,16834,14478
399,385,27085,18877,17499,14539
400,385,26999,18689,17648,14664
401,385,27379,17672,18124,14825
402,385,27434,17577,18157,14832
403,385,26336,18295,17929,15440
404,385,26325,18294,17951,15430
405,385,26334,18217,18004,15445
406,385,25523,19271,18110,15096
407,385,25443,19500,18116,14941
408,385,26075,19355,17595,14975
409,385,26146,18990,17775,15089
410,385,24280,20883,17628,15209
411,385,23594,21210,18124,15072
412,385,23271,22181,17247,15301
413,385,24300,21745,17589,14366
414,385,24901,20533,17494,15072
415,385,27056,18956,16385,15603
416,385,24958,20576,17243,15223
417,385,24446,21494,16840,15220
418,385,23593,23015,15943,15449
419,385,21592,24789,16071,15548
420,385,20006,26692,15440,15862
421,385,19494,27005,15512,15989
422,385,18481,27881,16250,15388
423,385,16749,29923,15277,16051
424,385,15065,32031,15399,15505
425,385,14398,33216,15323,15063
426,385,15446,32471,15558,14525
427,385,15409,32505,15488,14598
428,385,15547,32715,15351,14387
429,385,14640,33271,15237,14852
430,385,14420,33191,15318,15071
431,385,13023,35365,16056,13556
432,385,14603,33365,16285,13747
433,385,14488,33321,16275,13916
434,385,16179,31308,17465,13048
435,385,17805,29212,18045,12938
436,385,16068,31029,16747,14156
437,385,16033,31291,16643,14033
438,385,16161,31167,16686,13986
439,385,17010,30469,16602,13919
440,385,15254,32914,15285,14547
441,385,16945,30668,16485,13902
442,385,17008,30395,16324,14273
443,385,18784,28487,15595,15134
444,385,17008,30307,16665,14020
445,385,17233,30565,16443,13759
446,385,17027,30509,16604,13860
447,385,17599,29329,17348,13724
448,385,18806,28528,17360,13306
449,385,17713,29216,17738,13333
450,385,17845,29081,17823,13251
451,385,19558,27116,17270,14056
452,385,17918,28875,17777,13430
453,385,17861,29180,17402,13557
454,385,18566,28382,17278,13774
455,385,20636,26282,16205,14877
456,385,20588,26450,16281,14681
457,385,19784,27652,15542,15022
458,385,21603,25757,16561,14079
459,385,22369,24546,17117,13968
460,385,23711,23793,16524,13972
461,385,22256,24379,16557,14808
462,385,21515,25562,16015,14908
463,385,22891,24845,15404,14860
464,385,23748,24172,15625,14455
465,385,24981,23235,15984,13800
466,385,27246,21216,15477,14061
467,385,28416,20562,15856,13166
468,385,29389,19584,15940,13087
469,385,30347,18893,15749,13011
470,385,32419,16948,14774,13859
471,385,34529,15302,14176,13993
472,385,36919,13630,14404,13047
473,385,35928,14380,14305,13387
474,385,35948,14493,14283,13276
475,385,36027,14521,14258,13194
476,385,35624,14781,14397,13198
477,385,36720,14195,14467,12618
478,385,38224,12998,14611,12167
479,385,38161,12839,14688,12312
480,385,38213,13160,14436,12191
481,385,37852,13362,14679,12107
482,385,40450,11635,14215,11700
483,385,40660,11434,14174,11732
484,385,39193,12214,14802,11791
485,385,42298,10331,13930,11441
486,385,41192,10974,14085,11749
487,385,40225,11923,14398,11454
488,385,41026,10941,14692,11341
489,385,41086,11179,14610,11125
490,385,39476,12309,14668,11547
491,385,37963,12973,15266,11798
492,385,38549,12700,14817,11934
493,385,39078,12637,14633,11652
494,385,38683,12551,14849,11917
495,385,40118,11791,14550,11541
496,385,39731,11693,14845,11731
497,385,39783,11591,14654,11972
498,385,41238,11003,13612,12147
499,385,41235,11026,13581,12158
500,385,38793,12534,14477,12196
501,385,39430,12446,14087,12037
502,385,39240,12426,14224,12110
503,385,39526,12427,14007,12040
504,385,39323,12227,14237,12213
505,385,39317,12365,14275,12043
506,385,39475,12467,14000,12058
507,385,41070,10877,14582,11471
508,385,42188,10109,14653,11050
509,385,44694,8711,13428,11167
510,385,45782,8264,13421,10533
511,385,45366,8262,13680,10692
512,385,44496,9045,13374,11085
513,385,44637,8951,13337,11075
514,385,44460,8865,13446,11229
515,385,45504,8020,13652,10824
516,385,47529,7357,12626,10488
517,385,48114,7025,12412,10449
518,385,47450,7235,12584,10731
519,385,47312,7472,12490,10726
520,385,45567,8291,13438,10704
521,385,44519,9184,13591,10706
522,385,45674,8306,13666,10354
523,385,45486,8408,13719,10387
524,385,45815,8554,13409,10222
525,385,43167,9822,14012,10999
526,385,42900,9783,14040,11277
527,385,43908,9504,13707,10881
528,385,44991,8601,13900,10508
529,385,46792,7656,13502,10050
530,385,47557,7035,13527,9881
531,385,46339,7669,13659,10333
532,385,45397,8457,13698,10448
533,385,45827,8005,13647,10521
534,385,45566,8443,13665,10326
535,385,45475,8254,13755,10516
