round,seed,defect,coop,exploit,exploit_
1,780,19588,29715,16700,11997
2,780,20394,28115,17730,11761
3,780,21945,26198,17294,12563
4,780,21920,26412,17334,12334
5,780,21172,26954,17556,12318
6,780,22351,25325,17709,12615
7,780,22280,25105,17822,12793
8,780,20083,27518,18105,12294
9,780,20982,27102,17581,12335
10,780,22761,25068,18606,11565
11,780,24896,23154,18552,11398
12,780,26080,21900,18850,11170
13,780,25872,21944,18989,11195
14,780,25461,22138,18970,11431
15,780,24225,23093,18920,11762
16,780,23092,23515,19935,11458
17,780,24938,21590,19041,12431
18,780,26330,20113,18209,13348
19,780,27491,18833,18548,13128
20,780,27535,18856,18398,13211
21,780,27605,18778,18342,13275
22,780,27283,19013,18360,13344
23,780,29513,17079,17200,14208
24,780,30395,16752,16549,14304
25,780,32574,15300,15412,14714
26,780,31129,15696,16107,15068
27,780,33259,14083,15963,14695
28,780,33310,14405,15765,14520
29,780,35615,12752,14839,14794
30,780,35640,12790,14779,14791
31,780,34333,13886,14839,14942
32,780,33475,14221,15669,14635
33,780,33580,14097,15727,14596
34,780,33376,14358,15501,14765
35,780,35581,12763,14123,15533
36,780,35583,12615,14256,15546
37,780,33283,14122,13616,16979
38,780,33459,13997,13605,16939
39,780,35686,12732,12801,16781
40,780,34668,12936,13024,17372
41,780,36129,12023,13041,16807
42,780,37056,10807,13310,16827
43,780,35492,11381,12978,18149
44,780,33212,12844,13604,18340
45,780,35431,11444,12685,18440
46,780,35421,11201,12806,18572
47,780,34117,12450,13596,17837
48,780,33789,13230,13107,17874
49,780,33393,13480,13155,17972
50,780,33650,13277,13149,17924
51,780,31317,14832,13558,18293
52,780,30901,15862,12742,18495
53,780,30725,15729,12948,18598
54,780,31951,14684,13026,18339
55,780,33192,13502,12510,18796
56,780,35637,11910,12715,17738
57,780,35186,12142,12894,17778
58,780,35347,12036,12864,17753
59,780,35498,12139,12623,17740
60,780,34577,12997,12387,18039
61,780,35220,12193,12850,17737
62,780,36741,11109,12445,17705
63,780,36570,11091,12690,17649
64,780,36462,10909,12862,17767
65,780,35456,11914,13072,17558
66,780,34442,12997,13473,17088
67,780,34612,12970,13315,17103
68,780,35592,12530,13399,16479
69,780,37902,11336,12560,16202
70,780,37853,11285,12488,16374
71,780,38701,10379,12351,16569
72,780,38649,10475,12322,16554
73,780,38681,10423,12347,16549
74,780,37963,11247,12448,16342
75,780,39179,10157,11775,16889
76,780,39428,10340,11531,16701
77,780,39885,9931,11379,16805
78,780,39708,9864,11519,16909
79,780,39975,10081,11428,16516
80,780,38444,11052,11841,16663
81,780,36154,12219,13559,16068
82,780,34077,13828,13544,16551
83,780,34020,13657,13643,16680
84,780,35426,13399,13259,15916
85,780,36633,12095,12891,16381
86,780,36847,12083,12915,16155
87,780,36876,12051,12801,16272
88,780,39031,10529,12875,15565
89,780,37685,11885,13547,14883
90,780,38787,10917,13704,14592
91,780,38661,10995,13838,14506
92,780,37919,11774,13803,14504
93,780,35323,13363,14751,14563
94,780,33194,14664,14175,15967
95,780,32543,15713,14103,15641
96,780,32524,15628,14159,15689
97,780,32440,15625,14059,15876
98,780,33230,14824,14051,15895
99,780,33776,14434,14121,15669
100,780,31764,15987,15604,14645
101,780,29512,17747,16013,14728
102,780,30216,16683,16281,14820
103,780,29478,17826,15604,15092
104,780,27993,18457,16183,15367
105,780,28397,18013,16132,15458
106,780,29010,17244,15865,15881
107,780,29392,16153,16289,16166
108,780,30372,15889,15893,15846
109,780,30402,15843,15854,15901
110,780,30301,15893,15971,15835
111,780,29357,16177,16264,16202
112,780,29443,16373,16170,16014
113,780,28691,17398,16282,15629
114,780,28902,17142,16316,15640
115,780,30276,16761,16012,14951
116,780,30201,16636,16089,15074
117,780,32449,14986,16789,13776
118,780,33306,14673,16031,13990
119,780,33915,14033,16548,13504
120,780,35217,12825,15882,14076
121,780,36381,11721,15824,14074
122,780,36341,11755,15811,14093
123,780,34694,12182,17172,13952
124,780,32724,13415,18083,13778
125,780,31884,14522,17924,13670
126,780,31723,15321,18018,12938
127,780,33549,13964,18938,11549
128,780,33513,13874,19183,11430
129,780,33545,13766,19145,11544
130,780,33584,13816,19087,11513
131,780,33482,13960,19008,11550
132,780,34309,13019,19319,11353
133,780,33522,13976,18931,11571
134,780,32056,14510,19713,11721
135,780,33735,13882,18452,11931
136,780,34118,12984,19015,11883
137,780,33740,14008,18829,11423
138,780,33509,13961,18923,11607
139,780,32186,15080,18872,11862
140,780,34528,13581,17172,12719
141,780,34274,13783,17184,12759
142,780,32427,14974,17508,13091
143,780,32307,15349,17378,12966
144,780,30186,16548,17640,13626
145,780,30737,15605,17522,14136
146,780,30996,15631,17365,14008
147,780,31570,14821,17363,14246
148,780,32199,13839,17874,14088
149,780,30239,15214,16789,15758
150,780,29898,15268,17065,15769
151,780,29886,15305,17008,15801
152,780,30104,15187,16939,15770
153,780,28562,15756,17978,15704
154,780,26532,17220,19428,14820
155,780,26913,17078,19240,14769
156,780,28787,15641,19207,14365
157,780,28685,15609,19443,14263
158,780,28734,15792,19190,14284
159,780,30638,14245,19406,13711
160,780,32669,12736,18249,14346
161,780,32547,12929,18373,14151
162,780,34942,11449,18793,12816
163,780,34879,11669,18675,12777
164,780,34744,11499,18875,12882
165,780,34530,11571,18908,12991
166,780,32692,12922,19964,12422
167,780,35122,11503,18292,13083
168,780,35535,10807,18765,12893
169,780,35285,10615,19041,13059
170,780,36617,9738,18827,12818
171,780,36355,9712,18902,13031
172,780,36583,9687,18826,12904
173,780,38856,8476,17702,12966
174,780,38371,9310,17669,12650
175,780,38284,9228,17622,12866
176,780,38914,9122,17067,12897
177,780,41014,7964,16597,12425
178,780,43153,7480,15354,12013
179,780,43199,7517,15276,12008
180,780,42852,7542,15512,12094
181,780,42413,8170,15077,12340
182,780,41851,8657,15125,12367
183,780,41761,8762,15083,12394
184,780,41555,8907,15078,12460
185,780,41622,8796,15232,12350
186,780,42429,8259,14945,12367
187,780,41996,8809,15126,12069
188,780,41723,8803,15205,12269
