,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,34219888,7558,0.439,0.097
1,1024,defect,15423375,6564,0.198,0.084
2,1024,exploitation,28356737,1568,0.364,0.02
3000,128,coop,35432460,12475,0.454,0.16
3001,128,defect,15080923,11733,0.193,0.151
3002,128,exploitation,27486617,2296,0.352,0.03
6000,16,coop,18672108,8717,0.239,0.112
6001,16,defect,27459320,10214,0.352,0.131
6002,16,exploitation,31868572,3370,0.409,0.043
9000,256,coop,25303289,5103,0.325,0.066
9001,256,defect,21413018,4831,0.275,0.062
9002,256,exploitation,31283693,1783,0.401,0.023
12000,2,coop,19952377,12589,0.256,0.161
12001,2,defect,31324206,14061,0.402,0.18
12002,2,exploitation,26723417,2451,0.343,0.032
15000,32,coop,33041289,5752,0.424,0.074
15001,32,defect,16204598,4863,0.208,0.062
15002,32,exploitation,28754113,1292,0.369,0.017
18000,4,coop,22295961,9618,0.286,0.123
18001,4,defect,27914641,11258,0.358,0.144
18002,4,exploitation,27789398,1983,0.356,0.026
21000,512,coop,21295985,13165,0.273,0.169
21001,512,defect,30287488,15548,0.388,0.199
21002,512,exploitation,26416527,3114,0.339,0.04
24000,64,coop,25976571,7151,0.333,0.092
24001,64,defect,23287376,7433,0.299,0.095
24002,64,exploitation,28736053,1037,0.368,0.013
27000,8,coop,23364668,8535,0.3,0.11
27001,8,defect,24944389,9796,0.32,0.126
27002,8,exploitation,29690943,2209,0.381,0.028
