,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,24601716,8855,0.315,0.113
1,1024,defect,23720274,7436,0.304,0.095
2,1024,exploitation,29678010,2756,0.381,0.035
3000,128,coop,28581896,7894,0.366,0.101
3001,128,defect,20851755,7043,0.267,0.09
3002,128,exploitation,28566349,1326,0.366,0.017
6000,16,coop,19299767,6925,0.247,0.089
6001,16,defect,29427397,8530,0.377,0.109
6002,16,exploitation,29272836,2478,0.375,0.032
9000,256,coop,31903834,10702,0.409,0.137
9001,256,defect,17894578,9263,0.229,0.119
9002,256,exploitation,28201588,2391,0.362,0.031
12000,2,coop,21170117,8676,0.272,0.111
12001,2,defect,27498376,9190,0.353,0.118
12002,2,exploitation,29331507,2034,0.376,0.026
15000,32,coop,36961850,6080,0.474,0.078
15001,32,defect,13397415,4574,0.172,0.059
15002,32,exploitation,27640735,1681,0.354,0.022
18000,4,coop,21328149,14648,0.274,0.188
18001,4,defect,30224804,16918,0.388,0.217
18002,4,exploitation,26447047,3713,0.339,0.048
21000,512,coop,18177102,8735,0.233,0.112
21001,512,defect,31187563,9571,0.4,0.123
21002,512,exploitation,28635335,1640,0.367,0.021
24000,64,coop,19247332,8195,0.247,0.105
24001,64,defect,29854252,10152,0.383,0.13
24002,64,exploitation,28898416,2999,0.37,0.039
27000,8,coop,24909748,7178,0.319,0.092
27001,8,defect,22889301,6140,0.294,0.079
27002,8,exploitation,30200951,2339,0.387,0.03
