round,seed,exploit,coop,exploit_,defect
750,16,14821,33854,13514,15811
751,16,14932,33858,13563,15647
752,16,14610,32466,13883,17041
753,16,15311,33897,13350,15442
754,16,15119,34201,13235,15445
755,16,15551,32970,13362,16117
756,16,15318,34601,13360,14721
757,16,15652,33450,13653,15245
758,16,14816,35806,13998,13380
759,16,14735,36141,13945,13179
760,16,14880,36156,13997,12967
761,16,14501,34146,14704,14649
762,16,14290,32878,15195,15637
763,16,13848,31076,15472,17604
764,16,13940,30630,15213,18217
765,16,13873,31165,15454,17508
766,16,14347,29706,15535,18412
767,16,14140,30341,15452,18067
768,16,14165,30009,15369,18457
769,16,14297,29392,15385,18926
770,16,14442,29138,15446,18974
771,16,14603,30592,14955,17850
772,16,14725,31772,14597,16906
773,16,14847,31741,14936,16476
774,16,14707,32427,14820,16046
775,16,14587,31956,14734,16723
776,16,14576,32644,14855,15925
777,16,14565,32246,14897,16292
778,16,14157,34062,15327,14454
779,16,14024,33892,15253,14831
780,16,14052,34032,15490,14426
781,16,14237,33885,15196,14682
782,16,14304,33394,15280,15022
783,16,14512,33101,15377,15010
784,16,14597,32485,15490,15428
785,16,14649,31354,15059,16938
786,16,14593,29582,15238,18587
787,16,14578,29035,15248,19139
788,16,14521,29039,15189,19251
789,16,14528,29501,15156,18815
790,16,14424,29083,15407,19086
791,16,14208,30519,15145,18128
792,16,14072,30141,15083,18704
793,16,14160,30504,15441,17895
794,16,13664,33294,15109,15933
795,16,14283,31542,14641,17534
796,16,14412,30971,15004,17613
797,16,14271,30474,14842,18413
798,16,14616,29731,14782,18871
799,16,14492,29640,14752,19116
800,16,14563,29587,14832,19018
801,16,14909,28435,15025,19631
802,16,14712,28922,14918,19448
803,16,14609,27447,14765,21179
804,16,14694,26152,14677,22477
805,16,14657,25788,14648,22907
806,16,14576,26535,14576,22313
807,16,14828,27682,14374,21116
808,16,14461,29398,14512,19629
809,16,14407,30111,14510,18972
810,16,14345,27480,14710,21465
811,16,14195,29155,14987,19663
812,16,13713,30172,15184,18931
813,16,13663,30265,14975,19097
814,16,13963,31624,14596,17817
815,16,14310,30744,15065,17881
816,16,14360,30735,14895,18010
817,16,14200,31301,15018,17481
818,16,14210,31347,14982,17461
819,16,13886,33022,14643,16449
820,16,14409,31046,14438,18107
821,16,14281,32196,14581,16942
822,16,14162,32604,14437,16797
823,16,14202,32523,14480,16795
824,16,14144,31929,14361,17566
825,16,14511,31042,14481,17966
826,16,14565,31011,14391,18033
827,16,14801,29917,14657,18625
828,16,14788,28129,15103,19980
829,16,14250,28784,15055,19911
830,16,14340,29144,15139,19377
831,16,14357,29458,15194,18991
832,16,14191,29815,15073,18921
833,16,14601,30950,15336,17113
834,16,14834,31964,15045,16157
835,16,14701,32022,15088,16189
836,16,14829,32725,14891,15555
837,16,15058,35332,14213,13397
838,16,15151,35118,14308,13423
839,16,14987,35296,14102,13615
840,16,14861,35895,14087,13157
841,16,14304,34476,14666,14554
842,16,14910,33049,14541,15500
843,16,14808,34179,14981,14032
844,16,14631,34528,14921,13920
845,16,15123,32447,15667,14763
846,16,14968,32299,15288,15445
847,16,14672,35095,15075,13158
848,16,14544,35461,14996,12999
849,16,14873,34651,15214,13262
850,16,15068,33629,15723,13580
851,16,14760,34809,15505,12926
852,16,14790,34148,15574,13488
853,16,14539,35295,15122,13044
854,16,14669,34878,15512,12941
855,16,15106,33756,15684,13454
856,16,15237,32888,15869,14006
857,16,15278,32633,15996,14093
858,16,15188,32983,15835,13994
859,16,14897,33168,15590,14345
860,16,15121,32958,15703,14218
861,16,15106,33698,15815,13381
862,16,14989,33890,15864,13257
863,16,14834,35110,15402,12654
864,16,14881,34660,15549,12910
865,16,14827,34675,15475,13023
866,16,15132,33969,15578,13321
867,16,14608,34944,15211,13237
868,16,14328,31817,16097,15758
869,16,14005,32998,15851,15146
870,16,14242,32525,16086,15147
871,16,14067,32674,16005,15254
872,16,14268,31713,15503,16516
873,16,14883,33019,15240,14858
874,16,14404,34083,14878,14635
875,16,14851,33421,15182,14546
876,16,14723,33392,15127,14758
877,16,14758,33437,15262,14543
878,16,14781,33725,15186,14308
879,16,15043,32094,15439,15424
880,16,14780,33567,15146,14507
881,16,14827,33592,14978,14603
882,16,15239,32113,15265,15383
883,16,15624,30703,15566,16107
884,16,15613,30548,15815,16024
885,16,15439,30766,15448,16347
886,16,15446,30841,15551,16162
887,16,15469,30939,15548,16044
