round,seed,defect,exploit_,exploit,coop
871,130,37556,13692,13382,13370
872,130,36144,13581,13844,14431
873,130,34844,13775,13916,15465
874,130,34065,13920,14158,15857
875,130,34150,13962,14154,15734
876,130,33056,14432,13919,16593
877,130,33092,14230,13937,16741
878,130,35565,13665,13967,14803
879,130,35356,13609,14139,14896
880,130,32948,14411,14022,16619
881,130,32976,14439,13974,16611
882,130,33185,14425,13906,16484
883,130,32212,13952,13942,17894
884,130,30594,14000,14868,18538
885,130,30632,13983,14742,18643
886,130,30375,13849,14707,19069
887,130,30642,13934,14838,18586
888,130,32227,13145,14827,17801
889,130,31908,13202,15056,17834
890,130,31134,13158,15001,18707
891,130,29942,13083,15364,19611
892,130,29430,13114,15568,19888
893,130,29529,13142,15469,19860
894,130,29142,13393,15481,19984
895,130,31326,12982,15717,17975
896,130,32307,13268,15187,17238
897,130,33638,12877,15271,16214
898,130,32862,12955,15390,16793
899,130,30662,13927,14948,18463
900,130,31657,14376,14450,17517
901,130,31336,14642,14575,17447
902,130,32265,14974,14333,16428
903,130,32760,14716,14102,16422
904,130,30419,16199,13359,18023
905,130,31224,16170,13397,17209
906,130,31890,16084,13465,16561
907,130,33232,15371,13803,15594
908,130,33398,15457,13653,15492
909,130,34343,14983,13984,14690
910,130,34102,15174,14146,14578
911,130,34208,14986,13958,14848
912,130,33284,15007,14025,15684
913,130,34133,14657,14435,14775
914,130,33500,14732,14206,15562
915,130,32568,15240,14223,15969
916,130,34803,15021,13887,14289
917,130,35768,14530,14046,13656
918,130,35617,14602,14111,13670
919,130,34103,14949,14138,14810
920,130,35472,14890,13616,14022
921,130,33290,14812,14380,15518
922,130,33239,14842,14212,15707
923,130,35221,14518,13426,14835
924,130,33811,14950,13456,15783
925,130,32410,15982,13144,16464
926,130,32207,15834,12965,16994
927,130,31920,16122,13196,16762
928,130,30573,16810,12760,17857
929,130,28393,16760,13340,19507
930,130,27390,16801,12908,20901
931,130,28862,16552,13377,19209
932,130,29103,16408,13183,19306
933,130,28705,16722,13225,19348
934,130,27696,17475,13054,19775
935,130,25504,17700,13009,21787
936,130,24798,17955,13052,22195
937,130,23129,17721,13157,23993
938,130,21933,18182,13198,24687
939,130,22325,18846,13422,23407
940,130,22397,18841,13324,23438
941,130,24216,19336,12836,21612
942,130,24925,18600,13050,21425
943,130,26367,17816,13350,20467
944,130,27608,16946,14114,19332
945,130,29717,16458,14210,17615
946,130,30341,16535,14528,16596
947,130,30323,16734,14579,16364
948,130,29238,16593,15108,17061
949,130,27640,16929,15810,17621
950,130,26269,17185,16320,18226
951,130,27670,17012,15554,17764
952,130,26875,16340,16042,18743
953,130,29075,15743,15931,17251
954,130,31182,14726,16332,15760
955,130,30994,14845,16648,15513
956,130,33234,14876,15789,14101
957,130,33341,14767,15784,14108
958,130,32986,14953,15984,14077
959,130,33202,15036,15863,13899
960,130,31056,14572,16909,15463
961,130,30592,14829,15977,16602
962,130,30553,14970,16104,16373
963,130,32579,15182,15216,15023
964,130,32682,15363,15178,14777
965,130,33173,15361,15541,13925
966,130,32576,15190,15766,14468
967,130,34129,14471,15744,13656
968,130,34308,14382,15680,13630
969,130,36623,12970,16133,12274
970,130,36394,13021,16260,12325
971,130,36440,13132,16397,12031
972,130,35673,13340,15889,13098
973,130,35763,13418,15923,12896
974,130,35070,13672,15635,13623
975,130,34967,13549,15732,13752
976,130,36725,13579,14441,13255
977,130,38065,13425,13932,12578
978,130,37901,13549,13994,12556
979,130,40490,12037,14486,10987
980,130,41332,11908,14654,10106
981,130,41102,11870,14765,10263
982,130,41072,11816,14730,10382
983,130,39797,12396,14513,11294
984,130,39829,12501,14383,11287
985,130,38489,12134,15163,12214
986,130,35870,11479,16645,14006
987,130,34966,11592,16417,15025
988,130,35921,11162,16892,14025
989,130,34883,11601,16555,14961
990,130,35248,11575,16437,14740
991,130,35726,11474,17022,13778
992,130,36009,11164,16907,13920
993,130,35252,11383,17295,14070
994,130,36354,10786,17443,13417
995,130,36186,10814,17565,13435
996,130,36966,11131,17333,12570
997,130,36046,11640,17349,12965
998,130,38219,11413,16860,11508
999,130,39175,11074,17030,10721
1000,130,39953,11060,16818,10169
