,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,29067460,8085,0.373,0.104
1,1024,defect,18586845,6105,0.238,0.078
2,1024,exploitation,30345695,2739,0.389,0.035
3000,128,coop,33774987,11630,0.433,0.149
3001,128,defect,16138162,11318,0.207,0.145
3002,128,exploitation,28086851,1521,0.36,0.02
6000,16,coop,14939506,10494,0.191,0.135
6001,16,defect,33816785,13411,0.434,0.172
6002,16,exploitation,29243709,4516,0.375,0.058
9000,256,coop,33350287,9224,0.428,0.118
9001,256,defect,16057420,6589,0.206,0.085
9002,256,exploitation,28592293,3255,0.366,0.042
12000,2,coop,19982231,12757,0.256,0.164
12001,2,defect,31296095,14051,0.401,0.18
12002,2,exploitation,26721674,2400,0.342,0.031
15000,32,coop,36666321,13269,0.47,0.17
15001,32,defect,13767042,9900,0.177,0.127
15002,32,exploitation,27566637,4126,0.353,0.053
18000,4,coop,27982122,6628,0.359,0.085
18001,4,defect,21357334,6624,0.274,0.085
18002,4,exploitation,28660544,720,0.368,0.01
21000,512,coop,27059711,10269,0.347,0.132
21001,512,defect,21508363,8948,0.276,0.115
21002,512,exploitation,29431926,2593,0.377,0.033
24000,64,coop,24443916,12499,0.313,0.16
24001,64,defect,26405228,13213,0.339,0.169
24002,64,exploitation,27150856,1788,0.348,0.023
27000,8,coop,28221293,10090,0.362,0.129
27001,8,defect,20574756,10534,0.264,0.135
27002,8,exploitation,29203951,2136,0.374,0.027
