,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,26181584,5978,0.336,0.077
1,1024,defect,22728808,5555,0.291,0.071
2,1024,exploitation,29089608,843,0.373,0.011
3000,128,coop,31275929,8062,0.401,0.103
3001,128,defect,17654540,7598,0.226,0.097
3002,128,exploitation,29069531,2037,0.373,0.026
6000,16,coop,41221284,8271,0.528,0.106
6001,16,defect,10118430,4742,0.13,0.061
6002,16,exploitation,26660286,3739,0.342,0.048
9000,256,coop,24977579,12085,0.32,0.155
9001,256,defect,24556422,12006,0.315,0.154
9002,256,exploitation,28465999,2857,0.365,0.037
12000,2,coop,33975060,4917,0.435,0.063
12001,2,defect,15769097,4404,0.202,0.057
12002,2,exploitation,28255843,782,0.362,0.01
15000,32,coop,21287286,6159,0.273,0.079
15001,32,defect,28571860,6794,0.366,0.087
15002,32,exploitation,28140854,858,0.361,0.011
18000,4,coop,21751269,9588,0.279,0.123
18001,4,defect,27789957,9986,0.356,0.128
18002,4,exploitation,28458774,1323,0.365,0.017
21000,512,coop,29328281,10091,0.376,0.129
21001,512,defect,19671366,8360,0.252,0.107
21002,512,exploitation,29000353,2608,0.372,0.034
24000,64,coop,28140564,12588,0.361,0.161
24001,64,defect,22176712,11985,0.284,0.154
24002,64,exploitation,27682724,1984,0.355,0.026
27000,8,coop,24072634,5018,0.309,0.064
27001,8,defect,23875656,5526,0.306,0.071
27002,8,exploitation,30051710,1877,0.385,0.024
