,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,34759257,7467,0.446,0.096
1,1024,defect,14938998,6456,0.192,0.083
2,1024,exploitation,28301745,1725,0.363,0.022
3000,128,coop,38697789,7039,0.496,0.09
3001,128,defect,12575238,5200,0.161,0.067
3002,128,exploitation,26726973,1990,0.343,0.026
6000,16,coop,15124901,7099,0.194,0.091
6001,16,defect,34679785,8904,0.445,0.114
6002,16,exploitation,28195314,2631,0.361,0.034
9000,256,coop,23515889,12306,0.302,0.158
9001,256,defect,26417526,12086,0.338,0.155
9002,256,exploitation,28066585,2160,0.36,0.028
12000,2,coop,20271134,8810,0.26,0.113
12001,2,defect,29916440,10747,0.384,0.138
12002,2,exploitation,27812426,2543,0.357,0.033
15000,32,coop,28781886,5833,0.369,0.075
15001,32,defect,20223680,5709,0.259,0.073
15002,32,exploitation,28994434,808,0.372,0.011
18000,4,coop,33211124,11207,0.426,0.144
18001,4,defect,17415499,9785,0.223,0.126
18002,4,exploitation,27373377,2323,0.351,0.03
21000,512,coop,23178166,10114,0.297,0.13
21001,512,defect,24996708,9664,0.32,0.124
21002,512,exploitation,29825126,3323,0.382,0.043
24000,64,coop,21188010,5523,0.272,0.071
24001,64,defect,27506097,5756,0.353,0.074
24002,64,exploitation,29305893,1273,0.376,0.017
27000,8,coop,24518534,6383,0.315,0.082
27001,8,defect,24626419,6252,0.316,0.08
27002,8,exploitation,28855047,1214,0.37,0.016
