round,seed,defect,exploit_,exploit,coop
1,130,19346,12307,17135,29212
2,130,19338,12400,17029,29233
3,130,19478,12071,16760,29691
4,130,21529,12793,16449,27229
5,130,22572,12402,17192,25834
6,130,20777,12483,16779,27961
7,130,21096,12416,17033,27455
8,130,20999,12516,17256,27229
9,130,20519,12486,17148,27847
10,130,19638,12774,16865,28723
11,130,19548,12837,17029,28586
12,130,20054,12734,16804,28408
13,130,21344,12987,16775,26894
14,130,21335,13222,16811,26632
15,130,22905,13034,17066,24995
16,130,23919,12824,17685,23572
17,130,21758,12374,18190,25678
18,130,22038,12340,18009,25613
19,130,23178,12193,17892,24737
20,130,24103,12725,17230,23942
21,130,23423,12321,17122,25134
22,130,21787,12266,17658,26289
23,130,22075,12250,17569,26106
24,130,22534,11958,17617,25891
25,130,20832,11767,17781,27620
26,130,20601,11858,17963,27578
27,130,21789,11560,18109,26542
28,130,21722,11530,18328,26420
29,130,22472,11695,18556,25277
30,130,23555,11736,18890,23819
31,130,22937,11234,19092,24737
32,130,23191,11127,18897,24785
33,130,22229,11042,19555,25174
34,130,23437,11160,18929,24474
35,130,21290,11906,18319,26485
36,130,21485,11983,18412,26120
37,130,20584,12168,17377,27871
38,130,18350,12233,17327,30090
39,130,18764,12087,17009,30140
40,130,17611,12642,16296,31451
41,130,16663,12729,16444,32164
42,130,16759,12730,16367,32144
43,130,17603,12865,16008,31524
44,130,19486,12733,16668,29113
45,130,19640,12574,16547,29239
46,130,19587,12575,16430,29408
47,130,21397,12021,17377,27205
48,130,22255,12000,17337,26408
49,130,22206,12082,17361,26351
50,130,21222,12074,17217,27487
51,130,23287,12492,16775,25446
52,130,24238,12424,16555,24783
53,130,24380,12358,16545,24717
54,130,25253,11784,17018,23945
55,130,23605,12331,16672,25392
56,130,25323,12463,16320,23894
57,130,24704,12593,16366,24337
58,130,27347,11732,17124,21797
59,130,25495,11580,17432,23493
60,130,23625,11563,17634,25178
61,130,23831,11378,17292,25499
62,130,24707,11922,17092,24279
63,130,24956,11895,17090,24059
64,130,23739,11739,16944,25578
65,130,22935,11938,17306,25821
66,130,22206,11314,17534,26946
67,130,23075,11121,18223,25581
68,130,23951,10802,18751,24496
69,130,24354,10687,18853,24106
70,130,22223,10938,18465,26374
71,130,21154,10757,18415,27674
72,130,21012,10795,18670,27523
73,130,20722,10812,18859,27607
74,130,20036,10765,18911,28288
75,130,20601,10791,18695,27913
76,130,18772,11673,17679,29876
77,130,17398,12006,16793,31803
78,130,17345,12232,16688,31735
79,130,17207,12038,16671,32084
80,130,19433,12095,16975,29497
81,130,19074,12105,17185,29636
82,130,18321,12327,17009,30343
83,130,16431,12938,16193,32438
84,130,16046,12840,16199,32915
85,130,15167,12484,16674,33675
86,130,14748,12122,16864,34266
87,130,16682,12065,17139,32114
88,130,17622,12752,17735,29891
89,130,17510,12797,17579,30114
90,130,19473,12974,17726,27827
91,130,20167,13268,17886,26679
92,130,20138,13173,17884,26805
93,130,20170,13334,17905,26591
94,130,19979,13245,17939,26837
95,130,20481,13301,17842,26376
96,130,19972,13328,17999,26701
97,130,20011,13335,17916,26738
98,130,20120,13388,17902,26590
99,130,20500,13126,17974,26400
100,130,19265,13390,17257,28088
101,130,19476,13297,17352,27875
102,130,18568,13941,16957,28534
103,130,19284,14383,16194,28139
104,130,20269,14156,16025,27550
105,130,20466,14068,16021,27445
106,130,21729,13693,16852,25726
107,130,19938,14658,15596,27808
108,130,17976,15156,15097,29771
109,130,18460,15357,14683,29500
110,130,20148,15033,15555,27264
111,130,20176,14863,15622,27339
112,130,18526,14846,15234,29394
113,130,16637,14745,14984,31634
114,130,16569,14628,15029,31774
115,130,15881,14293,15377,32449
116,130,14846,14141,15027,33986
117,130,13421,13298,15075,36206
118,130,13436,13357,15205,36002
119,130,11987,12710,15092,38211
120,130,13061,12070,16105,36764
121,130,13978,12492,16791,34739
122,130,12843,12522,16072,36563
123,130,13015,12680,16063,36242
124,130,11323,11940,15972,38765
125,130,12229,12017,16762,36992
126,130,13332,12901,16666,35101
127,130,13474,12555,16519,35452
128,130,14851,13184,16937,33028
129,130,14883,13060,16814,33243
