round,seed,strategy,count,percentage
60,1024,coop,42583,0.55
60,1024,defect,9288,0.12
60,1024,exploitation,26129,0.33
61,1024,coop,42886,0.55
61,1024,defect,9277,0.12
61,1024,exploitation,25837,0.33
62,1024,coop,42766,0.55
62,1024,defect,9312,0.12
62,1024,exploitation,25922,0.33
63,1024,coop,44922,0.58
63,1024,defect,7857,0.1
63,1024,exploitation,25221,0.32
64,1024,coop,47426,0.61
64,1024,defect,6511,0.08
64,1024,exploitation,24063,0.31
65,1024,coop,47517,0.61
65,1024,defect,6493,0.08
65,1024,exploitation,23990,0.31
66,1024,coop,47571,0.61
66,1024,defect,6383,0.08
66,1024,exploitation,24046,0.31
67,1024,coop,47159,0.6
67,1024,defect,6735,0.09
67,1024,exploitation,24106,0.31
68,1024,coop,47656,0.61
68,1024,defect,6389,0.08
68,1024,exploitation,23955,0.31
69,1024,coop,45177,0.58
69,1024,defect,7845,0.1
69,1024,exploitation,24978,0.32
70,1024,coop,45514,0.58
70,1024,defect,7693,0.1
70,1024,exploitation,24793,0.32
71,1024,coop,45368,0.58
71,1024,defect,7711,0.1
71,1024,exploitation,24921,0.32
72,1024,coop,44491,0.57
72,1024,defect,8356,0.11
72,1024,exploitation,25153,0.32
73,1024,coop,47005,0.6
73,1024,defect,6674,0.09
73,1024,exploitation,24321,0.31
74,1024,coop,44526,0.57
74,1024,defect,8331,0.11
74,1024,exploitation,25143,0.32
75,1024,coop,44232,0.57
75,1024,defect,8366,0.11
75,1024,exploitation,25402,0.33
76,1024,coop,44486,0.57
76,1024,defect,8411,0.11
76,1024,exploitation,25103,0.32
77,1024,coop,44509,0.57
77,1024,defect,8020,0.1
77,1024,exploitation,25471,0.33
78,1024,coop,44840,0.57
78,1024,defect,8045,0.1
78,1024,exploitation,25115,0.32
79,1024,coop,45527,0.58
79,1024,defect,7566,0.1
79,1024,exploitation,24907,0.32
80,1024,coop,46214,0.59
80,1024,defect,7236,0.09
80,1024,exploitation,24550,0.31
81,1024,coop,45404,0.58
81,1024,defect,7721,0.1
81,1024,exploitation,24875,0.32
82,1024,coop,45909,0.59
82,1024,defect,7229,0.09
82,1024,exploitation,24862,0.32
83,1024,coop,45691,0.59
83,1024,defect,7298,0.09
83,1024,exploitation,25011,0.32
84,1024,coop,45379,0.58
84,1024,defect,7611,0.1
84,1024,exploitation,25010,0.32
85,1024,coop,42983,0.55
85,1024,defect,8984,0.12
85,1024,exploitation,26033,0.33
86,1024,coop,43254,0.55
86,1024,defect,8772,0.11
86,1024,exploitation,25974,0.33
87,1024,coop,42520,0.55
87,1024,defect,9352,0.12
87,1024,exploitation,26128,0.33
88,1024,coop,41666,0.53
88,1024,defect,9756,0.13
88,1024,exploitation,26578,0.34
89,1024,coop,39303,0.5
89,1024,defect,11722,0.15
89,1024,exploitation,26975,0.35
90,1024,coop,39092,0.5
90,1024,defect,11769,0.15
90,1024,exploitation,27139,0.35
91,1024,coop,41306,0.53
91,1024,defect,10022,0.13
91,1024,exploitation,26672,0.34
92,1024,coop,43605,0.56
92,1024,defect,8858,0.11
92,1024,exploitation,25537,0.33
93,1024,coop,43558,0.56
93,1024,defect,8680,0.11
93,1024,exploitation,25762,0.33
94,1024,coop,46394,0.59
94,1024,defect,7105,0.09
94,1024,exploitation,24501,0.31
95,1024,coop,46105,0.59
95,1024,defect,7254,0.09
95,1024,exploitation,24641,0.32
96,1024,coop,44442,0.57
96,1024,defect,8293,0.11
96,1024,exploitation,25265,0.32
97,1024,coop,43813,0.56
97,1024,defect,8452,0.11
97,1024,exploitation,25735,0.33
98,1024,coop,46569,0.6
98,1024,defect,6913,0.09
98,1024,exploitation,24518,0.31
99,1024,coop,48407,0.62
99,1024,defect,5797,0.07
99,1024,exploitation,23796,0.31
100,1024,coop,47587,0.61
100,1024,defect,6345,0.08
100,1024,exploitation,24068,0.31
101,1024,coop,47103,0.6
101,1024,defect,6287,0.08
101,1024,exploitation,24610,0.32
102,1024,coop,47038,0.6
102,1024,defect,6488,0.08
102,1024,exploitation,24474,0.31
103,1024,coop,46535,0.6
103,1024,defect,6581,0.08
103,1024,exploitation,24884,0.32
104,1024,coop,46942,0.6
104,1024,defect,6416,0.08
104,1024,exploitation,24642,0.32
105,1024,coop,46676,0.6
105,1024,defect,6605,0.08
105,1024,exploitation,24719,0.32
106,1024,coop,46960,0.6
106,1024,defect,6456,0.08
106,1024,exploitation,24584,0.32
107,1024,coop,46071,0.59
107,1024,defect,6899,0.09
107,1024,exploitation,25030,0.32
108,1024,coop,48005,0.62
108,1024,defect,5457,0.07
108,1024,exploitation,24538,0.31
109,1024,coop,46264,0.59
109,1024,defect,6116,0.08
109,1024,exploitation,25620,0.33
110,1024,coop,45673,0.59
110,1024,defect,6676,0.09
110,1024,exploitation,25651,0.33
111,1024,coop,45202,0.58
111,1024,defect,6887,0.09
111,1024,exploitation,25911,0.33
112,1024,coop,44293,0.57
112,1024,defect,6944,0.09
112,1024,exploitation,26763,0.34
113,1024,coop,42514,0.55
113,1024,defect,8557,0.11
113,1024,exploitation,26929,0.35
114,1024,coop,40481,0.52
114,1024,defect,9869,0.13
114,1024,exploitation,27650,0.35
115,1024,coop,40626,0.52
115,1024,defect,10190,0.13
115,1024,exploitation,27184,0.35
116,1024,coop,41440,0.53
116,1024,defect,9492,0.12
116,1024,exploitation,27068,0.35
117,1024,coop,41914,0.54
117,1024,defect,9268,0.12
117,1024,exploitation,26818,0.34
118,1024,coop,42650,0.55
118,1024,defect,9152,0.12
118,1024,exploitation,26198,0.34
119,1024,coop,41732,0.54
119,1024,defect,9806,0.13
119,1024,exploitation,26462,0.34
120,1024,coop,39788,0.51
120,1024,defect,10936,0.14
120,1024,exploitation,27276,0.35
121,1024,coop,39499,0.51
121,1024,defect,11432,0.15
121,1024,exploitation,27069,0.35
122,1024,coop,40974,0.53
122,1024,defect,10298,0.13
122,1024,exploitation,26728,0.34
123,1024,coop,41516,0.53
123,1024,defect,9811,0.13
123,1024,exploitation,26673,0.34
124,1024,coop,41279,0.53
124,1024,defect,10186,0.13
124,1024,exploitation,26535,0.34
125,1024,coop,40913,0.52
125,1024,defect,10169,0.13
125,1024,exploitation,26918,0.35
126,1024,coop,40849,0.52
126,1024,defect,10216,0.13
126,1024,exploitation,26935,0.35
127,1024,coop,40208,0.52
127,1024,defect,10472,0.13
127,1024,exploitation,27320,0.35
128,1024,coop,40739,0.52
128,1024,defect,10406,0.13
128,1024,exploitation,26855,0.34
129,1024,coop,40362,0.52
129,1024,defect,10451,0.13
129,1024,exploitation,27187,0.35
130,1024,coop,39332,0.5
130,1024,defect,10783,0.14
130,1024,exploitation,27885,0.36
131,1024,coop,39732,0.51
131,1024,defect,10602,0.14
131,1024,exploitation,27666,0.35
132,1024,coop,39189,0.5
132,1024,defect,10823,0.14
132,1024,exploitation,27988,0.36
133,1024,coop,39952,0.51
133,1024,defect,10475,0.13
133,1024,exploitation,27573,0.35
134,1024,coop,40430,0.52
134,1024,defect,10353,0.13
134,1024,exploitation,27217,0.35
135,1024,coop,39519,0.51
135,1024,defect,11002,0.14
135,1024,exploitation,27479,0.35
136,1024,coop,39518,0.51
136,1024,defect,10983,0.14
136,1024,exploitation,27499,0.35
137,1024,coop,40089,0.51
137,1024,defect,10722,0.14
137,1024,exploitation,27189,0.35
138,1024,coop,40153,0.51
138,1024,defect,10290,0.13
138,1024,exploitation,27557,0.35
139,1024,coop,37114,0.48
139,1024,defect,12846,0.16
139,1024,exploitation,28040,0.36
140,1024,coop,37847,0.49
140,1024,defect,11989,0.15
140,1024,exploitation,28164,0.36
141,1024,coop,40495,0.52
141,1024,defect,10467,0.13
141,1024,exploitation,27038,0.35
142,1024,coop,40893,0.52
142,1024,defect,10210,0.13
142,1024,exploitation,26897,0.34
143,1024,coop,41503,0.53
143,1024,defect,9940,0.13
143,1024,exploitation,26557,0.34
144,1024,coop,39612,0.51
144,1024,defect,11222,0.14
144,1024,exploitation,27166,0.35
145,1024,coop,40668,0.52
145,1024,defect,10705,0.14
145,1024,exploitation,26627,0.34
146,1024,coop,39805,0.51
146,1024,defect,11028,0.14
146,1024,exploitation,27167,0.35
147,1024,coop,40005,0.51
147,1024,defect,11018,0.14
147,1024,exploitation,26977,0.35
148,1024,coop,40529,0.52
148,1024,defect,10633,0.14
148,1024,exploitation,26838,0.34
149,1024,coop,40781,0.52
149,1024,defect,10466,0.13
149,1024,exploitation,26753,0.34
150,1024,coop,40690,0.52
150,1024,defect,10543,0.14
150,1024,exploitation,26767,0.34
151,1024,coop,40722,0.52
151,1024,defect,10420,0.13
151,1024,exploitation,26858,0.34
152,1024,coop,40972,0.53
152,1024,defect,10330,0.13
152,1024,exploitation,26698,0.34
153,1024,coop,43100,0.55
