round,seed,exploit,defect,coop,exploit_
1,1,49780,58606,89068,47546
2,1,49156,61914,84946,48984
3,1,48344,66339,80728,49589
4,1,47626,70184,76183,51007
5,1,48391,75338,71451,49820
6,1,47795,72645,73650,50910
7,1,47627,72460,74738,50175
8,1,48343,75934,71005,49718
9,1,48063,75670,71183,50084
10,1,51050,70524,76558,46868
11,1,51479,69230,77301,46990
12,1,50690,66123,80614,47573
13,1,51347,67083,79704,46866
14,1,52755,69202,77573,45470
15,1,53466,66407,79490,45637
16,1,51593,69691,76487,47229
17,1,52005,69704,76193,47098
18,1,50632,72008,74366,47994
19,1,50851,72896,73637,47616
20,1,51170,72659,73027,48144
21,1,51622,72621,72455,48302
22,1,50202,76118,70128,48552
23,1,50596,70568,75423,48413
24,1,47847,75931,70135,51087
25,1,49086,72667,73079,50168
26,1,48164,75242,71064,50530
27,1,48011,74840,71302,50847
28,1,47979,72840,72560,51621
29,1,49275,75857,69672,50196
30,1,49967,72567,73994,48472
31,1,49702,74992,71665,48641
32,1,50185,73316,73449,48050
33,1,50049,71796,75191,47964
34,1,49448,73120,74875,47557
35,1,50796,76233,70858,47113
36,1,50675,76400,70719,47206
37,1,49511,81605,66218,47666
38,1,48005,78877,69114,49004
39,1,48105,78050,70016,48829
40,1,48584,72851,74465,49100
41,1,48362,74977,72104,49557
42,1,48703,75616,70760,49921
43,1,49515,70798,75424,49263
44,1,49511,70146,76171,49172
45,1,49728,70654,75866,48752
46,1,46381,65308,81321,51990
47,1,48051,67717,78173,51059
48,1,45707,63093,83010,53190
49,1,45245,63792,83386,52577
50,1,43730,58936,88398,53936
