round,seed,exploit,defect,coop,exploit_
1,2,50114,58785,88454,47647
2,2,49924,58948,88114,48014
3,2,51651,63682,83423,46244
4,2,51958,63114,83351,46577
5,2,52444,61700,84156,46700
6,2,54048,65036,80236,45680
7,2,53555,63465,81170,46810
8,2,52663,58978,86062,47297
9,2,50304,63742,80821,50133
10,2,50029,61236,83236,50499
11,2,49759,65958,77198,52085
12,2,47988,68589,74971,53452
13,2,45992,63718,80540,54750
14,2,46491,63779,79704,55026
15,2,46385,63466,81085,54064
16,2,45858,65205,79497,54440
17,2,45693,70005,74659,54643
18,2,45821,70379,74201,54599
19,2,44840,73232,71388,55540
20,2,45181,75524,69316,54979
21,2,45450,74200,70562,54788
22,2,46674,72472,71137,54717
23,2,46456,67451,76694,54399
24,2,47324,70242,73378,54056
25,2,48403,70573,71939,54085
26,2,48006,68887,74513,53594
27,2,46109,71307,73336,54248
28,2,44768,76134,68796,55302
29,2,46860,81597,64049,52494
30,2,47045,83410,61298,53247
31,2,46684,84326,61296,52694
32,2,46358,84291,61865,52486
33,2,46113,84564,61142,53181
34,2,46300,84583,60860,53257
35,2,46609,87876,58941,51574
36,2,48325,85535,60381,50759
37,2,47972,88198,58683,50147
38,2,47406,85768,60613,51213
39,2,47800,85728,60789,50683
40,2,47734,88591,58900,49775
41,2,49695,94425,54251,46629
42,2,49902,94296,53871,46931
43,2,50057,94598,53426,46919
44,2,50570,91431,56527,46472
45,2,50476,91455,56523,46546
46,2,49929,87765,59678,47628
47,2,50940,90274,56773,47013
48,2,49940,93042,55613,46405
49,2,49806,94107,54218,46869
50,2,49510,93988,55071,46431
