,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,25314138,13012,0.325,0.167
1,1024,defect,25042112,13477,0.321,0.173
2,1024,exploitation,27643750,2489,0.354,0.032
3000,128,coop,38009434,9702,0.487,0.124
3001,128,defect,13366205,7530,0.171,0.097
3002,128,exploitation,26624361,2625,0.341,0.034
6000,16,coop,18827778,10495,0.241,0.135
6001,16,defect,30610654,12071,0.393,0.155
6002,16,exploitation,28561568,2895,0.366,0.037
9000,256,coop,39547011,6076,0.507,0.078
9001,256,defect,11625619,4153,0.149,0.053
9002,256,exploitation,26827370,2046,0.344,0.027
12000,2,coop,32782418,10113,0.42,0.13
12001,2,defect,17397477,8201,0.223,0.105
12002,2,exploitation,27820105,2249,0.356,0.029
15000,32,coop,29189993,8011,0.374,0.103
15001,32,defect,20615131,7854,0.264,0.101
15002,32,exploitation,28194876,739,0.361,0.01
18000,4,coop,14505352,6273,0.186,0.08
18001,4,defect,36016016,8149,0.462,0.105
18002,4,exploitation,27478632,2239,0.352,0.029
21000,512,coop,16737733,8384,0.215,0.107
21001,512,defect,33975079,9765,0.436,0.125
21002,512,exploitation,27287188,1973,0.35,0.025
24000,64,coop,19557597,9954,0.251,0.128
24001,64,defect,31390184,11757,0.403,0.151
24002,64,exploitation,27052219,2346,0.347,0.03
27000,8,coop,33576341,9027,0.43,0.116
27001,8,defect,15765843,6333,0.202,0.081
27002,8,exploitation,28657816,3280,0.368,0.042
