,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,22833735,6291,0.293,0.081
1,1024,defect,26228999,6556,0.336,0.084
2,1024,exploitation,28937266,869,0.371,0.011
3000,128,coop,30663986,7864,0.393,0.101
3001,128,defect,18115052,7564,0.232,0.097
3002,128,exploitation,29220962,1951,0.375,0.025
6000,16,coop,28158911,7406,0.361,0.095
6001,16,defect,20591892,6932,0.264,0.089
6002,16,exploitation,29249197,1397,0.375,0.018
9000,256,coop,20147666,5485,0.258,0.07
9001,256,defect,28800700,6704,0.369,0.086
9002,256,exploitation,29051634,1664,0.373,0.022
12000,2,coop,33024391,5921,0.423,0.076
12001,2,defect,16512071,5366,0.212,0.069
12002,2,exploitation,28463538,1040,0.365,0.014
15000,32,coop,20989966,6634,0.269,0.085
15001,32,defect,28937386,7377,0.371,0.095
15002,32,exploitation,28072648,982,0.36,0.013
18000,4,coop,11864078,9953,0.152,0.127
18001,4,defect,40194274,12677,0.515,0.162
18002,4,exploitation,25941648,3498,0.333,0.045
21000,512,coop,38421196,7886,0.493,0.101
21001,512,defect,12440403,5771,0.159,0.074
21002,512,exploitation,27138401,2290,0.348,0.029
24000,64,coop,26692600,9900,0.342,0.127
24001,64,defect,22895645,10204,0.294,0.131
24002,64,exploitation,28411755,1296,0.364,0.017
27000,8,coop,24964455,5000,0.32,0.064
27001,8,defect,23206174,5632,0.297,0.072
27002,8,exploitation,29829371,1455,0.383,0.019
