round,seed,exploit,coop,exploit_,defect
199,16,20943,29025,11681,16351
200,16,20779,28647,11712,16862
201,16,19423,30584,12227,15766
202,16,20032,28659,12321,16988
203,16,19640,26964,12915,18481
204,16,19901,26809,12857,18433
205,16,19917,26691,12877,18515
206,16,19081,26430,13105,19384
207,16,19356,26057,13234,19353
208,16,18737,27762,12921,18580
209,16,18172,27182,13332,19314
210,16,18173,27525,13015,19287
211,16,18059,27238,12940,19763
212,16,17954,27193,12932,19921
213,16,18134,26974,13119,19773
214,16,18223,28264,12469,19044
215,16,17295,30626,13078,17001
216,16,17062,32192,12467,16279
217,16,18166,30349,11979,17506
218,16,18253,28756,12715,18276
219,16,19017,27268,12069,19646
220,16,19959,27824,11795,18422
221,16,19981,27843,11902,18274
222,16,19653,25951,12334,20062
223,16,19803,25864,12648,19685
224,16,19093,27917,12731,18259
225,16,19304,27882,12678,18136
226,16,19367,27866,12564,18203
227,16,19290,28027,12631,18052
228,16,19539,28392,12558,17511
229,16,19652,28248,12474,17626
230,16,19501,28427,12507,17565
231,16,19645,28114,12535,17706
232,16,18479,30309,13225,15987
233,16,17270,32288,13627,14815
234,16,17176,31986,13806,15032
235,16,16682,34137,13322,13859
236,16,16956,33916,13461,13667
237,16,16934,34106,13700,13260
238,16,16902,34936,13638,12524
239,16,16435,34223,13940,13402
240,16,16442,34809,14091,12658
241,16,16162,32858,15260,13720
242,16,16176,33078,15239,13507
243,16,15587,34953,15003,12457
244,16,15758,34771,14935,12536
245,16,16849,32733,14315,14103
246,16,17008,32555,14184,14253
247,16,16999,32594,14310,14097
248,16,16937,32792,14303,13968
249,16,15924,30739,15692,15645
250,16,14839,32449,16204,14508
251,16,15125,33923,15203,13749
252,16,14952,34225,15000,13823
253,16,13507,36278,15989,12226
254,16,13451,36281,15857,12411
255,16,13685,35608,15563,13144
256,16,14461,37973,14062,11504
257,16,14351,38182,14273,11194
258,16,14256,38493,14091,11160
259,16,14228,40666,13364,9742
260,16,14880,38901,13849,10370
261,16,14985,38771,13857,10387
262,16,15115,38592,13946,10347
263,16,15074,36813,14495,11618
264,16,15479,39179,13160,10182
265,16,14118,41075,13575,9232
266,16,14238,40835,13594,9333
267,16,13851,38514,14886,10749
268,16,13865,40835,13908,9392
269,16,13945,40763,14043,9249
270,16,13856,40979,13844,9321
271,16,13622,38513,14995,10870
272,16,13697,38469,15078,10756
273,16,14077,39118,14735,10070
274,16,14557,39561,14512,9370
275,16,12900,41713,14871,8516
276,16,12919,41727,14943,8411
277,16,13037,41605,14794,8564
278,16,12856,41881,14980,8283
279,16,12970,41556,14822,8652
280,16,12836,42011,14931,8222
281,16,12874,41758,14909,8459
282,16,12824,39636,15936,9604
283,16,12552,39333,16167,9948
284,16,12508,39508,16197,9787
285,16,12547,39536,16012,9905
286,16,13023,39730,15832,9415
287,16,12933,39677,15923,9467
288,16,12745,39305,16063,9887
289,16,12752,39317,16226,9705
290,16,12520,39620,16014,9846
291,16,12715,39366,16118,9801
292,16,12559,39550,16102,9789
293,16,12785,39362,16034,9819
294,16,12344,39242,16184,10230
295,16,12640,39504,15949,9907
296,16,12726,39235,16196,9843
297,16,14015,37444,15773,10768
298,16,14177,35594,16824,11405
299,16,14845,33520,16914,12721
300,16,13927,35789,16844,11440
301,16,14213,35534,16949,11304
302,16,14178,35562,16900,11360
303,16,14123,37551,15935,10391
304,16,13704,37335,15997,10964
305,16,13827,36945,15860,11368
306,16,13498,37594,16350,10558
307,16,13044,35437,17884,11635
308,16,12885,35894,18151,11070
309,16,13268,36116,18011,10605
310,16,13747,33870,18321,12062
311,16,12158,36023,19218,10601
312,16,12017,36281,19749,9953
313,16,11774,36722,19600,9904
314,16,11830,36494,19633,10043
315,16,13568,34477,19318,10637
316,16,13410,34940,19539,10111
317,16,13968,32926,20257,10849
318,16,13936,32953,20356,10755
319,16,13899,33168,20574,10359
320,16,13743,30856,21851,11550
321,16,13840,31025,21706,11429
322,16,13314,30919,21675,12092
323,16,12720,32733,21050,11497
324,16,12348,34451,20297,10904
325,16,12334,34489,20268,10909
326,16,12514,34234,20190,11062
327,16,13287,32263,20108,12342
328,16,12455,30224,21657,13664
329,16,12206,30545,21544,13705
330,16,12439,30280,21690,13591
331,16,12372,30352,21716,13560
332,16,12114,30653,22225,13008
333,16,12220,30552,22331,12897
334,16,12294,30498,22231,12977
335,16,11089,32685,22517,11709
336,16,11245,32509,22529,11717
337,16,11744,30612,22660,12984
338,16,12043,30312,22665,12980
339,16,11884,30370,22731,13015
340,16,12865,32685,20847,11603
341,16,12971,32490,20853,11686
342,16,12961,32461,20883,11695
343,16,12019,34622,20831,10528
344,16,11982,34689,20911,10418
345,16,13582,32572,20175,11671
346,16,12891,30608,21544,12957
347,16,11384,32227,21791,12598
348,16,11444,32170,21796,12590
349,16,11455,31635,21551,13359
350,16,12147,29671,21311,14871
351,16,13329,27764,20749,16158
352,16,13224,27890,20574,16312
353,16,13326,27589,20640,16445
354,16,13311,27599,20807,16283
355,16,14074,25706,20291,17929
356,16,12959,24007,21460,19574
357,16,12924,23979,21474,19623
358,16,13213,23788,21365,19634
359,16,12370,25798,21988,17844
360,16,13771,23819,20949,19461
361,16,13289,23750,20239,20722
362,16,13887,24960,19449,19704
363,16,13742,23093,19699,21466
364,16,13862,21410,19491,23237
365,16,13895,21490,19581,23034
366,16,14006,19894,19105,24995
367,16,14451,19214,18752,25583
368,16,14146,21051,18931,23872
369,16,13917,21132,18880,24071
370,16,13992,21171,18870,23967
