round,seed,defect,coop,exploit,exploit_
199,780,52352,3535,12441,9672
200,780,52365,3479,12562,9594
201,780,52165,3453,12639,9743
202,780,52511,3485,12418,9586
203,780,54746,2744,10346,10164
204,780,54337,3052,10313,10298
205,780,54234,3158,10361,10247
206,780,54566,3009,10329,10096
207,780,55017,2599,10243,10141
208,780,54671,2708,10566,10055
209,780,52173,3449,11671,10707
210,780,52236,3412,11736,10616
211,780,52282,3399,11702,10617
212,780,52740,3078,11713,10469
213,780,52599,3166,11776,10459
214,780,52852,3158,11693,10297
215,780,50236,3970,12707,11087
216,780,50093,3869,12626,11412
217,780,50026,3809,12816,11349
218,780,50125,3833,12832,11210
219,780,50318,3825,12628,11229
220,780,49853,3887,12782,11478
221,780,50070,3856,12755,11319
222,780,52795,3160,12878,9167
223,780,52547,3153,12966,9334
224,780,52690,3100,12947,9263
225,780,52699,3057,12885,9359
226,780,52594,3118,12992,9296
227,780,52791,3106,12831,9272
228,780,55266,2412,11916,8406
229,780,55193,2432,11878,8497
230,780,55443,2458,11698,8401
231,780,55295,2549,11789,8367
232,780,55365,2524,11819,8292
233,780,55378,2390,11722,8510
234,780,55567,2351,11636,8446
235,780,55568,2427,11634,8371
236,780,55319,2380,11847,8454
237,780,55377,2494,11724,8405
238,780,58031,1850,10441,7678
239,780,57446,2025,10415,8114
240,780,57546,2060,10475,7919
241,780,57568,2066,10513,7853
242,780,57565,1996,10420,8019
243,780,57567,2130,10465,7838
244,780,57630,2039,10432,7899
245,780,57676,2077,10356,7891
246,780,57635,1979,10486,7900
247,780,57737,2002,10426,7835
248,780,57710,1928,10339,8023
249,780,57777,1920,10380,7923
250,780,57340,2083,10512,8065
251,780,57640,2116,10408,7836
252,780,54776,2673,11488,9063
253,780,55386,2436,10994,9184
254,780,55646,2374,10894,9086
255,780,55789,2177,10919,9115
256,780,57128,1816,9788,9268
257,780,57030,1865,9813,9292
258,780,57096,1871,9826,9207
259,780,56769,1876,9943,9412
260,780,59715,1292,8091,8902
261,780,59734,1317,7906,9043
262,780,59726,1289,7931,9054
263,780,59324,1504,7991,9181
264,780,59367,1523,8134,8976
265,780,59340,1519,8032,9109
266,780,59402,1476,8110,9012
267,780,59242,1422,8225,9111
268,780,59237,1510,8141,9112
269,780,59160,1438,8159,9243
270,780,59259,1471,8108,9162
271,780,56365,2042,9224,10369
272,780,56324,2041,9285,10350
273,780,56033,2240,9482,10245
274,780,55594,2595,9193,10618
275,780,55618,2535,9247,10600
276,780,56077,2286,9424,10213
277,780,55972,2275,9445,10308
278,780,56238,2259,9325,10178
279,780,59007,1650,8510,8833
280,780,58931,1596,8644,8829
281,780,59136,1617,8420,8827
282,780,56281,2219,9277,10223
283,780,56162,2255,9305,10278
284,780,55428,2417,9374,10781
285,780,55464,2357,9420,10759
286,780,55581,2427,9386,10606
287,780,55359,2422,9552,10667
288,780,55478,2369,9480,10673
289,780,55201,2547,9364,10888
290,780,55503,2500,9332,10665
291,780,55385,2425,9431,10759
292,780,56553,2047,9385,10015
293,780,56609,2070,9255,10066
294,780,56535,2038,9415,10012
295,780,56511,2041,9378,10070
296,780,56357,1998,9428,10217
297,780,55382,2519,9490,10609
298,780,55678,2237,9606,10479
299,780,55797,2225,9497,10481
300,780,55839,2184,9557,10420
301,780,55932,2171,9591,10306
302,780,56033,2240,9547,10180
303,780,55932,2042,9488,10538
304,780,55730,2170,9689,10411
305,780,55770,2212,9550,10468
306,780,55580,2166,9663,10591
307,780,55782,2125,9728,10365
308,780,55818,2130,9711,10341
309,780,55731,2239,9632,10398
310,780,55780,2130,9681,10409
311,780,55627,2240,9631,10502
312,780,55784,2210,9660,10346
313,780,55313,2464,9494,10729
314,780,55735,2195,9300,10770
315,780,55775,2136,9396,10693
316,780,53277,2780,11196,10747
317,780,53077,2774,11314,10835
318,780,53048,2762,11396,10794
319,780,53359,2785,11273,10583
320,780,55972,2178,10142,9708
321,780,58319,1600,8347,9734
322,780,58489,1605,8197,9709
323,780,58078,1725,8168,10029
324,780,58102,1854,8175,9869
325,780,58401,1635,8223,9741
326,780,58630,1575,8206,9589
327,780,58607,1637,8247,9509
328,780,58995,1418,8189,9398
329,780,59022,1434,8155,9389
330,780,58800,1475,8161,9564
331,780,58901,1491,8210,9398
332,780,58795,1354,8252,9599
333,780,58735,1446,8359,9460
334,780,59004,1468,8165,9363
335,780,58837,1484,8338,9341
336,780,59041,1449,8113,9397
337,780,59043,1408,8195,9354
338,780,56284,1940,8972,10804
339,780,56604,1746,9224,10426
340,780,53819,2201,11074,10906
341,780,54881,1973,10595,10551
342,780,57634,1472,9908,8986
343,780,57643,1476,9937,8944
344,780,57206,1613,10265,8916
345,780,57523,1634,10148,8695
346,780,57166,1611,10273,8950
347,780,57246,1653,10220,8881
348,780,57259,1649,10233,8859
349,780,57308,1633,10288,8771
350,780,57176,1658,10163,9003
351,780,57452,1664,10110,8774
352,780,56183,1906,10596,9315
353,780,55860,2011,10778,9351
354,780,56247,1906,10503,9344
355,780,56148,1948,10471,9433
356,780,56256,1913,10392,9439
357,780,55973,1963,10616,9448
358,780,56136,1949,10609,9306
359,780,56190,1953,10474,9383
360,780,56018,1971,10647,9364
361,780,56383,1923,10426,9268
362,780,56118,1951,10489,9442
363,780,56380,1790,10320,9510
364,780,56483,1734,10209,9574
365,780,56429,1713,10332,9526
366,780,56554,1710,10261,9475
367,780,56422,1799,10374,9405
368,780,56616,1711,10263,9410
369,780,56349,1663,10373,9615
370,780,56494,1706,10309,9491
371,780,56517,1730,10278,9475
372,780,56530,1700,10254,9516
373,780,56733,1655,10157,9455
374,780,56568,1700,10220,9512
375,780,56611,1744,10248,9397
376,780,56218,1890,10293,9599
377,780,55046,2295,9965,10694
378,780,54922,2237,10084,10757
379,780,55181,2264,9865,10690
380,780,55060,2175,10028,10737
381,780,55154,2291,9863,10692
382,780,55039,2322,9935,10704
383,780,52438,2941,9968,12653
384,780,52240,2871,10044,12845
385,780,52611,2824,9807,12758
386,780,52359,2878,9995,12768
387,780,52603,2846,10043,12508
388,780,53048,2825,10000,12127
389,780,51969,3285,10061,12685
390,780,51800,3316,9979,12905
391,780,52099,3096,10140,12665
392,780,51625,3736,10319,12320
393,780,51997,3233,10534,12236
394,780,52022,3347,10429,12202
395,780,51911,3326,10505,12258
396,780,52002,3270,10533,12195
397,780,51885,3241,10501,12373
398,780,51987,3283,10467,12263
399,780,52003,3251,10520,12226
400,780,51874,3322,10590,12214
401,780,50788,3837,10450,12925
402,780,50796,3750,10536,12918
403,780,50923,3665,10525,12887
404,780,49714,4368,10858,13060
405,780,48297,5014,11833,12856
406,780,48568,4910,11688,12834
407,780,48348,5076,11620,12956
408,780,48423,5061,11786,12730
409,780,48212,4973,11878,12937
410,780,50975,4017,11278,11730
411,780,49861,4670,11839,11630
412,780,50683,4168,11824,11325
413,780,50873,4114,11604,11409
414,780,50741,4162,11657,11440
415,780,51132,4098,11605,11165
416,780,50795,4117,11788,11300
