round,seed,defect,exploit,exploit_,coop
1,201,19598,16883,11930,29589
2,201,19655,17056,12181,29108
3,201,20960,16908,12674,27458
4,201,20716,16808,12554,27922
5,201,22215,17438,12431,25916
6,201,24501,17955,11583,23961
7,201,23554,17241,12086,25119
8,201,22139,17431,12006,26424
9,201,23261,17637,11690,25412
10,201,25329,17793,11720,23158
11,201,25721,17871,11756,22652
12,201,25299,17416,11800,23485
13,201,24961,17333,11836,23870
14,201,24511,17315,11957,24217
15,201,22395,16885,12229,26491
16,201,23961,16297,13140,24602
17,201,25219,16357,13173,23251
18,201,27508,16877,12552,21063
19,201,25969,16381,13043,22607
20,201,25320,16271,13166,23243
21,201,26536,16331,12801,22332
22,201,26528,16253,12994,22225
23,201,26131,16389,12929,22551
24,201,25051,16317,12720,23912
25,201,24996,16259,12806,23939
26,201,25512,16222,13025,23241
27,201,27770,15506,13353,21371
28,201,28666,15823,12936,20575
29,201,29297,15823,13100,19780
30,201,28137,15486,13226,21151
31,201,28078,15627,13360,20935
32,201,26192,15131,13809,22868
33,201,25613,15123,13748,23516
34,201,26713,14618,14208,22461
35,201,27807,14254,14686,21253
36,201,27770,14136,14375,21719
37,201,26588,14305,14425,22682
38,201,27524,14636,14100,21740
39,201,29147,13912,14449,20492
40,201,28847,14085,14699,20369
41,201,31012,13514,14548,18926
42,201,30865,13542,14534,19059
43,201,29711,13582,14745,19962
44,201,28980,13837,14683,20500
45,201,30418,13101,14601,19880
46,201,29929,13442,14977,19652
47,201,30042,13324,15011,19623
48,201,30102,13480,15028,19390
49,201,28741,12950,15666,20643
50,201,30753,13007,15285,18955
51,201,30619,13030,15438,18913
52,201,29664,12933,15468,19935
53,201,29614,12883,15588,19915
54,201,29598,12725,15511,20166
55,201,29147,12915,15774,20164
56,201,30043,13142,15067,19748
57,201,28335,13512,15188,20965
58,201,28392,13336,14990,21282
59,201,26809,14042,14690,22459
60,201,27926,14258,14391,21425
61,201,27399,14345,14360,21896
62,201,26427,14824,13880,22869
63,201,27423,14925,13932,21720
64,201,26198,15106,13658,23038
65,201,24672,14817,14048,24463
66,201,24983,14994,13863,24160
67,201,26403,15059,13597,22941
68,201,24556,15791,13328,24325
69,201,23028,15460,13446,26066
70,201,23106,15514,13468,25912
71,201,23295,15562,13534,25609
72,201,23616,15452,13960,24972
73,201,22108,15023,14166,26703
74,201,21456,14873,14245,27426
75,201,23962,14075,14902,25061
76,201,25112,13867,14942,24079
77,201,23323,14188,14686,25803
78,201,24080,13999,14787,25134
79,201,25292,13818,15186,23704
80,201,25691,13560,15257,23492
81,201,26187,13488,15215,23110
82,201,27366,13049,15517,22068
83,201,24822,13177,15866,24135
84,201,24299,13129,15951,24621
85,201,26036,12827,15736,23401
86,201,23831,13125,15961,25083
87,201,24306,13034,15754,24906
88,201,22231,12801,16361,26607
89,201,22150,12957,16336,26557
90,201,20069,12976,15713,29242
91,201,20153,13134,15742,28971
92,201,18141,13471,15451,30937
93,201,18295,13448,15309,30948
94,201,18287,13394,15538,30781
95,201,18203,13593,15601,30603
96,201,17506,13397,15326,31771
97,201,19245,13264,15547,29944
98,201,19171,13275,15713,29841
99,201,19675,13219,15763,29343
100,201,19964,13066,15528,29442
101,201,18040,13107,15826,31027
102,201,18208,13062,15876,30854
103,201,18469,12792,15860,30879
104,201,16183,13045,15336,33436
105,201,16299,13421,15534,32746
106,201,18206,12888,15871,31035
107,201,18499,13108,15770,30623
108,201,16995,13871,15603,31531
109,201,17269,13370,15151,32210
110,201,16587,13581,15406,32426
111,201,16878,13318,15365,32439
112,201,14610,14356,14755,34279
113,201,15061,14137,14541,34261
114,201,14504,13994,14473,35029
115,201,15111,14067,14884,33938
116,201,14636,13902,14559,34903
117,201,14256,14022,14336,35386
118,201,14528,14279,14432,34761
119,201,14761,14237,14405,34597
120,201,15325,14322,14753,33600
121,201,13366,14391,14107,36136
122,201,13084,14536,14292,36088
123,201,13753,14756,14343,35148
124,201,13873,14453,14185,35489
125,201,13567,14571,14300,35562
126,201,14386,14430,14622,34562
127,201,14135,14617,14832,34416
128,201,14702,14446,14584,34268
129,201,12510,14159,15160,36171
130,201,12540,14281,15183,35996
131,201,12569,14294,15342,35795
132,201,12829,14406,15240,35525
133,201,12576,14724,15167,35533
134,201,14853,14667,14896,33584
135,201,14670,14516,14835,33979
136,201,14195,14473,14907,34425
137,201,13336,14397,14214,36053
138,201,14325,14399,14684,34592
139,201,14878,14420,14897,33805
140,201,14270,14397,14766,34567
141,201,14159,14469,14857,34515
142,201,14686,14537,14923,33854
143,201,13951,14288,14837,34924
144,201,13911,14194,14942,34953
145,201,14460,14128,14948,34464
146,201,14907,14489,15225,33379
147,201,15276,14163,14950,33611
148,201,15838,14624,15736,31802
149,201,15422,14685,15760,32133
150,201,16415,14701,15473,31411
151,201,16362,14765,15443,31430
152,201,16581,15021,15791,30607
153,201,18096,14878,15616,29410
154,201,18739,14767,15342,29152
155,201,18690,14974,15281,29055
156,201,18919,14893,15344,28844
157,201,18600,15003,15385,29012
158,201,16973,15140,15649,30238
159,201,18225,15442,15214,29119
160,201,18055,15622,15933,28390
161,201,18090,15293,15807,28810
162,201,17775,15340,15516,29369
163,201,17920,15475,15954,28651
164,201,18399,15644,15952,28005
165,201,18735,15975,16187,27103
166,201,18168,15872,16114,27846
167,201,17830,15823,15840,28507
168,201,17809,15923,16209,28059
169,201,18045,15719,15871,28365
170,201,18455,15746,15861,27938
171,201,18507,15904,16147,27442
172,201,18721,15878,16082,27319
173,201,19170,15958,15910,26962
174,201,19024,15950,15943,27083
175,201,18589,15959,15838,27614
176,201,18910,16167,16181,26742
177,201,20688,15853,16080,25379
178,201,20084,15627,16026,26263
179,201,20827,15666,15930,25577
180,201,20639,15793,16154,25414
181,201,20862,15563,16002,25573
182,201,22974,15509,15750,23767
183,201,21215,15899,15876,25010
184,201,19482,15886,16154,26478
185,201,20251,15848,16374,25527
186,201,20112,15877,16396,25615
187,201,19981,16110,16519,25390
