round,seed,exploit,defect,exploit_,coop
1,612,16746,19674,12136,29444
2,612,16724,20175,12593,28508
3,612,16766,20021,12510,28703
4,612,17146,22066,12081,26707
5,612,17432,20189,11307,29072
6,612,17646,20059,11532,28763
7,612,17970,19221,11320,29489
8,612,17882,19349,11315,29454
9,612,17967,18753,10927,30353
10,612,17904,18668,11032,30396
11,612,18023,18661,11056,30260
12,612,17694,19204,11260,29842
13,612,18154,18657,11210,29979
14,612,18018,19329,11531,29122
15,612,17862,19129,11253,29756
16,612,17979,19276,11321,29424
17,612,17297,20048,11655,29000
18,612,17358,19769,11609,29264
19,612,17215,18484,11446,30855
20,612,16797,16527,11823,32853
21,612,16342,17253,11909,32496
22,612,16184,18196,12014,31606
23,612,16573,16138,11679,33610
24,612,17042,17111,11476,32371
25,612,16465,19263,12189,30083
26,612,16543,19187,12208,30062
27,612,16726,19676,12240,29358
28,612,16341,21953,12487,27219
29,612,16142,21855,12451,27552
30,612,16205,21264,12898,27633
31,612,16119,21562,12718,27601
32,612,16565,22816,12304,26315
33,612,17181,21875,11826,27118
34,612,17430,21053,11807,27710
35,612,17225,22554,12368,25853
36,612,16896,24311,12720,24073
37,612,16511,24976,12951,23562
38,612,16275,24974,12717,24034
39,612,16300,24868,12821,24011
40,612,16459,24269,12761,24511
41,612,16530,24114,13003,24353
42,612,16953,23612,12578,24857
43,612,16835,24380,12501,24284
44,612,16520,26302,12648,22530
45,612,16483,25783,12865,22869
46,612,16136,26703,13020,22141
47,612,16317,25031,12839,23813
48,612,16660,22846,12408,26086
49,612,16877,22700,12368,26055
50,612,16792,23553,12347,25308
51,612,16455,22746,12798,26001
52,612,16957,22172,12646,26225
53,612,16943,22190,12495,26372
54,612,16980,20622,12327,28071
55,612,17822,22519,11618,26041
56,612,17925,21991,11444,26640
57,612,18323,21735,11317,26625
58,612,17996,23462,11717,24825
59,612,18072,23176,11748,25004
60,612,18208,22883,11695,25214
61,612,18485,24597,11534,23384
62,612,18497,24501,11342,23660
63,612,17974,25823,12088,22115
64,612,17303,24592,12585,23520
65,612,17884,25909,12275,21932
66,612,17629,26264,12286,21821
67,612,17948,27588,12204,20260
68,612,18469,29062,11571,18898
69,612,18244,29510,11904,18342
70,612,18319,29590,11867,18224
71,612,18746,31230,11020,17004
72,612,19539,29512,11045,17904
73,612,18452,31623,11628,16297
74,612,18451,31657,11689,16203
75,612,17810,30550,12102,17538
76,612,17883,30399,12219,17499
77,612,17705,30581,12159,17555
78,612,17504,31352,12137,17007
79,612,17887,29762,11693,18658
80,612,17948,28602,11586,19864
81,612,17994,28431,11758,19817
82,612,17596,27587,12028,20789
83,612,17431,27652,11969,20948
84,612,17117,25601,12763,22519
85,612,17181,24599,12111,24109
86,612,17228,24428,12332,24012
87,612,17199,24353,12239,24209
88,612,16702,23294,12558,25446
89,612,16423,21902,12519,27156
90,612,16447,21500,12595,27458
91,612,16373,21295,12832,27500
92,612,16092,22588,13207,26113
