round,seed,coop,exploit_,exploit,defect
353,2,27053,16126,14482,20339
354,2,27123,16100,14608,20169
355,2,26681,16063,14716,20540
356,2,27871,16268,14510,19351
357,2,28754,16225,14043,18978
358,2,26533,16343,13833,21291
359,2,26581,16649,13913,20857
360,2,25950,16591,13700,21759
361,2,26615,16342,13772,21271
362,2,27416,16468,13796,20320
363,2,27343,16390,13749,20518
364,2,25747,16738,13284,22231
365,2,24384,16781,12636,24199
366,2,23147,16786,12935,25132
367,2,22853,16788,12916,25443
368,2,21543,16842,12822,26793
369,2,22543,16938,12902,25617
370,2,22835,16465,12635,26065
371,2,23535,16933,12171,25361
372,2,25034,16696,12433,23837
373,2,24856,16869,12529,23746
374,2,25287,17159,12253,23301
375,2,24158,17301,12098,24443
376,2,23423,16801,12348,25428
377,2,22372,16738,12840,26050
378,2,22630,16716,12799,25855
379,2,23300,16735,12519,25446
380,2,23314,16671,12328,25687
381,2,25021,16238,13645,23096
382,2,24235,16000,13109,24656
383,2,22953,16533,12726,25788
384,2,23417,16648,12683,25252
385,2,26159,16548,12575,22718
386,2,27948,16413,12904,20735
387,2,26495,16831,12442,22232
388,2,27740,16982,12121,21157
389,2,27730,16945,12001,21324
390,2,28756,16659,11747,20838
391,2,27357,16847,12247,21549
392,2,28040,16624,12071,21265
393,2,27340,16665,12409,21586
394,2,27110,16906,12652,21332
395,2,27823,16625,12403,21149
396,2,28785,16807,12774,19634
397,2,29255,16428,12653,19664
398,2,27655,16652,12403,21290
399,2,28095,16543,12478,20884
400,2,27067,16390,12341,22202
401,2,26844,16478,12253,22425
402,2,26151,16642,12103,23104
403,2,24901,16327,12204,24568
404,2,24581,16408,12374,24637
405,2,23831,16729,12240,25200
406,2,25597,16371,12475,23557
407,2,25052,16466,12599,23883
408,2,23644,15836,13195,25325
409,2,23813,15936,13036,25215
410,2,24010,15679,12934,25377
411,2,23427,15814,12958,25801
412,2,23117,15740,13067,26076
413,2,24400,15864,13254,24482
414,2,24503,15870,13299,24328
415,2,24159,15893,13402,24546
416,2,24875,15913,13418,23794
417,2,25316,15969,13076,23639
418,2,23301,15248,13549,25902
419,2,24000,15669,13802,24529
420,2,24477,15807,13584,24132
421,2,24253,15518,13369,24860
422,2,24170,15744,13672,24414
423,2,23041,15928,13276,25755
424,2,24784,15514,13647,24055
425,2,23368,15584,13158,25890
426,2,25002,15464,14014,23520
427,2,25157,15374,13842,23627
428,2,25577,15170,13536,23717
429,2,24961,15108,13846,24085
430,2,23744,15128,13768,25360
431,2,24048,14940,13812,25200
432,2,23190,15129,14109,25572
433,2,22753,14892,13929,26426
434,2,24367,15065,13974,24594
435,2,24033,15041,14192,24734
436,2,24774,15088,14642,23496
437,2,24747,15113,14585,23555
438,2,24548,15221,14797,23434
439,2,23906,15273,14694,24127
440,2,24561,14961,14437,24041
441,2,26188,15487,14514,21811
442,2,26190,15373,14377,22060
443,2,26549,15232,14258,21961
444,2,25974,15379,14451,22196
445,2,24519,15445,14273,23763
446,2,24471,15429,14376,23724
447,2,24784,15299,14284,23633
448,2,24104,15377,14366,24153
449,2,22857,15173,14776,25194
450,2,23097,15117,14606,25180
451,2,22968,15175,14792,25065
452,2,20990,14883,14923,27204
453,2,20924,14806,14705,27565
454,2,22800,15342,14516,25342
455,2,21799,15099,14303,26799
456,2,23534,15484,14526,24456
457,2,25203,15451,14515,22831
458,2,25370,15424,14587,22619
459,2,25664,15668,14567,22101
460,2,26511,15525,14152,21812
461,2,26843,15575,14297,21285
462,2,25224,15471,13908,23397
463,2,24575,15386,14126,23913
464,2,24994,15446,14179,23381
465,2,25127,15434,14169,23270
466,2,24352,14869,14048,24731
467,2,25637,15161,14197,23005
468,2,25604,15378,14086,22932
469,2,24058,15045,14301,24596
470,2,23910,15028,14266,24796
471,2,24365,14823,13928,24884
472,2,25582,14766,14903,22749
473,2,25650,14734,14791,22825
474,2,26196,14554,14867,22383
475,2,26840,14499,14582,22079
476,2,28671,14479,14950,19900
477,2,28575,14483,15015,19927
478,2,28890,14346,14913,19851
479,2,31527,13617,15349,17507
480,2,31355,13812,15507,17326
481,2,31336,13786,15564,17314
482,2,29480,13767,15461,19292
483,2,31339,13788,15195,17678
484,2,31625,13600,15383,17392
485,2,28958,14550,15030,19462
486,2,28952,14428,14960,19660
487,2,27038,14532,14867,21563
488,2,27191,14412,14974,21423
489,2,27254,14531,14880,21335
490,2,27500,14232,14721,21547
491,2,25857,14813,14207,23123
492,2,26727,14529,14323,22421
493,2,26993,14398,14380,22229
494,2,26399,14542,14473,22586
495,2,26872,14648,14394,22086
496,2,25741,14747,14075,23437
497,2,25853,14685,14126,23336
498,2,24028,14150,14527,25295
499,2,25640,14519,14233,23608
500,2,25053,14367,14308,24272
501,2,23116,14198,14865,25821
502,2,21939,13585,15108,27368
503,2,23128,13987,14765,26120
504,2,23719,13989,15001,25291
505,2,21965,13693,14536,27806
506,2,21784,13900,14665,27651
507,2,22056,14065,14692,27187
508,2,23577,14152,14238,26033
509,2,23348,14343,14314,25995
510,2,24994,14727,14095,24184
511,2,23069,14311,14453,26167
512,2,23315,14347,14299,26039
513,2,21545,14857,13604,27994
514,2,21112,14664,13818,28406
515,2,21285,14866,13743,28106
516,2,21232,14640,13442,28686
517,2,19678,14801,13009,30512
518,2,20075,15119,13050,29756
519,2,20307,15304,12779,29610
520,2,18415,15325,12492,31768
521,2,17965,15127,12557,32351
522,2,17527,15212,12705,32556
523,2,18689,15538,12928,30845
524,2,20256,15462,13023,29259
525,2,18851,15226,12899,31024
526,2,18607,15143,12980,31270
527,2,18882,15059,12846,31213
528,2,20037,15299,13077,29587
529,2,19147,14797,13565,30491
530,2,19871,15226,13364,29539
531,2,19801,15473,13378,29348
532,2,19333,15041,13334,30292
533,2,19299,15020,13239,30442
534,2,19173,14689,13271,30867
535,2,17761,14527,13670,32042
536,2,16944,14008,13878,33170
537,2,16011,13898,12972,35119
538,2,16101,14165,12880,34854
539,2,14223,13948,13266,36563
540,2,13521,13557,12901,38021
541,2,12092,13715,12182,40011
542,2,11010,13174,12243,41573
543,2,10984,13163,12098,41755
544,2,11358,13044,12036,41562
545,2,10936,13109,12375,41580
546,2,10870,13224,12404,41502
547,2,12147,13768,11982,40103
548,2,10566,13664,11303,42467
549,2,11365,13600,11553,41482
550,2,10388,13602,11382,42628
551,2,11090,13978,11304,41628
552,2,10849,13890,11465,41796
553,2,10583,13988,11363,42066
554,2,9991,13671,11173,43165
555,2,8876,13539,10559,45026
556,2,9590,13666,11017,43727
557,2,10411,13822,11632,42135
558,2,11150,13538,11722,41590
559,2,10433,13294,11654,42619
560,2,9566,12837,11551,44046
561,2,9002,12639,11704,44655
562,2,8643,12389,11235,45733
563,2,8520,12427,11318,45735
564,2,7384,12245,11093,47278
565,2,7522,12102,10938,47438
566,2,7592,12094,10887,47427
567,2,6251,11461,11102,49186
568,2,6164,11497,11082,49257
569,2,5963,11114,10915,50008
570,2,5399,10810,10821,50970
571,2,5559,10625,10681,51135
572,2,5649,10666,10664,51021
573,2,4546,10112,10556,52786
574,2,4141,10057,10148,53654
575,2,4191,10090,10266,53453
576,2,3775,9691,10025,54509
577,2,3591,9435,9918,55056
