round,seed,coop,exploit_,exploit,defect
622,128,35178,15435,12430,14957
623,128,33701,15527,12912,15860
624,128,36911,14247,13098,13744
625,128,35534,14408,13636,14422
626,128,33303,15048,13361,16288
627,128,33858,14731,13235,16176
628,128,33936,14814,13204,16046
629,128,32319,14541,13737,17403
630,128,31694,14445,14066,17795
631,128,31761,14533,13862,17844
632,128,31812,14490,13995,17703
633,128,31077,14548,14143,18232
634,128,32713,14750,13623,16914
635,128,32569,14743,13617,17071
636,128,32262,14873,13732,17133
637,128,33748,14778,13414,16060
638,128,33991,15089,13306,15614
639,128,33880,14825,13135,16160
640,128,35360,14867,13306,14467
641,128,35794,14554,13121,14531
642,128,34226,15167,12938,15669
643,128,34737,15101,12811,15351
644,128,34630,15188,12858,15324
645,128,35124,15001,12873,15002
646,128,35163,14960,12779,15098
647,128,34573,14886,12982,15559
648,128,33303,15321,12975,16401
649,128,33266,15595,13053,16086
650,128,33940,15240,12849,15971
651,128,33998,15204,12864,15934
652,128,34928,14630,13415,15027
653,128,34011,14578,13518,15893
654,128,35212,14267,13796,14725
655,128,36049,13986,13746,14219
656,128,36336,13870,13793,14001
657,128,37570,13867,13198,13365
658,128,37203,14098,13335,13364
659,128,38198,14041,13246,12515
660,128,38423,14004,13164,12409
661,128,39502,14112,12691,11695
662,128,39082,14327,12812,11779
663,128,39705,14312,12938,11045
664,128,40043,14138,12658,11161
665,128,40387,14183,12611,10819
666,128,40028,14107,12688,11177
667,128,40849,13937,12820,10394
668,128,40023,13978,12825,11174
669,128,39378,13797,13048,11777
670,128,39856,13792,13090,11262
671,128,37211,15054,12783,12952
672,128,35609,15534,12943,13914
673,128,35290,15423,12939,14348
674,128,34640,15443,13153,14764
675,128,34014,15147,13355,15484
676,128,33599,14809,13556,16036
677,128,31087,15463,13453,17997
678,128,30823,15291,13770,18116
679,128,31228,15063,13871,17838
680,128,31185,15356,13925,17534
681,128,29970,14913,14205,18912
682,128,30288,14943,14132,18637
683,128,28006,15923,13653,20418
684,128,27707,15652,13630,21011
685,128,27508,15818,13635,21039
686,128,29667,15558,13783,18992
687,128,28578,15084,14357,19981
688,128,28412,15138,14411,20039
689,128,27763,15556,13737,20944
690,128,27521,15530,14018,20931
691,128,27175,15494,13889,21442
692,128,27254,15321,13737,21688
693,128,28752,15195,13897,20156
694,128,29426,15263,13914,19397
695,128,29698,15194,13822,19286
696,128,27895,15652,13894,20559
697,128,28076,15597,13922,20405
698,128,28351,15787,13833,20029
699,128,28180,15883,13779,20158
700,128,28635,15831,13689,19845
701,128,26082,15871,13753,22294
702,128,25107,15755,14065,23073
703,128,26527,15956,13812,21705
704,128,27514,16547,13384,20555
705,128,27239,16615,13302,20844
706,128,26518,16667,13127,21688
707,128,25857,16233,13298,22612
708,128,28105,15628,14002,20265
709,128,26800,14842,14586,21772
710,128,27228,15110,14596,21066
711,128,28041,14785,14989,20185
712,128,26649,14272,15551,21528
713,128,28482,13796,15662,20060
714,128,28044,13337,15860,20759
715,128,28027,13387,15928,20658
716,128,26932,13822,15253,21993
717,128,25419,14732,14736,23113
718,128,25759,14798,14978,22465
719,128,26635,14439,15342,21584
720,128,26824,14463,15600,21113
721,128,27202,14714,15436,20648
722,128,27407,14818,15355,20420
723,128,27567,14637,15301,20495
724,128,28715,14350,15489,19446
725,128,30373,13780,15572,18275
726,128,32855,13953,14886,16306
727,128,31271,14684,14890,17155
728,128,32741,14956,13996,16307
729,128,31941,14943,13959,17157
730,128,32590,14588,14323,16499
731,128,32701,14729,14205,16365
732,128,34198,14856,13771,15175
733,128,33031,14441,14221,16307
734,128,31062,14332,14367,18239
735,128,30520,14221,14729,18530
736,128,31577,14496,14312,17615
737,128,31213,14550,14540,17697
738,128,31626,14459,14232,17683
739,128,32853,14127,14300,16720
740,128,33467,14125,14281,16127
741,128,33802,14138,14176,15884
742,128,34326,14117,14380,15177
743,128,35635,13557,14486,14322
744,128,36461,13451,14226,13862
745,128,35572,13562,14344,14522
746,128,35139,13752,14194,14915
747,128,36583,13985,13837,13595
748,128,36807,14079,13498,13616
749,128,36110,14304,13768,13818
750,128,35889,14255,13914,13942
751,128,36327,13979,13710,13984
752,128,35739,14104,13883,14274
753,128,35336,14141,14029,14494
754,128,35365,13974,13845,14816
755,128,35294,14046,14030,14630
756,128,35036,13986,13841,15137
757,128,32981,14997,13459,16563
758,128,33259,14904,13461,16376
759,128,31835,14787,13976,17402
760,128,30222,14483,14386,18909
761,128,30300,14397,14548,18755
762,128,30258,14268,14384,19090
763,128,30398,14389,14475,18738
764,128,29168,14642,14374,19816
765,128,28485,14617,14267,20631
766,128,28205,14672,14415,20708
767,128,28418,14631,14314,20637
768,128,26697,15149,14284,21870
769,128,28019,15607,13751,20623
770,128,27656,15219,13743,21382
771,128,25349,14850,14228,23573
772,128,26332,15329,13795,22544
773,128,27877,15333,13929,20861
774,128,27315,15113,13794,21778
775,128,25744,14650,14548,23058
776,128,25416,14629,14400,23555
777,128,23683,13905,14822,25590
778,128,24259,13711,15143,24887
779,128,24615,13833,15067,24485
780,128,25155,13699,15201,23945
781,128,24693,13752,15155,24400
782,128,24467,13871,15296,24366
783,128,24391,13659,15220,24730
784,128,24569,13753,15416,24262
785,128,26578,14413,14660,22349
786,128,27401,14246,14707,21646
787,128,27572,14429,14733,21266
788,128,26916,14165,14431,22488
789,128,25354,14011,15175,23460
790,128,26813,13446,15455,22286
791,128,26981,13362,15677,21980
792,128,27420,13144,15389,22047
793,128,25374,13545,15529,23552
794,128,27746,13947,15128,21179
795,128,28591,13951,15168,20290
796,128,28202,13899,14944,20955
797,128,29291,13369,15473,19867
798,128,30150,13078,15656,19116
799,128,28405,13850,15379,20366
800,128,28740,13860,15279,20121
801,128,29350,13723,15615,19312
802,128,28746,13087,15685,20482
803,128,26253,13366,15828,22553
804,128,27047,13385,15999,21569
805,128,28429,13545,15283,20743
806,128,25739,13607,15620,23034
807,128,26848,13335,15428,22389
808,128,26134,13588,15728,22550
809,128,28295,13514,15339,20852
810,128,28592,13722,15311,20375
811,128,30173,13530,15465,18832
812,128,28503,13498,15683,20316
813,128,29037,13547,15644,19772
814,128,28711,13587,15593,20109
815,128,29474,13383,15893,19250
816,128,29328,13430,16082,19160
817,128,27374,13553,15729,21344
818,128,28506,13740,15707,20047
819,128,30305,14226,14884,18585
820,128,31648,13766,14933,17653
821,128,30684,13624,15118,18574
822,128,32095,13170,15251,17484
823,128,33627,13489,14755,16129
824,128,34869,13574,14642,14915
825,128,34917,13655,14770,14658
826,128,36122,13205,14733,13940
827,128,36641,13042,14641,13676
828,128,37968,12994,14606,12432
829,128,38012,12866,14415,12707
830,128,39232,12841,14301,11626
831,128,39068,12663,14205,12064
832,128,41444,12599,13892,10065
833,128,42586,12116,13675,9623
834,128,41206,12303,14075,10416
835,128,41972,12375,13808,9845
836,128,41281,12588,13885,10246
837,128,43960,13052,12179,8809
838,128,44386,12982,12066,8566
839,128,44662,12850,12129,8359
840,128,44946,12848,12094,8112
841,128,43255,12732,12662,9351
842,128,42047,13342,12675,9936
843,128,43896,12155,12855,9094
844,128,43048,12264,13333,9355
845,128,46135,11580,12821,7464
846,128,45399,11791,12995,7815
847,128,46749,11449,12754,7048
848,128,44062,12327,12928,8683
849,128,44450,12175,13167,8208
850,128,42203,12440,13212,10145
851,128,41201,12357,13808,10634
852,128,42038,12462,13427,10073
853,128,42556,12521,13349,9574
854,128,41835,12478,13325,10362
855,128,39640,13738,13206,11416
856,128,42479,13649,12150,9722
857,128,41955,13727,12348,9970
858,128,41551,13768,12537,10144
859,128,42787,13384,12326,9503
860,128,42704,13301,12611,9384
861,128,42818,13358,12568,9256
862,128,42414,13409,12610,9567
863,128,42399,13395,12580,9626
864,128,42413,13508,12512,9567
865,128,42396,13369,12489,9746
866,128,42300,13308,12637,9755
867,128,41465,13644,12876,10015
868,128,39662,13286,13763,11289
869,128,38273,14092,13240,12395
870,128,38894,14138,13069,11899
871,128,38576,14220,13001,12203
872,128,36255,15161,12585,13999
873,128,34117,14738,13699,15446
874,128,35977,14039,13853,14131
875,128,37673,13131,14467,12729
876,128,38970,12365,14546,12119
877,128,39189,12616,14492,11703
878,128,39652,12589,14321,11438
879,128,39253,12878,14052,11817
880,128,39187,12904,14505,11404
881,128,39448,12609,14202,11741
882,128,39638,12875,14209,11278
883,128,40543,12515,14337,10605
884,128,39939,12362,14289,11410
885,128,40604,12261,14470,10665
886,128,40512,12147,14517,10824
887,128,40169,12390,14853,10588
888,128,40093,12353,14674,10880
889,128,39809,12365,14746,11080
890,128,42402,12999,12968,9631
891,128,42082,13029,13277,9612
892,128,42334,13183,13067,9416
893,128,42968,13001,12901,9130
894,128,42683,13209,13078,9030
895,128,42689,13000,12974,9337
896,128,43157,12916,12829,9098
897,128,42707,12917,12825,9551
898,128,45332,13595,11355,7718
899,128,45529,13613,11297,7561
900,128,44579,13437,11719,8265
901,128,44577,13488,11802,8133
902,128,42103,13805,12473,9619
903,128,42679,13546,12194,9581
904,128,42645,13613,12276,9466
905,128,44809,13218,11901,8072
