round,seed,population_seed,strategy,count,percentage
56,990,721,defect,10903,0.14
56,990,721,exploitation,28531,0.37
57,990,721,coop,38646,0.5
57,990,721,defect,10964,0.14
57,990,721,exploitation,28390,0.36
58,990,721,coop,38036,0.49
58,990,721,defect,11389,0.15
58,990,721,exploitation,28575,0.37
59,990,721,coop,39720,0.51
59,990,721,defect,10487,0.13
59,990,721,exploitation,27793,0.36
60,990,721,coop,39987,0.51
60,990,721,defect,10338,0.13
60,990,721,exploitation,27675,0.35
61,990,721,coop,42443,0.54
61,990,721,defect,8894,0.11
61,990,721,exploitation,26663,0.34
62,990,721,coop,43256,0.55
62,990,721,defect,8153,0.1
62,990,721,exploitation,26591,0.34
63,990,721,coop,40561,0.52
63,990,721,defect,9702,0.12
63,990,721,exploitation,27737,0.36
64,990,721,coop,38313,0.49
64,990,721,defect,11109,0.14
64,990,721,exploitation,28578,0.37
65,990,721,coop,38198,0.49
65,990,721,defect,11078,0.14
65,990,721,exploitation,28724,0.37
66,990,721,coop,36504,0.47
66,990,721,defect,12037,0.15
66,990,721,exploitation,29459,0.38
67,990,721,coop,36284,0.47
67,990,721,defect,12245,0.16
67,990,721,exploitation,29471,0.38
68,990,721,coop,35714,0.46
68,990,721,defect,12639,0.16
68,990,721,exploitation,29647,0.38
69,990,721,coop,35053,0.45
69,990,721,defect,13304,0.17
69,990,721,exploitation,29643,0.38
70,990,721,coop,36943,0.47
70,990,721,defect,12525,0.16
70,990,721,exploitation,28532,0.37
71,990,721,coop,39425,0.51
71,990,721,defect,10989,0.14
71,990,721,exploitation,27586,0.35
72,990,721,coop,41763,0.54
72,990,721,defect,9438,0.12
72,990,721,exploitation,26799,0.34
73,990,721,coop,42218,0.54
73,990,721,defect,9168,0.12
73,990,721,exploitation,26614,0.34
74,990,721,coop,42813,0.55
74,990,721,defect,8535,0.11
74,990,721,exploitation,26652,0.34
75,990,721,coop,43130,0.55
75,990,721,defect,8427,0.11
75,990,721,exploitation,26443,0.34
76,990,721,coop,40485,0.52
76,990,721,defect,9625,0.12
