round,seed,defect,exploit_,exploit,coop
199,179,9081,11052,14808,43059
200,179,7877,10641,14663,44819
201,179,7984,10510,14710,44796
202,179,6568,10887,13210,47335
203,179,6590,10767,13256,47387
204,179,7006,11137,13236,46621
205,179,6560,11224,12982,47234
206,179,6033,10939,12768,48260
207,179,4704,11259,10913,51124
208,179,4647,11376,10883,51094
209,179,4771,11329,10868,51032
210,179,4583,11126,10718,51573
211,179,4770,11133,11025,51072
212,179,4804,11096,10964,51136
213,179,4513,11099,10917,51471
214,179,4673,10935,10890,51502
215,179,5021,11367,11067,50545
216,179,5095,11295,11279,50331
217,179,5149,11320,11108,50423
218,179,5295,11520,11314,49871
219,179,6817,12221,11993,46969
220,179,6589,12010,11962,47439
221,179,6950,12255,12231,46564
222,179,7741,12729,12293,45237
223,179,7654,12441,12150,45755
224,179,7117,12292,11932,46659
225,179,7034,12169,11917,46880
226,179,6544,11781,11913,47762
227,179,5287,10922,11535,50256
228,179,5383,11080,11842,49695
229,179,5485,11183,12015,49317
230,179,5370,11154,11862,49614
231,179,5335,10760,11674,50231
232,179,5407,10899,12234,49460
233,179,5594,11079,12211,49116
234,179,6008,11214,12422,48356
235,179,6241,11481,12444,47834
236,179,6288,11243,12308,48161
237,179,6004,11417,12322,48257
238,179,5990,11177,12383,48450
239,179,6235,11046,12406,48313
240,179,7322,11011,13826,45841
241,179,7987,11270,13905,44838
242,179,8277,11524,14036,44163
243,179,8630,11462,13887,44021
244,179,8256,11442,14068,44234
245,179,8165,11409,13985,44441
246,179,8050,11099,14052,44799
247,179,7761,10922,14064,45253
248,179,8284,11234,13868,44614
249,179,8198,10982,13847,44973
250,179,8415,11368,14044,44173
251,179,8481,11336,13964,44219
252,179,8345,11403,13881,44371
253,179,8924,11249,14306,43521
254,179,8866,11437,14308,43389
255,179,10528,11809,14696,40967
256,179,10830,11912,14712,40546
257,179,12378,12036,14952,38634
258,179,11107,11960,14847,40086
259,179,11214,12009,14869,39908
260,179,11308,12331,14775,39586
261,179,11503,12359,14720,39418
262,179,12264,12662,14788,38286
263,179,11460,12313,14791,39436
264,179,11397,12144,14752,39707
265,179,11740,12610,14876,38774
266,179,11257,12447,14817,39479
267,179,11370,12378,14712,39540
268,179,11494,12066,14673,39767
269,179,12139,12350,14923,38588
270,179,11733,12343,15085,38839
271,179,11984,12267,14868,38881
272,179,13771,11917,15798,36514
273,179,13760,11693,15703,36844
274,179,15120,11867,16346,34667
275,179,14433,11696,16340,35531
276,179,15339,12042,16103,34516
277,179,13652,12347,15656,36345
278,179,11641,11678,15493,39188
279,179,11396,11878,15381,39345
280,179,11636,11801,15426,39137
281,179,10900,11925,14906,40269
282,179,11372,12226,14925,39477
283,179,11234,12496,15034,39236
284,179,11337,12103,15043,39517
285,179,11231,12183,14940,39646
286,179,12546,12254,15014,38186
287,179,12079,12255,14495,39171
288,179,12563,12433,15047,37957
289,179,12494,12354,15033,38119
290,179,14326,13275,14700,35699
291,179,14651,13172,14568,35609
292,179,14650,13225,14790,35335
293,179,15423,13456,14524,34597
294,179,15661,13733,14489,34117
295,179,15463,13573,14682,34282
296,179,14675,13578,14623,35124
297,179,16441,13222,14895,33442
298,179,16231,13076,14953,33740
299,179,15658,13228,15262,33852
300,179,15791,12833,14917,34459
301,179,15834,13107,15217,33842
302,179,16026,13166,15000,33808
303,179,17199,13680,14977,32144
304,179,17467,13866,14527,32140
305,179,16384,14403,14120,33093
306,179,14879,14484,13719,34918
307,179,15193,14266,13786,34755
308,179,15159,14392,13976,34473
309,179,14461,14111,14039,35389
310,179,14835,14064,13775,35326
311,179,14576,13998,13887,35539
312,179,15720,14313,13938,34029
313,179,15816,14272,13955,33957
314,179,17323,14364,14231,32082
315,179,16976,14440,13820,32764
316,179,16717,14757,14062,32464
317,179,17065,14631,13916,32388
318,179,15818,14385,13662,34135
319,179,14630,13993,13773,35604
320,179,14452,13836,13817,35895
321,179,14628,14070,13942,35360
322,179,16413,13771,14398,33418
323,179,16602,13668,14630,33100
324,179,16464,13751,14687,33098
325,179,16726,13623,14618,33033
326,179,17583,13978,14465,31974
327,179,17037,14189,14583,32191
328,179,17465,14009,14457,32069
329,179,19507,14321,14353,29819
330,179,17997,14106,14796,31101
331,179,18072,14027,14881,31020
332,179,18176,13866,14621,31337
333,179,17450,13390,15213,31947
334,179,17295,13702,15158,31845
335,179,17586,13531,15369,31514
336,179,18236,13310,15338,31116
337,179,18579,13525,15128,30768
338,179,19804,13180,15981,29035
339,179,21994,13682,15108,27216
340,179,20810,13592,15375,28223
341,179,21312,13462,15379,27847
342,179,21071,13553,15552,27824
343,179,21088,13536,15473,27903
344,179,21824,13379,15615,27182
345,179,19960,13987,15067,28986
