,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,29915092,14890,0.384,0.191
1,1024,defect,20081260,12572,0.257,0.161
2,1024,exploitation,28003648,3394,0.359,0.043
3000,128,coop,31731550,6916,0.407,0.089
3001,128,defect,17208385,6661,0.221,0.085
3002,128,exploitation,29060065,1743,0.372,0.022
6000,16,coop,19430092,6614,0.249,0.085
6001,16,defect,29196093,7937,0.374,0.102
6002,16,exploitation,29373815,2328,0.377,0.03
9000,256,coop,17595679,6176,0.225,0.079
9001,256,defect,31889869,7709,0.409,0.099
9002,256,exploitation,28514452,1920,0.366,0.025
12000,2,coop,30957351,7930,0.397,0.102
12001,2,defect,18813793,7868,0.241,0.101
12002,2,exploitation,28228856,1073,0.362,0.014
15000,32,coop,21273584,6511,0.273,0.084
15001,32,defect,28599262,7218,0.367,0.093
15002,32,exploitation,28127154,937,0.361,0.012
18000,4,coop,11180650,10259,0.143,0.131
18001,4,defect,41856291,13519,0.537,0.173
18002,4,exploitation,24963059,3980,0.32,0.051
21000,512,coop,36403542,6287,0.467,0.081
21001,512,defect,13753101,4721,0.176,0.061
21002,512,exploitation,27843357,1782,0.357,0.023
24000,64,coop,22567833,7385,0.289,0.095
24001,64,defect,26247423,7575,0.337,0.097
24002,64,exploitation,29184744,1525,0.374,0.02
27000,8,coop,23088581,6665,0.296,0.086
27001,8,defect,25261573,7382,0.324,0.095
27002,8,exploitation,29649846,1506,0.38,0.019
