round,seed,strategy,count,percentage
60,1024,coop,36475,0.47
60,1024,defect,13143,0.17
60,1024,exploitation,28382,0.36
61,1024,coop,35618,0.46
61,1024,defect,13763,0.18
61,1024,exploitation,28619,0.37
62,1024,coop,35627,0.46
62,1024,defect,13779,0.18
62,1024,exploitation,28594,0.37
63,1024,coop,37291,0.48
63,1024,defect,12914,0.17
63,1024,exploitation,27795,0.36
64,1024,coop,39301,0.5
64,1024,defect,11550,0.15
64,1024,exploitation,27149,0.35
65,1024,coop,39102,0.5
65,1024,defect,11676,0.15
65,1024,exploitation,27222,0.35
66,1024,coop,37032,0.47
66,1024,defect,13230,0.17
66,1024,exploitation,27738,0.36
67,1024,coop,34493,0.44
67,1024,defect,15115,0.19
67,1024,exploitation,28392,0.36
68,1024,coop,35273,0.45
68,1024,defect,14387,0.18
68,1024,exploitation,28340,0.36
69,1024,coop,32765,0.42
69,1024,defect,16156,0.21
69,1024,exploitation,29079,0.37
70,1024,coop,32064,0.41
70,1024,defect,16859,0.22
70,1024,exploitation,29077,0.37
71,1024,coop,31745,0.41
71,1024,defect,17209,0.22
71,1024,exploitation,29046,0.37
72,1024,coop,29461,0.38
72,1024,defect,19367,0.25
72,1024,exploitation,29172,0.37
73,1024,coop,30625,0.39
73,1024,defect,18365,0.24
73,1024,exploitation,29010,0.37
74,1024,coop,29608,0.38
74,1024,defect,19200,0.25
74,1024,exploitation,29192,0.37
75,1024,coop,29970,0.38
75,1024,defect,18654,0.24
75,1024,exploitation,29376,0.38
76,1024,coop,30438,0.39
76,1024,defect,18532,0.24
76,1024,exploitation,29030,0.37
77,1024,coop,30821,0.4
77,1024,defect,17698,0.23
77,1024,exploitation,29481,0.38
78,1024,coop,28876,0.37
78,1024,defect,19529,0.25
78,1024,exploitation,29595,0.38
79,1024,coop,27869,0.36
79,1024,defect,20189,0.26
79,1024,exploitation,29942,0.38
80,1024,coop,27983,0.36
80,1024,defect,19896,0.26
80,1024,exploitation,30121,0.39
81,1024,coop,25800,0.33
81,1024,defect,21883,0.28
81,1024,exploitation,30317,0.39
82,1024,coop,25644,0.33
