round,seed,coop,exploit,exploit_,defect
199,8,26392,14884,15918,20806
200,8,26533,14896,15899,20672
201,8,26677,14591,15581,21151
202,8,26455,14766,15783,20996
203,8,26313,14910,15796,20981
204,8,26730,14673,15639,20958
205,8,25110,15141,15398,22351
206,8,27458,15099,15809,19634
207,8,27710,15142,15762,19386
208,8,28674,15346,16235,17745
209,8,28363,15383,16281,17973
210,8,28380,15211,16170,18239
211,8,28880,15270,16210,17640
212,8,29903,14906,15941,17250
213,8,27915,15367,16369,18349
214,8,28326,15142,16163,18369
215,8,27801,15498,16368,18333
216,8,27243,15467,16503,18787
217,8,27268,15641,16679,18412
218,8,28129,16079,16730,17062
219,8,28602,16056,16727,16615
220,8,27850,16191,16884,17075
221,8,28548,15798,16583,17071
222,8,29320,15684,16581,16415
223,8,28859,15959,16639,16543
224,8,30192,15299,16247,16262
225,8,30178,15675,16651,15496
226,8,31015,16218,16839,13928
227,8,30664,16216,16642,14478
228,8,30373,16173,16456,14998
229,8,30923,16092,16523,14462
230,8,30489,16046,16459,15006
231,8,29681,16329,16799,15191
232,8,29200,16476,16768,15556
233,8,29399,16463,16703,15435
234,8,29681,16552,16756,15011
235,8,29991,16212,16635,15162
236,8,32063,16929,16272,12736
237,8,32981,16632,16083,12304
238,8,32735,16558,16022,12685
239,8,32435,16753,16157,12655
240,8,31870,16964,16331,12835
241,8,30956,16921,16498,13625
242,8,30551,17182,16567,13700
243,8,32471,16757,15952,12820
244,8,32299,16973,16240,12488
245,8,30912,16510,16230,14348
246,8,30491,16421,16329,14759
247,8,30650,16344,16064,14942
248,8,30380,16480,16251,14889
249,8,31551,16109,15964,14376
250,8,30760,16468,16238,14534
251,8,30502,16431,16233,14834
252,8,31056,16241,16071,14632
253,8,30091,16588,16311,15010
254,8,29555,16687,16369,15389
255,8,29882,16521,16144,15453
256,8,29677,16571,16191,15561
257,8,30111,16482,16122,15285
258,8,29476,16680,16307,15537
259,8,29869,16638,16233,15260
260,8,29459,16746,16272,15523
261,8,30340,16325,16018,15317
262,8,30068,16474,16090,15368
263,8,29772,16467,16200,15561
264,8,30538,16255,15957,15250
265,8,31050,16345,16035,14570
266,8,31203,16280,15957,14560
267,8,31310,16392,15960,14338
268,8,31406,16366,15877,14351
269,8,31495,16370,16085,14050
270,8,30558,16328,16036,15078
271,8,29395,16751,16522,15332
272,8,31014,16492,16559,13935
273,8,30271,16872,16773,14084
274,8,29616,17077,16768,14539
275,8,29763,17119,16755,14363
276,8,30799,16903,16558,13740
277,8,30357,16787,16604,14252
278,8,30758,16664,16398,14180
279,8,30587,16660,16504,14249
280,8,31232,16583,16258,13927
281,8,31168,16520,16503,13809
282,8,31174,16517,16330,13979
283,8,29393,16123,16830,15654
284,8,29441,16039,16827,15693
285,8,30768,16632,16609,13991
286,8,29886,16899,16786,14429
287,8,29153,17054,17033,14760
288,8,28984,17129,17178,14709
289,8,30360,16499,16670,14471
290,8,30660,16549,16778,14013
291,8,29895,16752,17070,14283
292,8,31112,16301,16653,13934
293,8,31439,16212,16604,13745
294,8,31922,16037,16558,13483
295,8,30639,16256,16804,14301
296,8,31158,15961,16675,14206
297,8,32017,15815,16477,13691
298,8,31738,16044,16841,13377
299,8,32677,15838,16711,12774
300,8,31985,16116,16847,13052
301,8,31891,16034,16799,13276
302,8,31094,16347,17017,13542
303,8,30440,16681,17061,13818
304,8,29736,16613,17082,14569
305,8,28882,17026,17422,14670
306,8,28818,16743,17097,15342
307,8,27445,16384,17243,16928
308,8,28619,16254,17063,16064
309,8,28846,16174,16860,16120
310,8,28011,16250,17088,16651
311,8,28489,16314,17206,15991
312,8,27287,16153,16747,17813
313,8,27325,15998,16563,18114
314,8,26106,15570,16510,19814
315,8,26564,15525,16515,19396
316,8,26472,15386,16470,19672
317,8,26029,15594,16738,19639
318,8,26645,15570,16497,19288
319,8,27093,15462,16581,18864
320,8,26769,15550,16530,19151
321,8,26332,15436,16445,19787
322,8,28750,15819,16240,17191
323,8,28838,15587,16201,17374
324,8,28813,15799,16393,16995
325,8,27057,16195,16770,17978
326,8,28529,15427,16535,17509
327,8,28859,15599,16573,16969
328,8,28755,15414,16545,17286
329,8,30013,15004,16489,16494
330,8,30388,14857,16205,16550
331,8,28653,15385,16504,17458
332,8,27478,15425,16331,18766
333,8,28454,14919,16050,18577
334,8,27967,15228,16333,18472
335,8,30512,15015,16365,16108
336,8,30716,14997,16476,15811
337,8,32784,14963,16551,13702
338,8,32053,15219,16847,13881
339,8,32032,15086,16602,14280
340,8,31261,15205,16804,14730
341,8,31482,15277,16849,14392
342,8,30579,15255,16605,15561
343,8,31371,16229,17113,13287
344,8,31730,16074,16954,13242
345,8,33089,15467,16818,12626
346,8,35105,14822,16405,11668
347,8,34379,15036,16792,11793
348,8,35263,15018,16383,11336
349,8,36246,14429,16258,11067
350,8,35975,14305,16050,11670
351,8,36486,14636,16132,10746
352,8,36915,14271,15892,10922
353,8,36726,14251,16026,10997
354,8,36393,14306,16071,11230
355,8,33731,14965,15756,13548
356,8,32178,15035,16060,14727
357,8,31509,14991,16096,15404
358,8,31359,15171,16231,15239
359,8,30606,15158,15986,16250
360,8,30687,15228,16225,15860
361,8,29105,15110,16140,17645
362,8,29392,14958,15801,17849
363,8,28130,15276,16029,18565
364,8,28670,15479,16192,17659
365,8,28131,15297,16060,18512
366,8,28179,15277,16074,18470
367,8,28094,15500,16179,18227
368,8,28827,15181,15818,18174
369,8,27797,15383,16050,18770
370,8,27500,14863,16087,19550
371,8,27818,14671,15981,19530
372,8,28354,14601,15812,19233
373,8,27361,15112,16127,19400
374,8,27630,14828,15738,19804
375,8,26043,15551,15980,20426
376,8,26411,15537,15969,20083
377,8,26795,15283,15877,20045
378,8,25805,14778,15875,21542
379,8,27474,14527,15206,20793
380,8,28616,15043,15552,18789
381,8,27269,14841,15284,20606
382,8,27266,14924,15434,20376
383,8,28323,14951,15337,19389
384,8,29146,14832,15530,18492
385,8,29670,14819,15536,17975
386,8,29351,14813,15534,18302
387,8,29450,14628,15347,18575
388,8,28039,14924,15865,19172
389,8,28418,14780,15842,18960
390,8,28072,14841,15651,19436
391,8,28429,14921,15861,18789
392,8,29535,15415,15667,17383
393,8,29209,15460,15676,17655
394,8,28914,15578,15628,17880
395,8,29517,15444,15306,17733
396,8,30158,15202,15163,17477
397,8,29490,15427,15417,17666
398,8,29605,15473,15419,17503
399,8,26967,15230,15887,19916
400,8,25814,15064,15794,21328
401,8,26501,14800,15371,21328
402,8,24590,14960,15207,23243
403,8,23001,14839,15128,25032
404,8,23969,14879,15296,23856
405,8,24509,14498,14918,24075
406,8,23917,14646,15003,24434
407,8,24184,14628,14886,24302
408,8,21909,13865,15533,26693
409,8,23020,13834,15520,25626
410,8,23395,14224,15881,24500
411,8,24605,14054,15483,23858
412,8,24037,14277,15532,24154
413,8,22842,14155,15423,25580
414,8,23257,13943,15060,25740
415,8,22593,14226,15105,26076
416,8,22970,14165,15494,25371
417,8,22339,14055,15132,26474
418,8,22581,14144,15358,25917
419,8,22902,13841,15090,26167
420,8,22441,14123,15222,26214
421,8,22443,14130,15240,26187
422,8,23057,14089,15277,25577
423,8,22516,14100,15210,26174
424,8,20342,13755,15312,28591
425,8,19979,13823,15533,28665
426,8,19223,13478,15358,29941
427,8,20196,13223,15031,29550
428,8,19615,13448,15156,29781
429,8,18513,13629,14742,31116
430,8,19311,13524,14731,30434
431,8,21112,14011,14424,28453
432,8,21412,13975,14684,27929
433,8,21205,13884,14696,28215
434,8,21175,13852,14625,28348
435,8,21439,13884,14651,28026
436,8,19926,13560,14610,29904
437,8,18631,13323,14703,31343
438,8,17785,13125,14833,32257
439,8,18376,12985,14896,31743
440,8,19064,13218,15152,30566
441,8,18367,13127,14666,31840
442,8,17792,13148,14738,32322
443,8,19825,13707,14441,30027
444,8,20291,13808,14534,29367
445,8,21793,14385,14241,27581
446,8,20267,13897,14570,29266
447,8,19604,14098,14461,29837
448,8,19781,13960,14374,29885
449,8,19791,13967,14326,29916
450,8,19906,13969,14370,29755
451,8,21279,14519,14075,28127
452,8,20183,14645,13691,29481
453,8,20344,14670,13792,29194
454,8,18729,14514,13365,31392
455,8,19137,14542,13361,30960
456,8,19956,15181,13192,29671
457,8,21529,14937,13596,27938
458,8,21642,14919,13643,27796
459,8,20147,14243,13776,29834
460,8,21848,14821,13512,27819
461,8,21622,14932,13589,27857
462,8,21608,14870,13603,27919
463,8,20930,15264,13747,28059
464,8,21378,15308,13408,27906
465,8,21624,15210,13422,27744
