round,seed,exploit,defect,exploit_,coop
199,612,13221,10103,13174,41502
200,612,13080,9871,13263,41786
201,612,13379,9892,13495,41234
202,612,13140,9782,13120,41958
203,612,13263,9747,13104,41886
204,612,13194,9713,13114,41979
205,612,12967,9590,12914,42529
206,612,13542,7895,11713,44850
207,612,13635,7894,11731,44740
208,612,13511,8155,11604,44730
209,612,13751,7971,11449,44829
210,612,14155,9145,11852,42848
211,612,13972,8947,12106,42975
212,612,13465,7871,11454,45210
213,612,13682,7608,11765,44945
214,612,13630,7689,11565,45116
215,612,13443,7860,11663,45034
216,612,13677,7549,11361,45413
217,612,13518,7752,11301,45429
218,612,13624,7860,11624,44892
219,612,12871,6471,11749,46909
220,612,12817,6780,11583,46820
221,612,13043,6956,11797,46204
222,612,13421,8564,12035,43980
223,612,13447,8401,11864,44288
224,612,13470,8341,12070,44119
225,612,13435,8777,12268,43520
226,612,13655,7290,11482,45573
227,612,14015,7729,11624,44632
228,612,13734,7289,11434,45543
229,612,13924,7396,11440,45240
230,612,13132,5691,11323,47854
231,612,12918,5891,11400,47791
232,612,13012,5902,11540,47546
233,612,12846,4278,11278,49598
234,612,12534,4319,11231,49916
235,612,12441,4171,11116,50272
236,612,12610,4448,11350,49592
237,612,12664,4486,11287,49563
238,612,12682,4388,11483,49447
239,612,12730,4500,11300,49470
240,612,12711,4414,11381,49494
241,612,12872,4559,11497,49072
242,612,12656,4634,11485,49225
243,612,12458,4240,11302,50000
244,612,12437,4138,10874,50551
245,612,12306,4097,10965,50632
246,612,12521,4074,11110,50295
247,612,12595,5614,11554,48237
248,612,11405,4141,11922,50532
249,612,11364,4252,12030,50354
250,612,11225,4008,11746,51021
251,612,11254,3981,11398,51367
252,612,11377,3966,11623,51034
253,612,11242,3841,11677,51240
254,612,11059,3810,11528,51603
255,612,11043,3809,11395,51753
256,612,10991,3664,11134,52211
257,612,10651,5231,12837,49281
258,612,10564,5103,12654,49679
259,612,10433,5131,12496,49940
260,612,10454,4994,12652,49900
261,612,10349,4697,12769,50185
262,612,10353,4881,12655,50111
263,612,10223,5011,12693,50073
264,612,10461,4925,12894,49720
265,612,10205,4826,12633,50336
266,612,10732,5112,12741,49415
267,612,10610,5112,12747,49531
268,612,10603,5266,12857,49274
269,612,11477,6692,12972,46859
270,612,11578,6413,12813,47196
271,612,11430,6440,12626,47504
272,612,11710,6568,12715,47007
273,612,12774,7988,12494,44744
274,612,12596,7763,12431,45210
275,612,14240,9043,12162,42555
276,612,14177,8900,12148,42775
277,612,14099,8990,11994,42917
278,612,14007,9107,11948,42938
279,612,13963,10860,13287,39890
280,612,14052,11286,13190,39472
281,612,13981,11629,13080,39310
282,612,13754,10322,12582,41342
283,612,13870,9924,12586,41620
284,612,13465,9978,12902,41655
285,612,13537,10090,12829,41544
286,612,13536,9825,12889,41750
287,612,13605,9989,12986,41420
288,612,13421,9594,12932,42053
289,612,14520,10875,12417,40188
290,612,14431,11056,12304,40209
291,612,14871,9341,11307,42481
292,612,14817,9465,11198,42520
293,612,14751,9228,11191,42830
294,612,14912,8966,10911,43211
