round,seed,strategy,count,percentage
60,1024,coop,24695,0.32
60,1024,defect,23197,0.3
60,1024,exploitation,30108,0.39
61,1024,coop,24450,0.31
61,1024,defect,23688,0.3
61,1024,exploitation,29862,0.38
62,1024,coop,24538,0.31
62,1024,defect,23793,0.31
62,1024,exploitation,29669,0.38
63,1024,coop,25860,0.33
63,1024,defect,22495,0.29
63,1024,exploitation,29645,0.38
64,1024,coop,25583,0.33
64,1024,defect,22583,0.29
64,1024,exploitation,29834,0.38
65,1024,coop,27659,0.35
65,1024,defect,20710,0.27
65,1024,exploitation,29631,0.38
66,1024,coop,27513,0.35
66,1024,defect,21216,0.27
66,1024,exploitation,29271,0.38
67,1024,coop,27089,0.35
67,1024,defect,21630,0.28
67,1024,exploitation,29281,0.38
68,1024,coop,29645,0.38
68,1024,defect,19284,0.25
68,1024,exploitation,29071,0.37
69,1024,coop,29287,0.38
69,1024,defect,19489,0.25
69,1024,exploitation,29224,0.37
70,1024,coop,28568,0.37
70,1024,defect,19991,0.26
70,1024,exploitation,29441,0.38
71,1024,coop,28467,0.36
71,1024,defect,20331,0.26
71,1024,exploitation,29202,0.37
72,1024,coop,28237,0.36
72,1024,defect,20827,0.27
72,1024,exploitation,28936,0.37
73,1024,coop,29379,0.38
73,1024,defect,19408,0.25
73,1024,exploitation,29213,0.37
74,1024,coop,30410,0.39
74,1024,defect,18654,0.24
74,1024,exploitation,28936,0.37
75,1024,coop,30885,0.4
75,1024,defect,18397,0.24
75,1024,exploitation,28718,0.37
76,1024,coop,30984,0.4
76,1024,defect,18376,0.24
76,1024,exploitation,28640,0.37
77,1024,coop,32635,0.42
77,1024,defect,16850,0.22
77,1024,exploitation,28515,0.37
78,1024,coop,30473,0.39
78,1024,defect,18643,0.24
78,1024,exploitation,28884,0.37
79,1024,coop,30515,0.39
79,1024,defect,18726,0.24
79,1024,exploitation,28759,0.37
80,1024,coop,30791,0.39
80,1024,defect,18655,0.24
80,1024,exploitation,28554,0.37
81,1024,coop,29557,0.38
81,1024,defect,19668,0.25
81,1024,exploitation,28775,0.37
82,1024,coop,30068,0.39
82,1024,defect,19106,0.24
82,1024,exploitation,28826,0.37
83,1024,coop,29981,0.38
83,1024,defect,19270,0.25
83,1024,exploitation,28749,0.37
84,1024,coop,28803,0.37
84,1024,defect,20150,0.26
84,1024,exploitation,29047,0.37
85,1024,coop,29822,0.38
85,1024,defect,19395,0.25
85,1024,exploitation,28783,0.37
86,1024,coop,29713,0.38
86,1024,defect,19513,0.25
86,1024,exploitation,28774,0.37
87,1024,coop,29735,0.38
87,1024,defect,19106,0.24
87,1024,exploitation,29159,0.37
88,1024,coop,29058,0.37
88,1024,defect,19563,0.25
88,1024,exploitation,29379,0.38
89,1024,coop,27366,0.35
89,1024,defect,21854,0.28
89,1024,exploitation,28780,0.37
90,1024,coop,27733,0.36
90,1024,defect,21311,0.27
90,1024,exploitation,28956,0.37
91,1024,coop,25203,0.32
91,1024,defect,23515,0.3
91,1024,exploitation,29282,0.38
92,1024,coop,26529,0.34
92,1024,defect,22474,0.29
92,1024,exploitation,28997,0.37
93,1024,coop,24431,0.31
93,1024,defect,24602,0.32
93,1024,exploitation,28967,0.37
94,1024,coop,24768,0.32
94,1024,defect,24286,0.31
94,1024,exploitation,28946,0.37
95,1024,coop,22481,0.29
95,1024,defect,26807,0.34
95,1024,exploitation,28712,0.37
96,1024,coop,22448,0.29
96,1024,defect,26489,0.34
96,1024,exploitation,29063,0.37
97,1024,coop,22152,0.28
97,1024,defect,26780,0.34
97,1024,exploitation,29068,0.37
98,1024,coop,22946,0.29
98,1024,defect,26029,0.33
98,1024,exploitation,29025,0.37
99,1024,coop,22172,0.28
99,1024,defect,27308,0.35
99,1024,exploitation,28520,0.37
100,1024,coop,23255,0.3
100,1024,defect,26105,0.33
100,1024,exploitation,28640,0.37
101,1024,coop,23877,0.31
101,1024,defect,25036,0.32
101,1024,exploitation,29087,0.37
102,1024,coop,25273,0.32
102,1024,defect,23959,0.31
102,1024,exploitation,28768,0.37
103,1024,coop,23845,0.31
103,1024,defect,25281,0.32
103,1024,exploitation,28874,0.37
104,1024,coop,23846,0.31
104,1024,defect,25405,0.33
104,1024,exploitation,28749,0.37
105,1024,coop,23311,0.3
105,1024,defect,25896,0.33
105,1024,exploitation,28793,0.37
106,1024,coop,23422,0.3
106,1024,defect,25677,0.33
106,1024,exploitation,28901,0.37
107,1024,coop,25052,0.32
107,1024,defect,24159,0.31
107,1024,exploitation,28789,0.37
108,1024,coop,26328,0.34
108,1024,defect,22764,0.29
108,1024,exploitation,28908,0.37
109,1024,coop,25922,0.33
109,1024,defect,23185,0.3
109,1024,exploitation,28893,0.37
110,1024,coop,26219,0.34
