,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,21624269,10208,0.277,0.131
1,1024,defect,28235732,11148,0.362,0.143
2,1024,exploitation,28139999,2428,0.361,0.031
3000,128,coop,43157332,5876,0.553,0.075
3001,128,defect,8793464,4161,0.113,0.053
3002,128,exploitation,26049204,2049,0.334,0.026
6000,16,coop,20112795,12592,0.258,0.161
6001,16,defect,28605316,13333,0.367,0.171
6002,16,exploitation,29281889,3313,0.375,0.042
9000,256,coop,22916996,7290,0.294,0.094
9001,256,defect,25963010,8506,0.333,0.109
9002,256,exploitation,29119994,1640,0.373,0.021
12000,2,coop,27915128,10857,0.358,0.139
12001,2,defect,22178787,10803,0.284,0.139
12002,2,exploitation,27906085,1846,0.358,0.024
15000,32,coop,28138716,8500,0.361,0.109
15001,32,defect,21498349,8202,0.275,0.105
15002,32,exploitation,28362935,1210,0.364,0.016
18000,4,coop,26173618,8171,0.335,0.105
18001,4,defect,23512112,7933,0.302,0.102
18002,4,exploitation,28314270,963,0.363,0.013
21000,512,coop,19273326,9410,0.247,0.121
21001,512,defect,31171800,10436,0.4,0.134
21002,512,exploitation,27554874,1903,0.353,0.025
24000,64,coop,23217358,6572,0.298,0.084
24001,64,defect,26181279,6596,0.336,0.085
24002,64,exploitation,28601363,734,0.367,0.01
27000,8,coop,30082637,5922,0.386,0.076
27001,8,defect,18367151,5342,0.235,0.068
27002,8,exploitation,29550212,1844,0.379,0.024
