,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,38189770,5678,0.49,0.073
1,1024,defect,12069104,4416,0.155,0.057
2,1024,exploitation,27741126,1751,0.356,0.023
3000,128,coop,43027872,9615,0.552,0.123
3001,128,defect,9556178,5769,0.123,0.074
3002,128,exploitation,25415950,3968,0.326,0.051
6000,16,coop,29468565,10763,0.378,0.138
6001,16,defect,20196624,9945,0.259,0.128
6002,16,exploitation,28334811,1920,0.363,0.025
9000,256,coop,15851479,7068,0.203,0.091
9001,256,defect,33467407,9413,0.429,0.121
9002,256,exploitation,28681114,3203,0.368,0.041
12000,2,coop,32184748,6397,0.413,0.082
12001,2,defect,16601510,5586,0.213,0.072
12002,2,exploitation,29213742,1618,0.374,0.021
15000,32,coop,15032063,7703,0.192,0.099
15001,32,defect,35578416,9231,0.456,0.118
15002,32,exploitation,27389521,2029,0.351,0.026
18000,4,coop,22385018,11702,0.287,0.15
18001,4,defect,28066638,12260,0.36,0.157
18002,4,exploitation,27548344,2206,0.353,0.028
21000,512,coop,24163907,8858,0.31,0.114
21001,512,defect,23856244,9472,0.306,0.121
21002,512,exploitation,29979849,3230,0.384,0.041
24000,64,coop,24379299,11029,0.313,0.141
24001,64,defect,25183528,11513,0.323,0.148
24002,64,exploitation,28437173,2511,0.365,0.032
27000,8,coop,25175866,6552,0.323,0.084
27001,8,defect,24021549,6470,0.308,0.083
27002,8,exploitation,28802585,820,0.369,0.011
