round,seed,coop,exploit,exploit_,defect
394,1024,41357,13526,12995,10122
395,1024,41658,13564,12746,10032
396,1024,41593,13711,12859,9837
397,1024,41792,13526,12777,9905
398,1024,40680,14059,12803,10458
399,1024,41488,13654,12835,10023
400,1024,42271,13648,12518,9563
401,1024,42386,13575,12410,9629
402,1024,44456,13928,11547,8069
403,1024,44375,13889,11552,8184
404,1024,44209,13940,11515,8336
405,1024,44290,13844,11609,8257
406,1024,44120,13964,11671,8245
407,1024,46899,12763,11502,6836
408,1024,46505,12941,11752,6802
409,1024,44254,13649,11920,8177
410,1024,43935,13688,11981,8396
411,1024,44627,13355,11830,8188
412,1024,44361,13741,11818,8080
413,1024,41710,13633,12656,10001
414,1024,42100,13444,12698,9758
415,1024,41911,13532,12859,9698
416,1024,41943,13690,12768,9599
417,1024,42239,13377,12693,9691
418,1024,42960,13583,12365,9092
419,1024,42691,13509,12541,9259
420,1024,43099,13771,12316,8814
421,1024,43275,13642,12327,8756
422,1024,43006,13369,12434,9191
423,1024,42038,13631,12839,9492
424,1024,41713,13804,12710,9773
425,1024,42309,13678,12422,9591
426,1024,42781,13459,12518,9242
427,1024,40136,14582,12486,10796
428,1024,39940,14655,12490,10915
429,1024,38024,15842,11858,12276
430,1024,38435,15609,11674,12282
431,1024,37475,15900,11935,12690
432,1024,37782,15652,11934,12632
433,1024,39934,15201,11658,11207
434,1024,39632,15327,11778,11263
435,1024,39497,15186,11881,11436
436,1024,39553,15179,11817,11451
437,1024,40079,15033,11851,11037
438,1024,40306,14847,12111,10736
439,1024,40203,14795,12227,10775
440,1024,38238,14652,12982,12128
441,1024,38758,14713,12971,11558
442,1024,40645,14796,12143,10416
443,1024,38776,15341,12327,11556
444,1024,36771,15312,13054,12863
445,1024,36911,15503,13136,12450
446,1024,37427,15354,12935,12284
447,1024,36905,15083,13044,12968
448,1024,34745,15215,13963,14077
449,1024,33896,15087,14198,14819
450,1024,32927,14786,14745,15542
451,1024,32920,14979,14593,15508
452,1024,30710,14430,15645,17215
453,1024,31066,14471,15668,16795
454,1024,28977,15677,15396,17950
455,1024,29225,15390,15369,18016
456,1024,27650,15792,15573,18985
457,1024,27783,16033,15549,18635
458,1024,28503,16682,15404,17411
459,1024,27807,16100,15537,18556
460,1024,27554,15851,15604,18991
461,1024,29054,16227,14998,17721
462,1024,29030,16075,14637,18258
463,1024,27544,15405,15420,19631
464,1024,28865,15106,15462,18567
465,1024,29272,15405,15812,17511
466,1024,29822,15776,15613,16789
467,1024,29721,15688,15651,16940
468,1024,32125,16335,14231,15309
469,1024,31093,16205,14385,16317
470,1024,31639,16142,14304,15915
471,1024,33459,16045,13738,14758
472,1024,33017,16028,13734,15221
473,1024,35514,15462,13500,13524
474,1024,33471,15422,14271,14836
475,1024,33054,15528,14229,15189
476,1024,32678,15654,13950,15718
477,1024,32728,15704,14055,15513
478,1024,32782,15602,13893,15723
479,1024,32886,15529,13812,15773
480,1024,34618,15714,13264,14404
481,1024,35233,15868,12902,13997
482,1024,36919,15355,13012,12714
483,1024,37329,15183,13090,12398
484,1024,37024,15376,13190,12410
485,1024,37213,15183,13161,12443
486,1024,39404,15149,12206,11241
487,1024,39351,15248,12317,11084
488,1024,39613,15188,12372,10827
489,1024,39779,15104,12328,10789
490,1024,38881,15356,12415,11348
491,1024,38439,15153,12609,11799
492,1024,37858,15286,12665,12191
493,1024,37537,14753,12966,12744
494,1024,37248,14900,13067,12785
495,1024,37688,14772,12902,12638
496,1024,35581,14845,13391,14183
497,1024,35262,14675,13647,14416
498,1024,35334,14790,13355,14521
499,1024,35677,15230,13167,13926
500,1024,36280,15201,13030,13489
501,1024,36122,15154,13201,13523
502,1024,34548,15469,13258,14725
503,1024,34361,15607,13502,14530
504,1024,35106,15255,13551,14088
505,1024,34894,15380,13593,14133
506,1024,32922,16608,12926,15544
507,1024,32631,16548,12968,15853
508,1024,34888,15405,13652,14055
509,1024,34899,15458,13764,13879
510,1024,36672,15059,13425,12844
511,1024,36948,15020,13351,12681
512,1024,36740,15059,13452,12749
513,1024,37271,14763,13427,12539
514,1024,39100,15180,12565,11155
515,1024,38725,14772,12835,11668
516,1024,38328,14836,12971,11865
