round,seed,defect,exploit_,exploit,coop
1,411,19455,12244,17208,29093
2,411,21750,13046,16365,26839
3,411,21052,13109,16132,27707
4,411,19204,12297,16853,29646
5,411,20048,12531,16415,29006
6,411,19142,13148,16359,29351
7,411,18828,13022,16355,29795
8,411,17218,12517,16273,31992
9,411,17508,12385,16677,31430
10,411,16975,11946,16923,32156
11,411,16987,11767,16906,32340
12,411,16039,12006,16983,32972
13,411,17317,13125,16515,31043
14,411,17408,13093,16324,31175
15,411,17318,13023,16257,31402
16,411,16985,13022,16396,31597
17,411,17145,13112,16467,31276
18,411,18091,13497,16349,30063
19,411,20193,14683,15616,27508
20,411,20540,14721,15607,27132
21,411,20660,14501,15448,27391
22,411,20727,14438,15407,27428
23,411,22878,14195,15704,25223
24,411,22344,14325,15836,25495
25,411,21138,13789,15996,27077
26,411,19921,14080,15477,28522
27,411,21104,14347,15546,27003
28,411,22733,14763,15272,25232
29,411,23808,15264,15077,23851
30,411,25296,15579,15004,22121
31,411,25642,15186,15254,21918
32,411,23871,15175,15268,23686
33,411,23897,15355,15200,23548
34,411,23605,15402,15286,23707
35,411,24627,15127,15195,23051
36,411,24808,14891,15079,23222
37,411,24948,14905,15159,22988
38,411,25721,14592,15705,21982
39,411,26778,14975,15478,20769
40,411,25358,15786,14756,22100
41,411,24092,14973,15307,23628
42,411,23412,14832,15765,23991
43,411,24579,14364,16407,22650
44,411,26651,14920,15611,20818
45,411,28947,15970,14279,18804
46,411,28864,15806,14214,19116
47,411,27439,15371,14666,20524
48,411,25929,14829,15540,21702
49,411,27433,14042,15605,20920
50,411,28172,13719,16126,19983
51,411,29325,13744,15909,19022
52,411,27959,13595,15676,20770
53,411,26594,13884,16025,21497
54,411,25858,13241,16131,22770
55,411,25210,13510,15994,23286
56,411,25280,13565,16119,23036
57,411,25197,13562,16337,22904
58,411,26856,13423,16351,21370
59,411,26823,13386,16467,21324
60,411,25367,12564,17114,22955
61,411,24024,12737,16833,24406
62,411,24362,12935,16594,24109
63,411,26566,13654,15615,22165
64,411,26559,13548,15628,22265
65,411,26360,13637,15661,22342
66,411,27900,12951,16324,20825
67,411,28914,13519,15983,19584
68,411,29911,14157,15704,18228
69,411,30395,13812,15519,18274
70,411,30327,14126,15527,18020
71,411,31371,13652,15918,17059
72,411,33402,13508,15717,15373
73,411,33569,13409,15723,15299
74,411,33376,13410,15686,15528
75,411,33619,13338,15642,15401
76,411,33725,13378,15696,15201
77,411,34192,13139,15388,15281
78,411,31803,13032,16583,16582
79,411,29594,12819,17115,18472
80,411,28025,13135,16854,19986
81,411,28288,13084,16895,19733
82,411,26035,12878,17151,21936
83,411,24076,12080,18436,23408
84,411,24359,12108,18107,23426
85,411,25769,11382,18694,22155
86,411,25088,11662,18852,22398
87,411,25896,11484,19754,20866
88,411,26739,11679,19522,20060
89,411,27429,11446,20384,18741
90,411,27428,11463,20344,18765
91,411,26125,11686,21020,19169
92,411,26209,11613,20862,19316
93,411,27325,12480,20343,17852
94,411,27693,12246,20098,17963
95,411,27357,12438,20205,18000
96,411,27467,12349,20177,18007
97,411,29194,12976,19396,16434
98,411,29252,12899,19531,16318
99,411,29425,12888,19325,16362
100,411,30190,12588,19212,16010
101,411,30929,12463,19401,15207
102,411,31957,12249,19221,14573
103,411,31070,12385,18790,15755
104,411,30095,12007,19046,16852
105,411,31109,12477,18710,15704
106,411,30017,12993,18008,16982
107,411,31205,12846,18367,15582
108,411,31160,12680,18299,15861
109,411,30170,12616,19146,16068
110,411,32352,12283,18873,14492
111,411,31532,12852,18860,14756
112,411,32820,12918,18615,13647
113,411,32582,12936,18935,13547
114,411,31994,12331,19244,14431
115,411,33398,12150,18390,14062
116,411,31508,12341,18597,15554
117,411,31800,12590,18985,14625
118,411,31979,12618,18879,14524
119,411,32254,12407,18785,14554
120,411,33096,11988,19454,13462
121,411,35440,11791,18761,12008
122,411,34351,12231,19068,12350
123,411,34803,12722,18857,11618
124,411,34471,12656,18483,12390
125,411,33061,12462,19261,13216
126,411,31699,12016,19658,14627
127,411,32531,12233,19515,13721
