round,seed,defect,exploit_,exploit,coop
1,218,19341,12282,17056,29321
2,218,20291,11711,17162,28836
3,218,20395,11624,17054,28927
4,218,20367,11723,17265,28645
5,218,21169,12153,16913,27765
6,218,20473,11894,17030,28603
7,218,20064,12103,16948,28885
8,218,19839,12023,16934,29204
9,218,19677,11888,17081,29354
10,218,20146,12215,17004,28635
11,218,21258,12570,16284,27888
12,218,20466,12317,16761,28456
13,218,18951,12793,15980,30276
14,218,18800,12708,16077,30415
15,218,19098,12903,15784,30215
16,218,19638,13154,15790,29418
17,218,21099,13778,14948,28175
18,218,21143,13880,15321,27656
19,218,20597,13936,14961,28506
20,218,20562,13755,15053,28630
21,218,21685,14378,14775,27162
22,218,20882,14495,14586,28037
23,218,20812,14433,14569,28186
24,218,21887,14376,14662,27075
25,218,21699,14504,14447,27350
26,218,23797,14083,14753,25367
27,218,23401,14231,14935,25433
28,218,22982,14116,14870,26032
29,218,20918,14930,14232,27920
30,218,19154,15346,13593,29907
31,218,20014,15191,13469,29326
32,218,21469,14965,13903,27663
33,218,21181,15224,13915,27680
34,218,21580,15119,13694,27607
35,218,21601,15261,13716,27422
36,218,21887,15156,13905,27052
37,218,21393,15311,13786,27510
38,218,21969,15111,13493,27427
39,218,23471,15694,13451,25384
40,218,24918,15329,14000,23753
41,218,24115,14719,14214,24952
42,218,21849,15130,14010,27011
43,218,22865,15148,13828,26159
44,218,21817,15343,13819,27021
45,218,22267,15104,14074,26555
46,218,22331,15214,13822,26633
47,218,22273,15173,13870,26684
48,218,22613,14978,14084,26325
49,218,21496,15518,13666,27320
50,218,20650,15206,13566,28578
51,218,18676,14908,13822,30594
52,218,20287,15186,13814,28713
53,218,20755,15071,13983,28191
54,218,21060,15109,14150,27681
55,218,20817,14869,13980,28334
56,218,19675,15187,13894,29244
57,218,20702,15232,14004,28062
58,218,19822,14989,14222,28967
59,218,19527,14514,14138,29821
60,218,20325,14222,14470,28983
61,218,20205,14157,14584,29054
62,218,21591,13770,14907,27732
63,218,20664,14522,14548,28266
64,218,21845,14939,14081,27135
65,218,20359,14508,14629,28504
66,218,20464,14448,14639,28449
67,218,21625,14689,13876,27810
68,218,20851,14785,14321,28043
69,218,21511,14624,14155,27710
70,218,23238,15177,13569,26016
71,218,24304,15235,13624,24837
72,218,24310,15338,13851,24501
73,218,23528,15257,14106,25109
74,218,24677,15238,13703,24382
75,218,24201,15132,13902,24765
76,218,23197,15058,14041,25704
77,218,23198,14999,14062,25741
78,218,20923,15468,13489,28120
79,218,20278,15366,13124,29232
80,218,20091,15533,13251,29125
81,218,21139,15229,14017,27615
82,218,21290,15355,13862,27493
83,218,21121,15166,13652,28061
84,218,21039,15258,13812,27891
85,218,22445,15045,14264,26246
86,218,22468,15131,14063,26338
87,218,22128,14855,14357,26660
88,218,22892,14871,14128,26109
89,218,23427,14490,14573,25510
90,218,23236,14493,14496,25775
91,218,24177,15180,14421,24222
92,218,25434,15134,14200,23232
93,218,26855,14524,15162,21459
94,218,27098,14437,14982,21483
95,218,26752,14464,14968,21816
96,218,24907,15486,14145,23462
97,218,24591,15592,14333,23484
98,218,23739,15298,14220,24743
99,218,23203,15173,14359,25265
100,218,22326,15595,14074,26005
101,218,22019,15698,14145,26138
102,218,20947,15438,14670,26945
103,218,20890,15343,14816,26951
104,218,21142,15256,14681,26921
105,218,21905,15974,14396,25725
106,218,22555,15853,14409,25183
107,218,21703,15598,14946,25753
