,seed,population_seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,461,625,coop,38994670,7269,0.5,0.093
1,461,625,defect,11616515,5746,0.149,0.074
2,461,625,exploitation,27388815,1802,0.351,0.023
