round,seed,exploit,defect,exploit_,coop
1,123,16748,19552,12142,29558
2,123,16308,20382,12501,28809
3,123,16463,22568,12671,26298
4,123,16785,23566,12335,25314
5,123,16534,24928,12488,24050
6,123,16604,24688,12701,24007
7,123,15927,23601,12938,25534
8,123,16256,23024,13004,25716
9,123,16363,22978,12872,25787
10,123,15745,23983,13073,25199
11,123,15858,24200,13089,24853
12,123,15986,25471,12909,23634
13,123,15483,26823,13598,22096
14,123,15839,25145,13271,23745
15,123,15642,25578,13103,23677
16,123,15816,25195,13365,23624
17,123,15733,25098,13288,23881
18,123,15680,24669,13604,24047
19,123,15308,24974,13174,24544
20,123,15654,24730,13579,24037
21,123,15528,25011,13414,24047
22,123,15649,24392,13344,24615
23,123,15554,23961,13547,24938
24,123,15396,23617,13785,25202
25,123,15393,23416,13624,25567
26,123,15087,21883,13987,27043
27,123,15412,21531,13851,27206
28,123,15245,19894,13457,29404
29,123,15589,17906,13428,31077
30,123,15899,17454,12886,31761
31,123,15766,17569,12839,31826
32,123,15855,17574,12882,31689
33,123,15834,17112,12836,32218
34,123,16084,17178,12894,31844
35,123,16501,18060,12480,30959
36,123,16509,16686,12175,32630
37,123,16485,16242,12332,32941
38,123,16444,16107,12278,33171
39,123,16265,17560,12915,31260
40,123,16038,17468,12729,31765
41,123,16554,16263,12184,32999
42,123,16887,15783,12067,33263
43,123,16768,15619,11915,33698
44,123,16743,15521,11863,33873
45,123,17211,13898,11118,35773
46,123,17168,13341,11175,36316
47,123,17371,12965,11053,36611
48,123,16756,11848,10940,38456
49,123,16995,11382,10570,39053
50,123,17046,11396,10530,39028
51,123,16809,13028,11710,36453
52,123,16692,13682,11762,35864
53,123,15808,15425,12867,33900
54,123,14704,13715,13452,36129
55,123,14912,13701,13699,35688
56,123,14476,14242,13660,35622
57,123,14958,12805,12804,37433
58,123,15099,13024,12717,37160
59,123,13884,11771,13109,39236
60,123,13919,12118,13310,38653
61,123,13967,12350,13434,38249
62,123,13919,13861,13672,36548
63,123,14041,13745,13775,36439
64,123,14200,13938,13815,36047
65,123,14156,15015,14206,34623
66,123,14420,16969,14357,32254
67,123,14280,17040,14055,32625
68,123,14285,16935,14131,32649
69,123,15374,18478,13605,30543
70,123,15440,16532,13243,32785
71,123,15279,16088,13320,33313
72,123,16092,18041,12856,31011
73,123,15934,16611,12949,32506
74,123,16235,17081,12481,32203
75,123,16927,18477,12043,30553
76,123,17003,19009,11997,29991
77,123,16310,17483,12320,31887
78,123,16963,19442,12163,29432
79,123,17501,20924,11527,28048
80,123,16483,23128,12782,25607
81,123,16378,24484,12912,24226
82,123,16197,23937,13354,24512
83,123,16538,22223,12748,26491
84,123,15933,20890,13114,28063
85,123,16003,22217,13536,26244
86,123,15670,22324,13459,26547
87,123,16220,20167,13162,28451
88,123,16078,20326,13094,28502
89,123,16062,20550,13176,28212
90,123,16169,18764,12939,30128
91,123,15852,17785,13130,31233
92,123,15449,19239,13421,29891
93,123,15532,19042,13534,29892
94,123,14953,17826,13470,31751
95,123,14918,17325,13830,31927
96,123,15298,18843,14052,29807
97,123,15122,18615,13974,30289
98,123,15193,19181,13722,29904
99,123,14609,17918,14113,31360
100,123,14915,19427,14033,29625
101,123,14883,18904,13974,30239
102,123,14902,20332,14715,28051
103,123,14461,20453,14680,28406
104,123,14429,19311,14649,29611
105,123,14442,19719,14894,28945
106,123,14031,21586,14988,27395
107,123,14510,22821,15060,25609
108,123,14072,24473,15650,23805
109,123,14492,22239,15148,26121
110,123,13593,20853,15901,27653
111,123,14240,18692,15155,29913
112,123,14108,18934,15084,29874
