round,seed,population_seed,strategy,count,percentage
1,179,537,coop,29380,0.38
1,179,537,defect,19410,0.25
1,179,537,exploitation,29210,0.37
2,179,537,coop,30843,0.4
2,179,537,defect,18414,0.24
2,179,537,exploitation,28743,0.37
3,179,537,coop,32928,0.42
3,179,537,defect,16504,0.21
3,179,537,exploitation,28568,0.37
4,179,537,coop,35594,0.46
4,179,537,defect,14472,0.19
4,179,537,exploitation,27934,0.36
5,179,537,coop,35962,0.46
5,179,537,defect,14117,0.18
5,179,537,exploitation,27921,0.36
6,179,537,coop,35883,0.46
6,179,537,defect,13846,0.18
6,179,537,exploitation,28271,0.36
7,179,537,coop,35261,0.45
7,179,537,defect,14835,0.19
7,179,537,exploitation,27904,0.36
8,179,537,coop,36501,0.47
8,179,537,defect,13859,0.18
8,179,537,exploitation,27640,0.35
9,179,537,coop,34658,0.44
9,179,537,defect,14862,0.19
9,179,537,exploitation,28480,0.37
10,179,537,coop,35692,0.46
10,179,537,defect,14206,0.18
10,179,537,exploitation,28102,0.36
11,179,537,coop,35951,0.46
11,179,537,defect,13502,0.17
11,179,537,exploitation,28547,0.37
12,179,537,coop,33729,0.43
12,179,537,defect,14915,0.19
12,179,537,exploitation,29356,0.38
13,179,537,coop,36248,0.46
13,179,537,defect,13212,0.17
13,179,537,exploitation,28540,0.37
14,179,537,coop,36639,0.47
14,179,537,defect,12786,0.16
14,179,537,exploitation,28575,0.37
15,179,537,coop,36318,0.47
15,179,537,defect,12865,0.16
15,179,537,exploitation,28817,0.37
16,179,537,coop,36250,0.46
16,179,537,defect,13263,0.17
16,179,537,exploitation,28487,0.37
17,179,537,coop,35782,0.46
17,179,537,defect,13872,0.18
17,179,537,exploitation,28346,0.36
18,179,537,coop,33649,0.43
18,179,537,defect,15087,0.19
18,179,537,exploitation,29264,0.38
19,179,537,coop,32870,0.42
19,179,537,defect,15933,0.2
19,179,537,exploitation,29197,0.37
20,179,537,coop,33272,0.43
20,179,537,defect,16079,0.21
20,179,537,exploitation,28649,0.37
21,179,537,coop,32937,0.42
21,179,537,defect,16002,0.21
21,179,537,exploitation,29061,0.37
22,179,537,coop,34795,0.45
22,179,537,defect,15083,0.19
22,179,537,exploitation,28122,0.36
23,179,537,coop,34981,0.45
23,179,537,defect,14290,0.18
23,179,537,exploitation,28729,0.37
24,179,537,coop,35712,0.46
24,179,537,defect,13918,0.18
24,179,537,exploitation,28370,0.36
25,179,537,coop,36096,0.46
25,179,537,defect,13355,0.17
25,179,537,exploitation,28549,0.37
26,179,537,coop,38653,0.5
26,179,537,defect,11547,0.15
26,179,537,exploitation,27800,0.36
27,179,537,coop,40735,0.52
27,179,537,defect,10453,0.13
27,179,537,exploitation,26812,0.34
28,179,537,coop,38940,0.5
28,179,537,defect,11280,0.14
28,179,537,exploitation,27780,0.36
29,179,537,coop,38674,0.5
29,179,537,defect,11455,0.15
29,179,537,exploitation,27871,0.36
30,179,537,coop,39288,0.5
30,179,537,defect,11012,0.14
30,179,537,exploitation,27700,0.36
31,179,537,coop,39395,0.51
31,179,537,defect,10973,0.14
31,179,537,exploitation,27632,0.35
32,179,537,coop,37018,0.47
32,179,537,defect,12609,0.16
32,179,537,exploitation,28373,0.36
33,179,537,coop,39212,0.5
33,179,537,defect,10945,0.14
33,179,537,exploitation,27843,0.36
34,179,537,coop,39259,0.5
34,179,537,defect,11194,0.14
34,179,537,exploitation,27547,0.35
35,179,537,coop,41730,0.54
35,179,537,defect,9377,0.12
35,179,537,exploitation,26893,0.34
36,179,537,coop,41808,0.54
36,179,537,defect,9415,0.12
36,179,537,exploitation,26777,0.34
37,179,537,coop,41407,0.53
37,179,537,defect,10135,0.13
37,179,537,exploitation,26458,0.34
38,179,537,coop,39132,0.5
38,179,537,defect,11232,0.14
38,179,537,exploitation,27636,0.35
39,179,537,coop,37417,0.48
39,179,537,defect,12178,0.16
39,179,537,exploitation,28405,0.36
40,179,537,coop,36512,0.47
40,179,537,defect,12927,0.17
40,179,537,exploitation,28561,0.37
41,179,537,coop,38306,0.49
41,179,537,defect,11998,0.15
41,179,537,exploitation,27696,0.36
42,179,537,coop,38840,0.5
42,179,537,defect,11673,0.15
42,179,537,exploitation,27487,0.35
43,179,537,coop,37938,0.49
43,179,537,defect,12188,0.16
43,179,537,exploitation,27874,0.36
44,179,537,coop,37876,0.49
44,179,537,defect,12433,0.16
44,179,537,exploitation,27691,0.36
45,179,537,coop,35908,0.46
45,179,537,defect,13621,0.17
45,179,537,exploitation,28471,0.37
46,179,537,coop,36720,0.47
46,179,537,defect,12907,0.17
46,179,537,exploitation,28373,0.36
47,179,537,coop,37088,0.48
47,179,537,defect,12290,0.16
47,179,537,exploitation,28622,0.37
48,179,537,coop,39549,0.51
48,179,537,defect,10736,0.14
48,179,537,exploitation,27715,0.36
49,179,537,coop,39726,0.51
49,179,537,defect,10391,0.13
49,179,537,exploitation,27883,0.36
50,179,537,coop,41422,0.53
50,179,537,defect,9726,0.12
50,179,537,exploitation,26852,0.34
51,179,537,coop,41316,0.53
51,179,537,defect,9737,0.12
51,179,537,exploitation,26947,0.35
52,179,537,coop,42153,0.54
52,179,537,defect,9282,0.12
52,179,537,exploitation,26565,0.34
53,179,537,coop,44252,0.57
53,179,537,defect,7928,0.1
53,179,537,exploitation,25820,0.33
54,179,537,coop,47237,0.61
54,179,537,defect,6487,0.08
54,179,537,exploitation,24276,0.31
55,179,537,coop,44445,0.57
55,179,537,defect,7872,0.1
55,179,537,exploitation,25683,0.33
56,179,537,coop,44757,0.57
56,179,537,defect,7872,0.1
56,179,537,exploitation,25371,0.33
57,179,537,coop,42202,0.54
57,179,537,defect,9265,0.12
57,179,537,exploitation,26533,0.34
58,179,537,coop,41593,0.53
58,179,537,defect,9593,0.12
58,179,537,exploitation,26814,0.34
59,179,537,coop,41577,0.53
59,179,537,defect,9582,0.12
59,179,537,exploitation,26841,0.34
60,179,537,coop,42257,0.54
60,179,537,defect,8939,0.11
60,179,537,exploitation,26804,0.34
61,179,537,coop,42618,0.55
61,179,537,defect,9091,0.12
61,179,537,exploitation,26291,0.34
62,179,537,coop,42369,0.54
62,179,537,defect,8876,0.11
62,179,537,exploitation,26755,0.34
63,179,537,coop,41680,0.53
63,179,537,defect,9570,0.12
63,179,537,exploitation,26750,0.34
64,179,537,coop,39082,0.5
64,179,537,defect,11038,0.14
64,179,537,exploitation,27880,0.36
65,179,537,coop,39362,0.5
65,179,537,defect,10948,0.14
65,179,537,exploitation,27690,0.36
66,179,537,coop,41748,0.54
66,179,537,defect,9533,0.12
66,179,537,exploitation,26719,0.34
67,179,537,coop,41041,0.53
67,179,537,defect,10113,0.13
67,179,537,exploitation,26846,0.34
68,179,537,coop,40846,0.52
68,179,537,defect,10312,0.13
68,179,537,exploitation,26842,0.34
69,179,537,coop,42706,0.55
69,179,537,defect,9034,0.12
69,179,537,exploitation,26260,0.34
70,179,537,coop,43313,0.56
70,179,537,defect,8648,0.11
70,179,537,exploitation,26039,0.33
71,179,537,coop,42856,0.55
71,179,537,defect,9118,0.12
71,179,537,exploitation,26026,0.33
72,179,537,coop,42662,0.55
72,179,537,defect,9377,0.12
72,179,537,exploitation,25961,0.33
73,179,537,coop,40901,0.52
73,179,537,defect,10400,0.13
73,179,537,exploitation,26699,0.34
74,179,537,coop,43078,0.55
74,179,537,defect,9010,0.12
74,179,537,exploitation,25912,0.33
75,179,537,coop,42796,0.55
75,179,537,defect,8984,0.12
75,179,537,exploitation,26220,0.34
76,179,537,coop,42428,0.54
76,179,537,defect,9463,0.12
76,179,537,exploitation,26109,0.33
77,179,537,coop,42168,0.54
77,179,537,defect,9453,0.12
77,179,537,exploitation,26379,0.34
78,179,537,coop,42445,0.54
78,179,537,defect,9387,0.12
78,179,537,exploitation,26168,0.34
79,179,537,coop,42703,0.55
79,179,537,defect,9206,0.12
79,179,537,exploitation,26091,0.33
80,179,537,coop,42074,0.54
80,179,537,defect,9656,0.12
80,179,537,exploitation,26270,0.34
81,179,537,coop,42019,0.54
81,179,537,defect,9616,0.12
81,179,537,exploitation,26365,0.34
82,179,537,coop,41524,0.53
82,179,537,defect,10367,0.13
82,179,537,exploitation,26109,0.33
83,179,537,coop,39280,0.5
83,179,537,defect,11545,0.15
83,179,537,exploitation,27175,0.35
84,179,537,coop,39580,0.51
84,179,537,defect,11284,0.14
84,179,537,exploitation,27136,0.35
85,179,537,coop,39800,0.51
85,179,537,defect,11126,0.14
85,179,537,exploitation,27074,0.35
86,179,537,coop,41657,0.53
86,179,537,defect,10192,0.13
86,179,537,exploitation,26151,0.34
87,179,537,coop,41074,0.53
87,179,537,defect,10376,0.13
87,179,537,exploitation,26550,0.34
88,179,537,coop,41509,0.53
88,179,537,defect,10406,0.13
88,179,537,exploitation,26085,0.33
89,179,537,coop,41161,0.53
89,179,537,defect,10348,0.13
89,179,537,exploitation,26491,0.34
90,179,537,coop,43369,0.56
90,179,537,defect,8929,0.11
90,179,537,exploitation,25702,0.33
91,179,537,coop,41563,0.53
91,179,537,defect,10188,0.13
91,179,537,exploitation,26249,0.34
92,179,537,coop,41927,0.54
92,179,537,defect,9811,0.13
92,179,537,exploitation,26262,0.34
93,179,537,coop,42442,0.54
93,179,537,defect,9296,0.12
93,179,537,exploitation,26262,0.34
94,179,537,coop,40072,0.51
94,179,537,defect,11042,0.14
94,179,537,exploitation,26886,0.34
95,179,537,coop,38386,0.49
95,179,537,defect,12191,0.16
95,179,537,exploitation,27423,0.35
96,179,537,coop,39685,0.51
96,179,537,defect,11184,0.14
96,179,537,exploitation,27131,0.35
97,179,537,coop,39173,0.5
97,179,537,defect,11343,0.15
97,179,537,exploitation,27484,0.35
98,179,537,coop,41038,0.53
98,179,537,defect,10527,0.13
98,179,537,exploitation,26435,0.34
99,179,537,coop,41378,0.53
99,179,537,defect,10331,0.13
99,179,537,exploitation,26291,0.34
100,179,537,coop,40324,0.52
100,179,537,defect,11023,0.14
100,179,537,exploitation,26653,0.34
101,179,537,coop,40342,0.52
101,179,537,defect,11043,0.14
101,179,537,exploitation,26615,0.34
102,179,537,coop,40544,0.52
102,179,537,defect,10819,0.14
102,179,537,exploitation,26637,0.34
103,179,537,coop,40265,0.52
103,179,537,defect,10950,0.14
103,179,537,exploitation,26785,0.34
104,179,537,coop,40631,0.52
104,179,537,defect,10865,0.14
104,179,537,exploitation,26504,0.34
105,179,537,coop,41211,0.53
105,179,537,defect,10432,0.13
105,179,537,exploitation,26357,0.34
106,179,537,coop,40139,0.51
106,179,537,defect,11165,0.14
106,179,537,exploitation,26696,0.34
107,179,537,coop,39859,0.51
107,179,537,defect,11063,0.14
107,179,537,exploitation,27078,0.35
108,179,537,coop,40231,0.52
108,179,537,defect,11062,0.14
108,179,537,exploitation,26707,0.34
109,179,537,coop,42287,0.54
109,179,537,defect,9405,0.12
109,179,537,exploitation,26308,0.34
110,179,537,coop,41735,0.54
110,179,537,defect,9960,0.13
110,179,537,exploitation,26305,0.34
111,179,537,coop,41340,0.53
111,179,537,defect,10139,0.13
111,179,537,exploitation,26521,0.34
112,179,537,coop,41240,0.53
112,179,537,defect,10269,0.13
112,179,537,exploitation,26491,0.34
113,179,537,coop,39320,0.5
113,179,537,defect,11702,0.15
113,179,537,exploitation,26978,0.35
114,179,537,coop,39773,0.51
114,179,537,defect,11252,0.14
114,179,537,exploitation,26975,0.35
115,179,537,coop,41586,0.53
115,179,537,defect,9846,0.13
115,179,537,exploitation,26568,0.34
116,179,537,coop,40982,0.53
116,179,537,defect,10281,0.13
