round,seed,population_seed,strategy,count,percentage
1,898,550,coop,29388,0.38
1,898,550,defect,19386,0.25
1,898,550,exploitation,29226,0.37
2,898,550,coop,29359,0.38
2,898,550,defect,19373,0.25
2,898,550,exploitation,29268,0.38
3,898,550,coop,28220,0.36
3,898,550,defect,20458,0.26
3,898,550,exploitation,29322,0.38
4,898,550,coop,30628,0.39
4,898,550,defect,18380,0.24
4,898,550,exploitation,28992,0.37
5,898,550,coop,30779,0.39
5,898,550,defect,18223,0.23
5,898,550,exploitation,28998,0.37
6,898,550,coop,31901,0.41
6,898,550,defect,17334,0.22
6,898,550,exploitation,28765,0.37
7,898,550,coop,29356,0.38
7,898,550,defect,19390,0.25
7,898,550,exploitation,29254,0.38
8,898,550,coop,28047,0.36
8,898,550,defect,20483,0.26
8,898,550,exploitation,29470,0.38
9,898,550,coop,27829,0.36
9,898,550,defect,20555,0.26
9,898,550,exploitation,29616,0.38
10,898,550,coop,26667,0.34
10,898,550,defect,21583,0.28
10,898,550,exploitation,29750,0.38
11,898,550,coop,29025,0.37
11,898,550,defect,19515,0.25
11,898,550,exploitation,29460,0.38
12,898,550,coop,28887,0.37
12,898,550,defect,19558,0.25
12,898,550,exploitation,29555,0.38
13,898,550,coop,28989,0.37
13,898,550,defect,19483,0.25
13,898,550,exploitation,29528,0.38
14,898,550,coop,28610,0.37
14,898,550,defect,19753,0.25
14,898,550,exploitation,29637,0.38
15,898,550,coop,27603,0.35
15,898,550,defect,20389,0.26
15,898,550,exploitation,30008,0.38
16,898,550,coop,27806,0.36
16,898,550,defect,19936,0.26
16,898,550,exploitation,30258,0.39
17,898,550,coop,29382,0.38
17,898,550,defect,18523,0.24
17,898,550,exploitation,30095,0.39
18,898,550,coop,29937,0.38
18,898,550,defect,18088,0.23
18,898,550,exploitation,29975,0.38
19,898,550,coop,30064,0.39
19,898,550,defect,17894,0.23
19,898,550,exploitation,30042,0.39
20,898,550,coop,30307,0.39
20,898,550,defect,17662,0.23
20,898,550,exploitation,30031,0.39
21,898,550,coop,32569,0.42
21,898,550,defect,15956,0.2
21,898,550,exploitation,29475,0.38
22,898,550,coop,34085,0.44
22,898,550,defect,14737,0.19
22,898,550,exploitation,29178,0.37
23,898,550,coop,34112,0.44
23,898,550,defect,14667,0.19
23,898,550,exploitation,29221,0.37
24,898,550,coop,36752,0.47
24,898,550,defect,13026,0.17
24,898,550,exploitation,28222,0.36
25,898,550,coop,37120,0.48
