round,seed,population_seed,strategy,count,percentage
1,780,638,coop,29715,0.38
1,780,638,defect,19588,0.25
1,780,638,exploitation,28697,0.37
2,780,638,coop,28115,0.36
2,780,638,defect,20394,0.26
2,780,638,exploitation,29491,0.38
3,780,638,coop,26198,0.34
3,780,638,defect,21945,0.28
3,780,638,exploitation,29857,0.38
4,780,638,coop,26412,0.34
4,780,638,defect,21920,0.28
4,780,638,exploitation,29668,0.38
5,780,638,coop,26954,0.35
5,780,638,defect,21172,0.27
5,780,638,exploitation,29874,0.38
6,780,638,coop,25325,0.32
6,780,638,defect,22351,0.29
6,780,638,exploitation,30324,0.39
7,780,638,coop,25105,0.32
7,780,638,defect,22280,0.29
7,780,638,exploitation,30615,0.39
8,780,638,coop,27518,0.35
8,780,638,defect,20083,0.26
8,780,638,exploitation,30399,0.39
9,780,638,coop,27102,0.35
9,780,638,defect,20982,0.27
9,780,638,exploitation,29916,0.38
10,780,638,coop,25068,0.32
10,780,638,defect,22761,0.29
10,780,638,exploitation,30171,0.39
11,780,638,coop,23154,0.3
11,780,638,defect,24896,0.32
11,780,638,exploitation,29950,0.38
12,780,638,coop,21900,0.28
12,780,638,defect,26080,0.33
12,780,638,exploitation,30020,0.38
13,780,638,coop,21944,0.28
13,780,638,defect,25872,0.33
13,780,638,exploitation,30184,0.39
14,780,638,coop,22138,0.28
14,780,638,defect,25461,0.33
14,780,638,exploitation,30401,0.39
15,780,638,coop,21232,0.27
15,780,638,defect,26221,0.34
15,780,638,exploitation,30547,0.39
16,780,638,coop,21642,0.28
16,780,638,defect,25087,0.32
16,780,638,exploitation,31271,0.4
17,780,638,coop,19851,0.25
17,780,638,defect,26926,0.35
17,780,638,exploitation,31223,0.4
18,780,638,coop,18368,0.24
18,780,638,defect,28401,0.36
18,780,638,exploitation,31231,0.4
19,780,638,coop,17166,0.22
19,780,638,defect,29575,0.38
19,780,638,exploitation,31259,0.4
20,780,638,coop,17228,0.22
20,780,638,defect,29563,0.38
20,780,638,exploitation,31209,0.4
21,780,638,coop,17080,0.22
21,780,638,defect,29668,0.38
21,780,638,exploitation,31252,0.4
22,780,638,coop,17349,0.22
22,780,638,defect,29321,0.38
22,780,638,exploitation,31330,0.4
23,780,638,coop,16746,0.21
23,780,638,defect,30367,0.39
23,780,638,exploitation,30887,0.4
24,780,638,coop,16400,0.21
24,780,638,defect,31362,0.4
24,780,638,exploitation,30238,0.39
25,780,638,coop,14862,0.19
25,780,638,defect,33495,0.43
25,780,638,exploitation,29643,0.38
26,780,638,coop,13801,0.18
26,780,638,defect,34289,0.44
26,780,638,exploitation,29910,0.38
27,780,638,coop,12304,0.16
27,780,638,defect,36542,0.47
27,780,638,exploitation,29154,0.37
28,780,638,coop,12581,0.16
28,780,638,defect,36541,0.47
28,780,638,exploitation,28878,0.37
29,780,638,coop,11120,0.14
29,780,638,defect,38935,0.5
29,780,638,exploitation,27945,0.36
30,780,638,coop,11023,0.14
30,780,638,defect,38909,0.5
30,780,638,exploitation,28068,0.36
31,780,638,coop,12024,0.15
31,780,638,defect,37561,0.48
31,780,638,exploitation,28415,0.36
32,780,638,coop,11047,0.14
32,780,638,defect,38948,0.5
32,780,638,exploitation,28005,0.36
33,780,638,coop,10988,0.14
33,780,638,defect,39240,0.5
33,780,638,exploitation,27772,0.36
34,780,638,coop,10980,0.14
34,780,638,defect,39075,0.5
34,780,638,exploitation,27945,0.36
35,780,638,coop,11052,0.14
35,780,638,defect,38947,0.5
35,780,638,exploitation,28001,0.36
36,780,638,coop,11806,0.15
36,780,638,defect,37478,0.48
36,780,638,exploitation,28716,0.37
37,780,638,coop,12095,0.16
37,780,638,defect,37408,0.48
37,780,638,exploitation,28497,0.37
38,780,638,coop,11917,0.15
38,780,638,defect,37862,0.49
38,780,638,exploitation,28221,0.36
39,780,638,coop,12078,0.15
39,780,638,defect,37771,0.48
39,780,638,exploitation,28151,0.36
40,780,638,coop,11025,0.14
40,780,638,defect,39083,0.5
40,780,638,exploitation,27892,0.36
41,780,638,coop,10084,0.13
41,780,638,defect,40521,0.52
41,780,638,exploitation,27395,0.35
42,780,638,coop,8961,0.11
42,780,638,defect,41521,0.53
42,780,638,exploitation,27518,0.35
43,780,638,coop,8410,0.11
43,780,638,defect,42272,0.54
43,780,638,exploitation,27318,0.35
44,780,638,coop,8351,0.11
44,780,638,defect,42023,0.54
44,780,638,exploitation,27626,0.35
45,780,638,coop,7182,0.09
45,780,638,defect,44613,0.57
45,780,638,exploitation,26205,0.34
46,780,638,coop,7274,0.09
46,780,638,defect,44487,0.57
46,780,638,exploitation,26239,0.34
47,780,638,coop,8078,0.1
47,780,638,defect,43294,0.56
47,780,638,exploitation,26628,0.34
48,780,638,coop,8017,0.1
48,780,638,defect,43528,0.56
48,780,638,exploitation,26455,0.34
49,780,638,coop,7051,0.09
49,780,638,defect,45809,0.59
49,780,638,exploitation,25140,0.32
50,780,638,coop,7630,0.1
50,780,638,defect,44575,0.57
50,780,638,exploitation,25795,0.33
51,780,638,coop,7770,0.1
51,780,638,defect,44424,0.57
51,780,638,exploitation,25806,0.33
52,780,638,coop,7416,0.1
52,780,638,defect,45172,0.58
52,780,638,exploitation,25412,0.33
53,780,638,coop,7551,0.1
53,780,638,defect,45027,0.58
53,780,638,exploitation,25422,0.33
54,780,638,coop,6839,0.09
54,780,638,defect,46370,0.59
54,780,638,exploitation,24791,0.32
55,780,638,coop,5944,0.08
55,780,638,defect,47894,0.61
55,780,638,exploitation,24162,0.31
56,780,638,coop,4843,0.06
56,780,638,defect,50777,0.65
56,780,638,exploitation,22380,0.29
57,780,638,coop,4969,0.06
57,780,638,defect,50316,0.65
57,780,638,exploitation,22715,0.29
58,780,638,coop,4278,0.05
58,780,638,defect,51657,0.66
58,780,638,exploitation,22065,0.28
59,780,638,coop,4320,0.06
59,780,638,defect,51784,0.66
59,780,638,exploitation,21896,0.28
60,780,638,coop,4726,0.06
60,780,638,defect,51071,0.65
60,780,638,exploitation,22203,0.28
61,780,638,coop,4248,0.05
61,780,638,defect,51653,0.66
61,780,638,exploitation,22099,0.28
62,780,638,coop,3742,0.05
62,780,638,defect,53266,0.68
62,780,638,exploitation,20992,0.27
