,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,60131008,10894,0.386,0.14
1,1024,defect,39278139,9079,0.252,0.116
2,1024,exploitation,56590853,2655,0.363,0.034
6000,128,coop,61283920,9797,0.393,0.126
6001,128,defect,38218160,9107,0.245,0.117
6002,128,exploitation,56497920,1441,0.362,0.019
12000,16,coop,42576247,10295,0.273,0.132
12001,16,defect,54139843,11566,0.347,0.148
12002,16,exploitation,59283910,2903,0.38,0.037
18000,256,coop,48505447,12862,0.311,0.165
18001,256,defect,52237729,13695,0.335,0.176
18002,256,exploitation,55256824,3364,0.354,0.043
24000,2,coop,47049227,8053,0.302,0.103
24001,2,defect,51583563,8434,0.331,0.108
24002,2,exploitation,57367210,1158,0.368,0.015
30000,32,coop,36693463,8857,0.235,0.114
30001,32,defect,63909697,10523,0.41,0.135
30002,32,exploitation,55396840,2271,0.355,0.029
36000,4,coop,46404828,12992,0.297,0.167
36001,4,defect,54767012,14977,0.351,0.192
36002,4,exploitation,54828160,3476,0.351,0.045
42000,512,coop,56642238,12831,0.363,0.164
42001,512,defect,42257833,11743,0.271,0.151
42002,512,exploitation,57099929,2498,0.366,0.032
48000,64,coop,58809475,10081,0.377,0.129
48001,64,defect,40344566,9477,0.259,0.122
48002,64,exploitation,56845959,1470,0.364,0.019
54000,8,coop,58519510,8452,0.375,0.109
54001,8,defect,39861657,8519,0.256,0.109
54002,8,exploitation,57618833,1438,0.369,0.019
