round,seed,coop,exploit_,exploit,defect
1,512,29226,17558,11823,19393
2,512,27176,17917,11259,21648
3,512,25219,17320,12061,23400
4,512,26556,16929,12284,22231
5,512,25837,16931,12346,22886
6,512,28130,17293,11707,20870
7,512,28212,17339,11786,20663
8,512,28138,17097,11854,20911
9,512,27075,17271,11825,21829
10,512,28856,16618,12051,20475
11,512,27281,16453,12737,21529
12,512,26776,16069,12825,22330
13,512,26819,16266,12659,22256
14,512,28090,15917,12931,21062
15,512,27579,15881,13358,21182
16,512,27969,15698,13128,21205
17,512,27272,16050,13078,21600
18,512,27941,16202,13003,20854
19,512,28154,16074,12752,21020
20,512,28434,15970,12831,20765
21,512,27375,16209,13001,21415
22,512,27962,16182,12919,20937
23,512,28069,16100,12960,20871
24,512,28817,15613,13397,20173
25,512,29217,15560,13322,19901
26,512,30102,15158,13447,19293
27,512,31086,15286,13748,17880
28,512,32700,15061,13354,16885
29,512,32300,15268,13445,16987
30,512,32513,15303,13342,16842
31,512,32936,15047,13267,16750
32,512,30834,15649,13144,18373
33,512,31335,15665,12982,18018
34,512,31836,15707,12710,17747
35,512,29753,15567,13386,19294
36,512,29114,15017,13389,20480
37,512,31140,14348,14405,18107
38,512,32210,14657,13756,17377
39,512,31771,14692,13927,17610
40,512,33045,14273,14246,16436
41,512,32970,14297,14198,16535
42,512,33745,14052,14075,16128
43,512,31195,14984,13518,18303
44,512,31200,14919,13444,18437
45,512,31367,14909,13633,18091
46,512,31631,14852,13587,17930
47,512,32876,14604,13946,16574
48,512,34093,14494,13753,15660
49,512,35693,14715,13219,14373
50,512,34695,15150,12876,15279
51,512,34878,15319,12876,14927
52,512,35318,15145,12966,14571
53,512,35281,14900,12926,14893
54,512,35590,15046,12785,14579
55,512,34882,15314,12920,14884
56,512,35060,15534,12900,14506
57,512,36594,15422,12236,13748
58,512,33870,15347,12853,15930
59,512,31851,14923,13651,17575
60,512,31585,14872,13795,17748
61,512,32069,14610,13479,17842
62,512,33971,13899,14480,15650
63,512,34294,13658,14224,15824
64,512,32715,14127,14244,16914
65,512,33287,14390,14077,16246
66,512,33464,14468,14062,16006
67,512,33334,14312,14021,16333
68,512,33516,14339,14027,16118
69,512,34396,14170,14203,15231
70,512,34552,13929,14162,15357
71,512,34369,14163,14196,15272
72,512,32539,14824,14149,16488
73,512,33386,14895,13949,15770
74,512,33505,15290,13873,15332
75,512,33329,15197,13807,15667
76,512,33825,15027,13604,15544
77,512,34086,15105,13895,14914
78,512,34413,15180,13951,14456
79,512,35133,15712,13554,13601
80,512,35312,15639,13655,13394
81,512,34954,14793,14125,14128
82,512,34630,15099,14002,14269
83,512,33055,16123,14002,14820
84,512,35255,16595,12639,13511
85,512,35370,16689,12753,13188
86,512,33081,17975,12531,14413
87,512,31801,18834,11690,15675
88,512,29364,20307,11204,17125
89,512,29581,20174,10951,17294
90,512,29352,20330,10998,17320
91,512,31335,19286,11216,16163
92,512,29198,19082,11886,17834
93,512,29609,19526,11786,17079
94,512,30897,18758,11778,16567
95,512,32766,18044,11680,15510
96,512,30333,18856,11461,17350
97,512,29675,19059,11044,18222
98,512,29225,18812,11042,18921
99,512,30773,18168,11245,17814
100,512,32770,17328,11485,16417
101,512,33104,17293,11509,16094
102,512,32813,17461,11648,16078
103,512,33541,17414,11837,15208
104,512,35253,16858,11448,14441
105,512,35307,16674,11683,14336
106,512,34653,16849,11308,15190
107,512,34194,17075,11533,15198
108,512,33972,17016,11479,15533
109,512,33162,17010,11585,16243
110,512,33998,17075,11413,15514
111,512,34030,17008,11312,15650
112,512,34922,16727,11640,14711
113,512,34727,16923,11698,14652
114,512,35624,16681,11598,14097
115,512,33437,17250,11953,15360
116,512,34226,17515,11587,14672
117,512,34107,17576,11707,14610
118,512,34141,17558,11593,14708
119,512,33928,17649,11696,14727
120,512,36357,17592,10980,13071
121,512,35989,17670,11084,13257
122,512,36409,17376,10926,13289
123,512,34741,17224,11876,14159
124,512,34477,17227,12003,14293
125,512,35002,17052,11986,13960
126,512,34391,16810,12287,14512
127,512,35356,17023,12131,13490
128,512,33627,18177,11904,14292
129,512,33588,18306,11906,14200
130,512,31646,19345,11668,15341
131,512,30088,20517,11194,16201
132,512,32142,19484,12004,14370
133,512,32740,19660,11884,13716
134,512,32889,19622,11900,13589
135,512,34467,18956,11670,12907
136,512,34629,18809,11456,13106
137,512,34776,18880,11928,12416
138,512,32794,18680,12619,13907
139,512,31129,19440,12843,14588
140,512,31059,19282,13101,14558
141,512,28866,19190,13972,15972
142,512,27339,19628,14250,16783
143,512,25787,18979,14903,18331
144,512,27465,20255,13714,16566
145,512,27011,20281,13191,17517
146,512,29165,20385,12305,16145
147,512,29483,21270,12101,15146
148,512,29187,21289,11752,15772
149,512,29738,21286,12229,14747
150,512,27737,22065,11970,16228
151,512,28043,22460,11794,15703
152,512,27936,22625,11709,15730
153,512,28006,22389,11933,15672
154,512,28068,22473,11761,15698
155,512,28076,22496,11803,15625
156,512,26033,22303,12479,17185
157,512,24089,22039,13186,18686
158,512,26175,22233,12284,17308
159,512,26406,22602,12893,16099
160,512,26647,22401,12784,16168
161,512,24930,23028,13107,16935
162,512,24860,23103,13004,17033
163,512,24661,23199,13213,16927
164,512,23046,21819,14646,18489
165,512,23235,21849,14512,18404
166,512,23240,22598,14720,17442
167,512,21637,21523,15951,18889
168,512,20286,21499,16491,19724
169,512,18764,20810,17013,21413
170,512,17115,19545,18238,23102
171,512,18719,20696,17172,21413
172,512,18673,20846,17203,21278
173,512,18817,20781,17148,21254
174,512,20454,20812,17096,19638
175,512,18963,21535,17466,20036
176,512,17364,19946,18860,21830
177,512,15973,18706,19948,23373
178,512,15990,18528,20048,23434
179,512,14522,18303,20005,25170
180,512,14465,18309,20081,25145
181,512,15846,17835,20001,24318
182,512,15718,17881,20101,24300
183,512,15890,17884,19975,24251
184,512,16976,17371,20102,23551
185,512,15680,16041,21100,25179
186,512,15312,16218,19715,26755
187,512,16799,15228,21123,24850
188,512,15213,14140,21885,26762
189,512,15239,14131,21924,26706
190,512,13694,12779,22974,28553
191,512,12493,13312,21681,30514
192,512,12631,13214,21508,30647
193,512,11420,13592,21568,31420
194,512,10264,13185,20844,33707
195,512,9365,13636,20265,34734
196,512,9424,13657,20408,34511
197,512,9398,13597,20393,34612
198,512,10563,14633,20260,32544
199,512,10413,14624,20428,32535
200,512,11588,14424,20714,31274
201,512,11418,14504,20605,31473
202,512,11112,13759,19875,33254
203,512,11136,13952,19761,33151
204,512,9856,14616,18161,35367
205,512,10059,14787,18318,34836
206,512,11309,15759,18241,32691
207,512,12583,16631,18188,30598
208,512,12451,16823,18021,30705
209,512,12449,16657,18179,30715
210,512,12560,16646,18281,30513
211,512,11232,15621,18325,32822
212,512,11376,15542,18279,32803
213,512,11189,15658,18302,32851
214,512,12036,15402,18464,32098
215,512,10837,15289,17615,34259
216,512,12213,16497,17156,32134
217,512,12111,16386,17323,32180
218,512,13511,17038,17329,30122
219,512,13592,17096,18032,29280
220,512,13862,17075,17846,29217
221,512,13827,17037,17977,29159
222,512,14056,17410,18997,27537
223,512,14011,17395,18921,27673
224,512,14036,17384,18900,27680
225,512,14073,17320,19024,27583
226,512,13020,17654,18771,28555
227,512,14061,16872,19401,27666
228,512,13079,17806,19167,27948
229,512,11652,18623,17710,30015
230,512,11787,18695,17667,29851
231,512,13088,20353,16578,27981
232,512,11859,20623,16674,28844
233,512,12022,20534,16569,28875
234,512,13172,20695,17211,26922
235,512,14331,20906,16553,26210
236,512,13052,19865,16949,28134
237,512,14426,20256,17112,26206
238,512,13130,21157,15697,28016
239,512,14524,21097,16225,26154
240,512,12988,20236,16991,27785
241,512,13135,19940,16926,27999
242,512,13066,19971,16907,28056
243,512,14449,18903,18400,26248
244,512,12909,19182,18003,27906
245,512,11796,18528,17673,30003
246,512,11917,18398,17773,29912
247,512,11662,18460,17863,30015
248,512,11851,18440,17634,30075
249,512,11807,18403,17843,29947
250,512,12806,19009,17076,29109
251,512,11630,18362,17043,30965
252,512,11596,18412,17055,30937
253,512,12917,18061,18037,28985
254,512,12926,17915,18133,29026
255,512,12765,17863,18399,28973
256,512,13920,17759,17763,28558
257,512,13750,17679,17784,28787
258,512,13693,17844,17862,28601
259,512,15296,19382,16533,26789
260,512,13866,19097,16321,28716
261,512,13845,19169,16306,28680
262,512,14114,20005,16231,27650
263,512,12660,18268,17451,29621
264,512,14082,20106,16322,27490
265,512,12706,18584,17254,29456
266,512,12681,18445,17348,29526
267,512,14083,18176,17914,27827
268,512,14132,18169,18090,27609
269,512,12624,18645,17116,29615
270,512,12861,18590,17079,29470
271,512,14103,18798,17186,27913
272,512,15554,18369,18277,25800
273,512,16904,17510,19598,23988
274,512,15611,18653,19016,24720
275,512,16829,18150,18489,24532
276,512,17172,18917,18911,23000
277,512,18794,19172,18739,21295
278,512,17328,19716,19205,21751
279,512,19069,20953,17954,20024
280,512,17345,20709,18256,21690
281,512,17447,20468,18302,21783
282,512,15942,20359,18314,23385
283,512,14732,19863,18315,25090
284,512,14615,19905,18379,25101
285,512,14619,19952,18163,25266
286,512,14533,19991,18356,25120
287,512,14605,19862,18470,25063
288,512,15946,21483,17268,23303
289,512,17153,20461,17400,22986
290,512,17098,20414,17497,22991
291,512,17212,20300,17417,23071
292,512,18695,21200,16799,21306
293,512,19996,20635,16311,21058
294,512,20042,20599,16281,21078
295,512,18373,20908,16029,22690
296,512,18290,21068,15875,22767
297,512,18413,21115,15804,22668
298,512,17124,21454,16336,23086
299,512,15751,22218,15164,24867
300,512,17124,23760,14166,22950
301,512,17190,23712,14231,22867
302,512,17243,23655,14010,23092
303,512,15732,23002,14573,24693
304,512,15414,21454,14879,26253
305,512,13990,22292,13500,28218
306,512,14947,22118,13176,27759
307,512,15947,21311,13309,27433
308,512,17636,21430,13598,25336
309,512,18941,20928,13771,24360
310,512,18955,20897,13635,24513
311,512,20722,21647,12974,22657
312,512,20487,21750,13136,22627
313,512,21996,22824,12183,20997
314,512,22270,22763,12079,20888
315,512,22179,22869,12058,20894
316,512,20819,23852,11904,21425
317,512,19291,22739,12956,23014
318,512,19027,21494,13101,24378
319,512,18764,21581,13127,24528
320,512,18831,21659,13196,24314
321,512,17262,21499,12911,26328
322,512,18478,20999,12687,25836
323,512,18346,21048,12804,25802
324,512,17870,21136,11792,27202
325,512,19642,21595,11555,25208
326,512,18999,21186,11313,26502
327,512,19282,21412,11394,25912
328,512,20427,21061,11047,25465
329,512,19219,20976,11701,26104
330,512,17930,21381,11631,27058
331,512,16297,19810,12671,29222
332,512,15768,18724,12897,30611
333,512,15788,18454,13175,30583
334,512,16838,18277,13016,29869
335,512,16669,18381,12947,30003
336,512,15209,16762,13889,32140
337,512,15759,16822,14806,30613
338,512,16049,16871,14980,30100
339,512,15924,16902,15219,29955
340,512,16254,16923,15069,29754
341,512,16084,16878,15089,29949
342,512,14467,16120,15271,32142
343,512,16033,16522,15487,29958
344,512,15834,16692,14710,30764
345,512,15182,16587,13973,32258
346,512,15086,16504,13945,32465
347,512,15094,16633,14069,32204
348,512,14321,16981,13793,32905
349,512,15758,16025,15376,30841
350,512,14249,15108,15532,33111
351,512,12778,14717,15081,35424
352,512,11852,15021,15255,35872
353,512,13325,14085,16949,33641
354,512,11846,14165,16086,35903
355,512,11394,13280,16116,37210
356,512,11549,13122,16819,36510
357,512,11659,12934,16784,36623
358,512,12918,12665,18185,34232
359,512,14428,14310,17006,32256
360,512,14482,14251,17052,32215
361,512,13141,15082,15530,34247
362,512,13858,15033,15460,33649
363,512,14154,15202,15514,33130
364,512,12652,15909,14014,35425
365,512,11979,16301,12852,36868
366,512,11416,16275,12735,37574
367,512,10604,14985,13267,39144
368,512,10951,15576,12966,38507
369,512,11818,15201,12955,38026
370,512,10784,14905,13376,38935
371,512,11665,15267,13321,37747
372,512,13249,16705,12472,35574
373,512,13093,16511,12214,36182
374,512,12242,16170,12939,36649
375,512,12274,16152,12765,36809
376,512,12146,16323,12849,36682
377,512,10651,14983,13098,39268
378,512,10858,15102,12830,39210
379,512,10605,15236,12974,39185
380,512,11828,15601,12767,37804
381,512,11802,15521,12903,37774
382,512,12602,15191,13065,37142
383,512,12727,15236,13092,36945
384,512,11133,15493,11877,39497
385,512,12557,17239,11128,37076
386,512,11527,17114,11467,37892
387,512,11003,16884,11354,38759
388,512,12066,17640,11381,36913
389,512,11949,17474,11303,37274
390,512,12135,17361,11237,37267
391,512,11619,17010,11107,38264
392,512,11853,16790,11063,38294
393,512,11675,16953,11095,38277
394,512,10259,17134,9962,40645
395,512,11691,18387,9629,38293
396,512,11603,18562,9669,38166
397,512,11567,18352,9702,38379
398,512,11653,18595,9709,38043
399,512,11701,18433,9784,38082
400,512,11605,18572,9794,38029
401,512,10932,18472,9646,38950
402,512,9416,18894,8528,41162
403,512,10207,18341,8820,40632
404,512,11409,18437,9021,39133
405,512,12575,18613,8833,37979
406,512,13266,18711,9107,36916
407,512,14254,18487,9247,36012
408,512,14032,18428,9407,36133
409,512,14971,18720,9856,34453
410,512,15079,18695,10231,33995
411,512,15073,18722,10036,34169
412,512,14995,18632,9892,34481
413,512,13723,18072,10091,36114
414,512,14730,18222,10186,34862
415,512,16132,18484,10435,32949
416,512,16058,18600,10588,32754
417,512,16516,18995,10537,31952
418,512,17644,18947,10381,31028
419,512,16570,19067,10391,31972
420,512,16333,18386,10547,32734
421,512,16499,18425,10754,32322
422,512,15162,17948,11211,33679
423,512,15672,18257,11157,32914
424,512,17124,18649,11457,30770
425,512,16909,18484,11209,31398
426,512,17686,18587,11006,30721
